META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 20:20:15 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 10/13; 10/11; ; 10/13; 17/20; ; ; ; ; ; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 11/4; ; ; 13/5; 5/2; 5/2; 27/10; ; ; 14/5; 27/10; 45/17; ; 27/10; 14/5; ; ; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 10/3; ; ; 10/3; 16/5; 10/3; 10/3; ; ; 7/2; 33/10; 29/10; ; 33/10; 15/4; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 16:19:43 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; ; 3/4; 4/5; 4/5; 10/13; ; ; 4/5; 9/13; 11/13; ; 9/13; 17/20; 4/5; ; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; ; 13/5; 5/2; 13/5; 27/10; ; ; 14/5; 27/10; 45/17; ; 27/10; 14/5; 13/5; ; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; ; 7/2; 16/5; 10/3; 7/2; ; ; 7/2; 37/10; 29/10; ; 37/10; 15/4; 3; ; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 20:19:44 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; ; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 11/13; 8/11; 9/13; 17/20; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; ; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 45/17; 45/17; 13/5; 45/17; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; ; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 29/10; 7/2; 15/4; 15/4; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 00:19:01 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 17/20; ; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; ; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 15/4; ; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 04:19:03 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 17/20; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 15/4; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 08:19:14 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; 33/40; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 17/20; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 15/4; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 12:19:42 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 5/6; ; ; 33/40; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 10/3; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 16:19:20 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 5/6; ; ; 33/40; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 10/3; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 20:20:36 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 5/6; ; ; 33/40; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 10/3; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 00:18:53 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 04:19:03 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 08:19:03 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 14/19; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 16/5; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 12:20:10 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 16:14:31 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 20:18:43 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 00:19:08 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 04:18:40 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 08:19:01 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 12:18:44 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 16:18:41 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 20:18:35 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 00:18:44 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 04:18:34 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/6; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 08:18:33 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; ; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/5; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; ; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; ; ; 7/2; 17/5; ; ; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 12:18:35 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 5/6; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 16:18:25 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 5/6; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 20:18:43 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 5/6; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 00:20:53 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 5/6; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 04:18:44 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 4/7; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 27/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 08:21:10 GMT+2; 2017-03-19 15:15; e70300-dr003
