META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 16:18:43 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 20:19:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 00:18:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 04:18:16 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 15/2; 7; ; 15/2; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 08:18:25 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 12:19:08 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 16:21:04 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 16:19:08 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 20:20:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; ; 1/9; 1/8; 1/9; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; ; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; ; 8; 15/2; 8; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; ; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; ; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 17; ; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 00:18:31 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 04:19:17 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 08:18:53 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 12:20:23 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; 6; 15/2; 15/2; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; 20; 20; 18; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 20; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 16:20:30 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; 15/2; 15/2; 15/2; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; 18; 20; 18; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 20; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 20:19:57 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; 8; ; 
Alaves; 14; 18; 20; 18; ; 16; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 20; 14; 15; 16; 15; ; 71/5; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 00:17:57 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; ; 9; 9; 8; 93/13; 8; 8; 10; 79/10; 8; 15/2; 8; ; 39/5; ; 
Alaves; 14; 18; 18; 18; ; 16; 21; 17; 16; 18; 20; 18; 20; ; 14; 20; 63/4; 65/4; 15; 63/4; 20; 14; 15; 16; 15; ; 78/5; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 04:17:41 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; ; 9; 9; 8; 93/13; 8; 8; 10; 79/10; 8; 15/2; 8; ; 19/10; ; 
Alaves; 14; 18; 18; 18; ; 16; 21; 17; 16; 18; 22; 18; 20; ; 14; 20; 63/4; 65/4; 15; 63/4; 20; 14; 15; 16; 15; ; 19/10; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 08:18:05 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/11; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; ; 2/15; 2/17; 1/9; 1/9; 1/7; 1/9; 7/50; 1/9; 1/7; 1/9; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 8; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 8; 8; ; 9; 9; 15/2; 8; 8; 15/2; 10; 79/10; 8; 15/2; 8; ; 31/5; ; 
Alaves; 14; 18; 20; 18; ; 16; 22; 17; 18; 20; 22; 18; 20; ; 14; 20; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 28; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 12:19:57 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 1/8; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 8; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; ; 9; 9; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 31/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; ; 14; 20; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 6; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 16:18:59 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 1/8; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; ; 9; 9; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 31/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; ; 14; 20; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 6; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 20:18:18 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 00:18:02 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 04:17:59 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 08:18:00 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 12:19:53 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; 52/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 14; 15; 16; 15; ; 21; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 16:18:53 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 21; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 00:18:11 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/9; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 16; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 04:17:22 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 16; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 08:18:00 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 16; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 12:33:42 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 13:22:59 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 16:19:32 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 20:18:45 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 00:18:25 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 04:18:22 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 08:16:20 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 8; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 33/2; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 12:17:41 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
