META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 14:15:11 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; ; ; ; ; ; ; ; ; 4/6; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
Monaco; ; ; ; ; ; ; ; ; 7/2; 15/4; ; ; ; ; ; ; 75/19; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 18:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; ; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 57/17; 14/5; 3; 57/17; 71/20; 33/10; 3; 16/5; 3; ; 3; ; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; ; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-22 10:15:04 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 8/15; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 13/5; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 4; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-22 14:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-22 18:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-22 22:15:04 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 02:15:04 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 11/4; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 10/3; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 06:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 11/4; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 10/3; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 10:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 14:15:05 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 18:15:04 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 22:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 02:15:05 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 06:15:04 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 41/13; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 10:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 14:15:06 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 18:15:06 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; ; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; ; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; ; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 22:15:05 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 02:15:04 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 06:15:05 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 10:15:05 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 14:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 18:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 22:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 02:15:02 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 06:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 10:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 14:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 18:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 22:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
