META; english/premier-league/watford-v-sunderland; 2017-03-11 22:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 02:16:08 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 06:16:09 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 10:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 14:16:12 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 18:16:17 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; 10/11; 10/11; ; 10/11; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; 12/5; 12/5; ; 12/5; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; 3; 3; ; 3; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 22:16:17 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; 20/23; 19/20; 5/6; ; ; ; ; ; ; 10/11; 10/11; 10/11; 9/10; 10/11; 9/10; ; 9/10; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; 12/5; 23/10; 13/5; ; ; ; ; ; ; 5/2; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; 33/10; 11/4; 7/2; ; ; ; ; ; ; 31/10; 31/10; 3; 3; 31/10; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 02:16:27 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 5/6; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; ; 10/11; 13/15; 11/13; 9/10; 13/15; 9/10; ; 9/10; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 12/5; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 3; ; 7/2; ; 15/4; 11/4; 7/2; 10/3; 16/5; ; ; ; ; 10/3; 16/5; 16/5; 3; 16/5; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 06:16:41 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 5/6; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; ; 10/11; 13/15; 11/13; 9/10; 13/15; 9/10; ; 9/10; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 12/5; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 3; ; 7/2; ; 15/4; 11/4; 7/2; 10/3; 16/5; ; ; ; ; 10/3; 16/5; 16/5; 3; 16/5; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 10:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 5/6; ; 9/10; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; 17/20; 10/11; 13/15; 11/13; 9/10; 13/15; 9/10; ; 9/10; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 5/2; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 3; ; 18/5; ; 15/4; 11/4; 7/2; 10/3; 16/5; ; ; ; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 14:16:15 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 17/20; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; 17/20; 10/11; 10/11; 11/13; 9/10; 10/11; 89/100; 7/8; 9/10; ; ; ; ; 
Draw; 12/5; ; 49/20; ; 5/2; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 64/25; 27/11; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 7/2; ; 18/5; ; 19/5; 11/4; 7/2; 10/3; 16/5; ; ; ; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 19/5; 17/5; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 18:16:46 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 17/20; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 4/5; ; ; ; 17/20; 11/13; 5/6; 11/13; 5/6; 5/6; 89/100; 7/8; 11/13; ; 11/13; ; ; ; 
Draw; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 13/5; 23/10; 13/5; ; 23/10; 13/5; 5/2; 12/5; 13/5; 13/5; 28/11; 12/5; 5/2; 28/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 
Sunderland; 10/3; 18/5; 7/2; 17/5; 19/5; 16/5; 4; 11/4; 7/2; ; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 39/11; 7/2; 7/2; 39/11; 19/5; 50/13; 7/2; 10/3; 7/2; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-19 06:15:40 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 5/6; 5/6; 17/20; 17/20; 4/5; 19/20; 5/6; 4/5; 4/5; 4/5; 4/5; 3/4; 17/20; 10/11; 5/6; 4/5; 4/5; 5/6; 87/100; 11/14; 4/5; 5/6; 4/5; ; ; ; 
Draw; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 13/5; 23/10; 13/5; 5/2; 23/10; 13/5; 5/2; 12/5; 13/5; 13/5; 28/11; 12/5; 5/2; 28/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 
Sunderland; 10/3; 18/5; 7/2; 17/5; 19/5; 16/5; 4; 11/4; 7/2; 7/2; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 39/11; 7/2; 7/2; 39/11; 19/5; 50/13; 7/2; 10/3; 7/2; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-19 10:15:49 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 5/6; 5/6; 17/20; 17/20; 4/5; 19/20; 5/6; 4/5; 4/5; 4/5; 4/5; 3/4; 17/20; 10/11; 5/6; 4/5; 4/5; 5/6; 87/100; 11/14; 4/5; 5/6; 4/5; ; ; ; 
Draw; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 13/5; 23/10; 13/5; 5/2; 23/10; 13/5; 5/2; 12/5; 13/5; 13/5; 28/11; 12/5; 5/2; 28/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 
Sunderland; 10/3; 18/5; 7/2; 17/5; 19/5; 16/5; 4; 11/4; 7/2; 7/2; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 39/11; 7/2; 7/2; 39/11; 19/5; 50/13; 7/2; 10/3; 7/2; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-19 14:15:59 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 5/6; 5/6; 17/20; 17/20; 4/5; 19/20; 5/6; 4/5; 4/5; 4/5; 4/5; 3/4; 17/20; 10/11; 5/6; 4/5; 4/5; 5/6; 21/25; 11/14; 4/5; 5/6; 4/5; ; ; ; 5/6
Draw; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 13/5; 23/10; 13/5; 5/2; 23/10; 13/5; 5/2; 12/5; 13/5; 13/5; 28/11; 12/5; 5/2; 28/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 13/5
Sunderland; 10/3; 18/5; 7/2; 17/5; 19/5; 16/5; 4; 11/4; 7/2; 7/2; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 39/11; 7/2; 7/2; 39/11; 4; 50/13; 7/2; 10/3; 7/2; ; ; ; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-19 18:16:06 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 9/10; 17/20; 20/23; 19/20; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 17/20; 10/11; 5/6; 4/5; 4/5; 5/6; 21/25; 11/14; 4/5; 17/20; 4/5; ; ; ; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 13/5; 12/5; 13/5; 23/10; 13/5; 5/2; 23/10; 13/5; 5/2; 12/5; 13/5; 13/5; 28/11; 12/5; 5/2; 28/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 13/5
Sunderland; 10/3; 18/5; 17/5; 17/5; 7/2; 16/5; 18/5; 11/4; 7/2; 7/2; 16/5; 10/3; 7/2; 3; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 4; 50/13; 7/2; 16/5; 7/2; ; ; ; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-19 22:15:38 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 17/20; 17/20; 5/6; 17/20; 17/20; 20/23; 19/20; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 17/20; 10/11; 5/6; 4/5; 4/5; 5/6; 21/25; 5/6; 4/5; 5/6; 4/5; ; ; ; 5/6
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 5/2; 23/10; 23/10; 5/2; 23/10; 13/5; 13/5; 28/11; 5/2; 5/2; 28/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 13/5
Sunderland; 10/3; 10/3; 7/2; 17/5; 7/2; 16/5; 15/4; 11/4; 7/2; 7/2; 10/3; 7/2; 7/2; 16/5; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; 4; 39/11; 7/2; 10/3; 7/2; ; ; ; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-20 02:15:46 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 17/20; 17/20; 5/6; 17/20; 17/20; 20/23; 19/20; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 17/20; 10/11; 4/5; 4/5; 4/5; 4/5; 21/25; 5/6; 4/5; 5/6; 4/5; ; ; ; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 12/5; 23/10; 23/10; 5/2; 23/10; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 13/5
Sunderland; 10/3; 10/3; 7/2; 17/5; 7/2; 16/5; 19/5; 11/4; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 4; 39/11; 7/2; 10/3; 7/2; ; ; ; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-20 06:15:33 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 17/20; 17/20; 5/6; 17/20; 17/20; 20/23; 19/20; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 17/20; 10/11; 4/5; 4/5; 4/5; 4/5; 21/25; 5/6; 4/5; 5/6; 4/5; ; ; ; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 12/5; 23/10; 23/10; 5/2; 23/10; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 13/5
Sunderland; 10/3; 10/3; 7/2; 17/5; 7/2; 16/5; 19/5; 11/4; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 62/17; 10/3; 7/2; 62/17; 4; 39/11; 7/2; 10/3; 7/2; ; ; ; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-20 10:15:34 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 19/20; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 17/20; 10/11; 4/5; 4/5; 4/5; 4/5; 17/20; 5/6; 4/5; 5/6; 4/5; ; ; ; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 12/5; 23/10; 23/10; 5/2; 23/10; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; ; 13/5
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 15/4; 11/4; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 62/17; 10/3; 7/2; 62/17; 39/10; 39/11; 7/2; 10/3; 7/2; ; ; ; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-20 14:15:35 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 17/20; 10/11; 4/5; 4/5; 4/5; 4/5; 17/20; 5/6; 4/5; 5/6; 4/5; ; ; 4/5; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 12/5; 23/10; 23/10; 5/2; 23/10; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; 23/10; 13/5
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 62/17; 10/3; 7/2; 62/17; 39/10; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-20 18:15:32 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 17/20; 5/6; 13/15; 4/5; 4/5; 13/15; 17/20; 5/6; 4/5; 17/20; 4/5; ; ; 4/5; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 23/10; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; 23/10; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 15/4; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; 39/10; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-20 22:15:35 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 17/20; 5/6; 4/5; 17/20; 4/5; ; ; 4/5; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 23/10; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; 13/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 39/10; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-21 02:15:38 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 17/20; 5/6; 4/5; 17/20; 4/5; ; ; 4/5; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 23/10; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; 11/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 39/10; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-21 06:15:32 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 17/20; 5/6; 4/5; 17/20; 4/5; ; ; 4/5; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 23/10; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 53/20; 5/2; 28/11; 12/5; 28/11; ; ; 11/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 39/10; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-21 10:15:34 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 22/25; 5/6; 4/5; 17/20; 4/5; ; ; 4/5; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 23/10; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 13/5; 5/2; 28/11; 12/5; 28/11; ; ; 11/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 15/4; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 77/20; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-21 14:15:35 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 22/25; 5/6; 4/5; 17/20; 4/5; ; ; 5/6; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 23/10; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 13/5; 5/2; 28/11; 12/5; 28/11; ; ; 12/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 77/20; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-21 18:15:37 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 89/100; 5/6; 4/5; 17/20; 4/5; ; ; 5/6; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 23/10; 13/5; 23/10; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 129/50; 5/2; 28/11; 12/5; 28/11; ; ; 12/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 16/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 19/5; 39/11; 7/2; 10/3; 7/2; ; ; 3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-21 22:15:35 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 4/5; 4/5; 5/6; 4/5; 17/20; 17/20; 5/6; 4/5; 4/5; 4/5; 4/5; 89/100; 5/6; 4/5; 5/6; 4/5; ; ; 5/6; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 5/2; 23/10; 13/5; 12/5; 23/10; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 129/50; 5/2; 28/11; 12/5; 28/11; ; ; 12/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 18/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 10/3; 7/2; 62/17; 10/3; 7/2; 62/17; 19/5; 39/11; 7/2; 10/3; 7/2; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-22 02:15:54 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 17/20; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 89/100; 5/6; 4/5; 17/20; 4/5; ; ; 5/6; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 5/2; 23/10; 13/5; 12/5; 23/10; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 129/50; 5/2; 28/11; 12/5; 28/11; ; ; 12/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 18/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 10/3; 7/2; 39/11; 10/3; 7/2; 18/5; 19/5; 39/11; 7/2; 10/3; 7/2; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-22 06:15:37 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 17/20; 17/20; 5/6; 13/15; 4/5; 4/5; 5/6; 89/100; 5/6; 4/5; 17/20; 4/5; ; ; 5/6; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 5/2; 23/10; 13/5; 12/5; 23/10; 12/5; 5/2; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 27/11; 129/50; 5/2; 28/11; 12/5; 28/11; ; ; 12/5; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 18/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 10/3; 7/2; 57/17; 10/3; 7/2; 18/5; 19/5; 39/11; 7/2; 10/3; 7/2; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-22 10:15:42 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 17/20; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 89/100; 5/6; 4/5; 17/20; 4/5; ; ; 8/11; 5/6
Draw; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 5/2; 23/10; 13/5; 12/5; 23/10; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 5/2; 5/2; 27/11; 129/50; 5/2; 28/11; 12/5; 28/11; ; ; 2; 5/2
Sunderland; 10/3; 7/2; 7/2; 17/5; 7/2; 18/5; 19/5; 10/3; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 19/5; 39/11; 7/2; 10/3; 7/2; ; ; 14/5; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-22 14:15:33 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 17/20; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 89/100; 5/6; 4/5; 17/20; 4/5; ; ; 4/5; 5/6
