Almeria; 6/5; 23/20; 21/20; ; 23/20; 11/10; ; 11/10; ; ; 23/20; ; ; ; ; 11/10; ; 11/10; 121/100; ; ; ; 23/20; 11/10; ; 21/20; ; 
Draw; 2; 2; 21/10; ; 11/5; 41/20; ; 15/8; ; ; 2; ; ; ; ; 2; ; 21/10; 57/25; ; ; ; 9/4; 11/5; ; 19/10; ; 
SD Huesca; 13/5; 12/5; 13/5; ; 13/5; 9/4; ; 12/5; ; ; 13/5; ; ; ; ; 5/2; ; 28/11; 137/50; ; ; ; 13/5; 51/20; ; 5/2; ; 
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-03 18:25:26 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 6/5; 5/4; 21/20; 6/5; 5/4; 11/10; ; 11/10; ; ; 5/4; ; ; ; 5/4; 5/4; ; 5/4; 67/50; 5/4; ; ; 13/10; 6/5; ; 6/5; ; 
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; ; 2; ; ; 21/10; ; ; ; 21/10; 2; ; 21/10; 9/4; 11/5; ; ; 9/4; 11/5; ; 19/10; ; 
SD Huesca; 13/5; 85/40; 13/5; 23/10; 12/5; 9/4; ; 11/5; ; ; 11/5; ; ; ; 23/10; 23/10; ; 9/4; 61/25; 19/10; ; ; 9/4; 23/10; ; 21/10; ; 
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-03 22:25:26 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 13/10; 11/10; 6/5; 11/10; 13/10; ; 5/4; 13/10; ; 6/5; 5/4; 5/4; ; 5/4; 27/20; 21/17; 23/18; ; 13/10; 6/5; ; 5/4; 23/20; 
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 11/5; 41/20; ; 21/10; 21/10; 2; ; 21/10; 111/50; 11/5; 39/19; ; 9/4; 11/5; ; 19/10; 21/10; 
SD Huesca; 5/2; 85/40; 13/5; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; ; 21/10; 43/20; ; 9/4; 23/10; 9/4; ; 23/10; 123/50; 19/10; 9/4; ; 9/4; 23/10; ; 9/4; 15/8; 
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-04 02:24:32 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 13/10; 11/10; 6/5; 11/10; 13/10; ; 5/4; 5/4; ; 6/5; 5/4; 5/4; ; 5/4; 27/20; 21/17; 23/18; ; 13/10; 6/5; ; 5/4; 6/5; 
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 2; 41/20; ; 21/10; 21/10; 2; ; 21/10; 111/50; 11/5; 39/19; ; 11/5; 11/5; ; 19/10; 21/10; 
SD Huesca; 5/2; 85/40; 13/5; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; ; 9/4; 43/20; ; 9/4; 23/10; 9/4; ; 23/10; 123/50; 19/10; 9/4; ; 23/10; 23/10; ; 9/4; 11/5; 
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-04 10:24:52 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 13/10; 11/10; 6/5; 11/10; 13/10; ; 5/4; 5/4; ; 6/5; 5/4; 5/4; ; 5/4; 27/20; 21/17; 23/18; ; 13/10; 6/5; ; 23/20; 6/5; 
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 2; 41/20; ; 21/10; 21/10; 2; ; 21/10; 111/50; 11/5; 39/19; ; 11/5; 11/5; ; 19/10; 19/10; 
SD Huesca; 5/2; 85/40; 13/5; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; ; 9/4; 43/20; ; 9/4; 23/10; 9/4; ; 23/10; 123/50; 19/10; 9/4; ; 23/10; 23/10; ; 9/4; 11/5; 
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-04 14:24:54 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 5/4; 11/10; 6/5; 11/10; 6/5; ; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; ; 5/4; 139/100; 21/17; 6/5; ; 13/10; 6/5; ; 5/4; 6/5; 
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 2; 41/20; 11/5; 21/10; 21/10; 2; ; 39/19; 85/40; 11/5; 39/19; ; 11/5; 11/5; ; 19/10; 2; 
SD Huesca; 5/2; 85/40; 13/5; 23/10; 12/5; 9/4; 9/4; 11/5; 27/11; ; 9/4; 43/20; 21/10; 9/4; 23/10; 23/10; ; 40/17; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 9/4; 11/5; 
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-04 18:24:55 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 5/4; 11/10; 6/5; 11/10; 6/5; ; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; ; 5/4; 139/100; 21/17; 6/5; ; 13/10; 6/5; ; 5/4; 6/5; 11/8
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 2; 41/20; 11/5; 21/10; 21/10; 2; ; 39/19; 85/40; 11/5; 39/19; ; 11/5; 11/5; ; 19/10; 2; 21/10
SD Huesca; 5/2; 85/40; 13/5; 23/10; 12/5; 9/4; 9/4; 11/5; 27/11; ; 9/4; 43/20; 21/10; 9/4; 23/10; 23/10; ; 40/17; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 11/5; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-04 22:24:32 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 5/4; 11/10; 6/5; 11/10; 6/5; ; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; ; 13/10; 139/100; 21/17; 6/5; ; 13/10; 6/5; ; 5/4; 6/5; 11/8
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 2; 41/20; 11/5; 21/10; 21/10; 2; ; 39/19; 85/40; 11/5; 39/19; ; 11/5; 11/5; ; 19/10; 2; 21/10
SD Huesca; 5/2; 85/40; 13/5; 23/10; 12/5; 9/4; 9/4; 11/5; 27/11; ; 9/4; 43/20; 21/10; 9/4; 23/10; 23/10; ; 23/10; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 11/5; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-05 02:24:32 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 5/4; 11/10; 6/5; 11/10; 6/5; ; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; ; 13/10; 139/100; 21/17; 6/5; ; 13/10; 6/5; ; 5/4; 6/5; 11/8
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 2; 41/20; 11/5; 21/10; 21/10; 2; ; 39/19; 85/40; 11/5; 39/19; ; 11/5; 11/5; ; 2; 2; 21/10
SD Huesca; 5/2; 85/40; 13/5; 23/10; 12/5; 9/4; 9/4; 11/5; 27/11; ; 9/4; 43/20; 21/10; 9/4; 23/10; 23/10; ; 23/10; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 11/5; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-05 10:24:51 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 5/4; 11/10; 6/5; 11/10; 6/5; ; 5/4; 5/4; 13/10; 6/5; 5/4; 5/4; ; 13/10; 139/100; 21/17; 6/5; ; 13/10; 5/4; ; 6/5; 6/5; 11/8
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 21/10; 41/20; 11/5; 21/10; 21/10; 2; ; 39/19; 85/40; 11/5; 39/19; ; 11/5; 21/10; ; 2; 2; 21/10
SD Huesca; 5/2; 85/40; 13/5; 23/10; 12/5; 9/4; 9/4; 11/5; 27/11; ; 11/5; 43/20; 21/10; 9/4; 23/10; 23/10; ; 23/10; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 11/5; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-05 14:25:21 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 21/20; 6/5; 5/4; 11/10; 5/4; 11/10; 6/5; ; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; ; 13/10; 139/100; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 6/5; 11/8
Draw; 2; 2; 21/10; 21/10; 21/10; 41/20; 2; 2; 21/10; ; 21/10; 41/20; 11/5; 21/10; 2; 2; ; 39/19; 21/10; 11/5; 39/19; ; 11/5; 21/10; ; 2; 2; 2
SD Huesca; 5/2; 11/5; 13/5; 23/10; 12/5; 9/4; 9/4; 11/5; 27/11; ; 11/5; 43/20; 21/10; 9/4; 23/10; 23/10; ; 23/10; 63/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-05 18:25:45 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 5/4; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; ; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; ; 13/10; 7/5; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 6/5; 11/8
Draw; 2; 2; 2; 21/10; 2; 41/20; 2; 15/8; 21/10; ; 21/10; 41/20; 11/5; 2; 2; 2; ; 39/19; 52/25; 11/5; 39/19; ; 11/5; 21/10; ; 2; 2; 2
SD Huesca; 5/2; 11/5; 21/10; 23/10; 12/5; 9/4; 9/4; 21/10; 27/11; ; 11/5; 43/20; 21/10; 11/5; 23/10; 23/10; ; 23/10; 63/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-05 22:25:02 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 13/10; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 5/4; ; 13/10; 139/100; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 11/8
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 2; ; 39/19; 85/40; 11/5; 39/19; ; 11/5; 21/10; ; 2; 19/10; 21/10
SD Huesca; 5/2; 85/40; 21/10; 23/10; 23/10; 9/4; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 11/5; 23/10; 9/4; ; 23/10; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-06 02:26:52 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 13/10; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 5/4; ; 13/10; 139/100; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 11/8
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 2; ; 39/19; 85/40; 11/5; 39/19; ; 11/5; 21/10; ; 2; 2; 21/10
SD Huesca; 5/2; 85/40; 21/10; 23/10; 23/10; 9/4; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 11/5; 23/10; 9/4; ; 23/10; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 12/5; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-06 10:24:59 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 13/10; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 5/4; ; 13/10; 7/5; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 11/8
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 2; ; 39/19; 21/10; 11/5; 39/19; ; 11/5; 21/10; ; 2; 2; 21/10
SD Huesca; 5/2; 85/40; 21/10; 23/10; 23/10; 9/4; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 11/5; 23/10; 9/4; ; 23/10; 62/25; 19/10; 27/11; ; 23/10; 23/10; ; 12/5; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-06 14:26:05 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 5/4; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; ; 13/10; 11/8; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 27/20
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 2; ; 39/19; 107/50; 11/5; 39/19; ; 11/5; 9/4; ; 2; 2; 21/10
SD Huesca; 5/2; 85/40; 21/10; 23/10; 23/10; 9/4; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 11/5; 23/10; 9/4; ; 40/17; 5/2; 19/10; 27/11; ; 23/10; 23/10; ; 12/5; 19/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-06 18:25:41 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 5/4; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; ; 13/10; 34/25; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 27/20
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 2; ; 39/19; 43/20; 11/5; 39/19; ; 11/5; 9/4; ; 2; 2; 21/10
SD Huesca; 5/2; 85/40; 21/10; 23/10; 23/10; 9/4; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 11/5; 23/10; 9/4; ; 40/17; 63/25; 19/10; 27/11; ; 23/10; 23/10; ; 9/4; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-06 22:26:14 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 5/4; 5/4; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; ; 13/10; 34/25; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 27/20
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 2; ; 39/19; 43/20; 11/5; 39/19; ; 11/5; 9/4; ; 2; 2; 21/10
SD Huesca; 5/2; 85/40; 21/10; 23/10; 23/10; 9/4; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 11/5; 23/10; 9/4; ; 40/17; 63/25; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-07 02:25:10 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 6/5; 5/4; 6/5; 13/10; 11/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; ; 13/10; 11/8; 21/17; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 27/20
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 2; ; 39/19; 107/50; 11/5; 39/19; ; 11/5; 9/4; ; 21/10; 2; 21/10
SD Huesca; 5/2; 11/5; 21/10; 23/10; 23/10; 9/4; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 11/5; 23/10; 9/4; ; 40/17; 5/2; 19/10; 27/11; ; 23/10; 23/10; ; 23/10; 21/10; 12/5
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-07 10:25:45 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 6/5; 5/4; 13/10; 5/4; 11/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 34/25; 23/18; 6/5; ; 13/10; 5/4; ; 5/4; 13/10; 27/20
Draw; 2; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 15/8; 21/10; 21/10; 2; 21/10; 21/10; 2; 2; 2; ; 2; 52/25; 28/13; 39/19; ; 85/40; 9/4; ; 21/10; 2; 21/10
SD Huesca; 5/2; 11/5; 21/10; 21/10; 12/5; 9/4; 9/4; 21/10; 27/11; 21/10; 23/10; 43/20; 21/10; 11/5; 23/10; 23/10; ; 12/5; 13/5; 39/19; 27/11; ; 12/5; 23/10; ; 23/10; 23/10; 5/2
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-07 14:25:44 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 5/4; 6/5; 5/4; 13/10; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 67/50; 9/7; 6/5; ; 13/10; 5/4; ; 5/4; 5/4; 27/20
Draw; 2; 21/10; 21/10; 21/10; 21/10; 2; 2; 15/8; 21/10; 21/10; 9/4; 21/10; 21/10; 21/10; 2; 2; 21/10; 39/19; 107/50; 28/13; 39/19; ; 85/40; 9/4; ; 2; 21/10; 21/10
SD Huesca; 5/2; 11/5; 21/10; 21/10; 12/5; 21/10; 9/4; 21/10; 27/11; 21/10; 21/10; 43/20; 21/10; 9/4; 23/10; 9/4; 9/4; 12/5; 129/50; 39/19; 27/11; ; 12/5; 23/10; ; 5/2; 23/10; 5/2
META; spain/la-liga-segunda/almeria-v-sd-huesca; 2017-10-07 18:25:21 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Almeria; 23/20; 6/5; ; 13/10; 5/4; 6/5; 6/5; 11/10; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; 13/10; 24/19; 6/5; ; 5/4; 6/5; ; 13/10; 13/10; 13/10
Draw; 2; 21/10; ; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 41/20; 21/10; 21/10; 2; 2; 21/10; 39/19; 54/25; 28/13; 39/19; ; 85/40; 9/4; ; 2; 2; 21/10
SD Huesca; 14/5; 9/4; ; 21/10; 5/2; 21/10; 9/4; 11/5; 27/11; 11/5; 23/10; 9/4; 11/5; 9/4; 12/5; 12/5; 9/4; 27/11; 66/25; 21/10; 27/11; ; 5/2; 12/5; ; 5/2; 5/2; 13/5
