META; english/league-1/charlton-v-plymouth; 2018-03-18 18:21:09 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 13/10; 11/10; 6/5; 6/5; 6/5; 15/13; 6/5; 6/5; 15/13; 4/5; 8/11; 
Plymouth; 9/4; 21/10; 47/20; 11/5; 23/10; 23/10; 11/5; 28/13; 23/10; 9/4; 11/5; 13/8; 3/10; 
Draw; 23/10; 12/5; 121/0; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 9/4; 19/10; 4/9
META; english/league-1/charlton-v-plymouth; 2018-03-19 02:32:40 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 11/10; 5/4; 6/5; 5/4; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 22/19; 23/20; 23/20; 15/13; 21/20; 6/5
Draw; 12/5; 12/5; 11/5; 61/25; 23/10; 23/10; 11/5; 21/10; 12/5; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 2; 21/10
Plymouth; 12/5; 21/10; 12/5; 61/25; 5/2; 9/4; 23/10; 12/5; 12/5; 12/5; 23/10; 9/4; 28/13; 12/5; 47/20; 9/4; 9/4; 21/10
META; english/league-1/charlton-v-plymouth; 2018-03-19 10:32:47 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 21/20; 5/4; 11/10; 23/20; 59/50; 11/10; 11/10; 1; 8/7; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 8/7; 11/10; 11/10; 21/20; 1; 21/20
Draw; 12/5; 12/5; 11/5; 9/4; 62/25; 5/2; 23/10; 23/10; 40/17; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; 40/17; 40/17; 12/5; 23/10; 23/10; 9/4; 20/21
Plymouth; 5/2; 21/10; 13/5; 5/2; 129/0; 5/2; 12/5; 23/10; 40/17; 5/2; 5/2; 13/5; 12/5; 12/5; 40/17; 12/5; 9/4; 40/17; 13/5; 5/2; 12/5; 9/4; 8/11
META; english/league-1/charlton-v-plymouth; 2018-03-19 14:32:54 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 21/20; 5/4; 11/10; 23/20; 57/50; 11/10; 11/10; 1; 8/7; 11/10; 21/20; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 17/16; 8/7; 11/10; 11/10; 11/10; 1; 10/9
Draw; 12/5; 12/5; 11/5; 9/4; 61/25; 12/5; 23/10; 11/5; 40/17; 11/5; 12/5; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 40/17; 40/17; 12/5; 23/10; 23/10; 21/10; 12/5
Plymouth; 5/2; 21/10; 5/2; 5/2; 137/0; 27/10; 5/2; 5/2; 40/17; 5/2; 13/5; 13/5; 12/5; 12/5; 12/5; 40/17; 12/5; 40/17; 40/17; 13/5; 5/2; 40/17; 12/5; 13/5
META; english/league-1/charlton-v-plymouth; 2018-03-19 18:32:54 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 21/20; 6/5; 11/10; 23/20; 113/00; 11/10; 11/10; 1; 13/12; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 17/16; 13/12; 11/10; 11/10; 11/10; 1; 23/20; 11/10; 10/9
Draw; 5/2; 12/5; 23/10; 11/5; 62/25; 5/2; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 21/10; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; ; ; 
META; english/league-1/charlton-v-plymouth; 2018-03-24 10:33:18 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 23/20; 11/10; 11/10; 21/20; 117/00; 6/5; 11/10; 11/10; 8/7; 11/10; 23/20; 11/10; 23/20; 23/20; 1; 11/10; 11/10; 11/10; 19/17; 8/7; 23/20; 11/10; 21/20; 23/20; 23/20; 23/20; 23/20
Draw; 5/2; 5/2; 23/10; 12/5; 62/25; 5/2; 12/5; 23/10; 40/17; 23/10; 12/5; 23/10; 12/5; 47/20; 11/5; 12/5; 40/17; 23/10; 12/5; 40/17; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 
Plymouth; 13/5; 12/5; 12/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 23/10; 49/20; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 27/11; 5/2; 13/5; 13/5; 5/2
META; english/league-1/charlton-v-plymouth; 2018-03-24 14:33:25 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 23/20; 23/20; 11/10; 119/00; 6/5; 6/5; 11/10; 8/7; 23/20; 23/20; 23/20; 6/5; 6/5; 11/10; 11/10; 15/13; 11/10; 6/5; 8/7; 23/20; 6/5; 15/13; 23/20; 6/5; 23/20; 6/5
Plymouth; 5/2; 23/10; 12/5; 5/2; 62/25; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 23/10; 11/5; 23/10; 21/10; 23/10; 9/4; 12/5; 28/13; 12/5; 12/5; 47/20; 23/10; 5/2; 13/5; 12/5; 13/5
Draw; 5/2; 12/5; 23/10; 12/5; 64/25; 5/2; 12/5; 12/5; 40/17; 23/10; 12/5; 12/5; 12/5; 23/10; 21/10; 12/5; 40/17; 23/10; 40/17; 40/17; 5/2; 47/20; 40/17; 12/5; 12/5; 12/5; 5/2
META; english/league-1/charlton-v-plymouth; 2018-03-24 18:33:24 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 1/40; 1/50; 1/50; 1/100; 1/25; 1/50; 1/40; 1/50; 1/100; 1/28; 1/40; 1/66; 1/50; 1/100; 1/41; 1/100; 1/100; 1/50; 1/100; 1/100; 1/50; 1/33; 1/20; 
Draw; 16; 25; 22; 20; 15; 25; 16; 16; 18; 14; 18; 14; 14; 12; 18; 25/2; 19/2; 13; 12; 16; 51/4; 28; 24; 
Plymouth; 80; 100; 125; 55; 45; 300; 66; 100; 90; 66; 66; 50; 55; 28; 80; 37; 80; 25; 80; 100; 185/4; 148; 7/2; 137
