META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 02:21:47 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
AFC Wimbledon; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 10:21:45 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
AFC Wimbledon; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 14:21:54 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 1; 1; ; ; 19/20; ; 1; 10/11; 1; ; ; ; ; 1; ; 1; ; ; 19/20; 27/25; ; 1; ; ; 19/20; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 13/5; ; 5/2; 5/2; 40/17; ; ; ; ; 11/4; ; 5/2; ; ; 23/10; 5/2; ; 40/17; ; ; 12/5; ; 9/4; ; 
AFC Wimbledon; 11/4; 13/5; ; ; 11/4; ; 14/5; 11/4; 27/10; ; ; ; ; 3; ; 13/5; ; ; 45/17; 57/20; ; 27/10; ; ; 11/4; ; 21/10; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 18:21:19 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 1; 1; ; ; 1; 39/40; 1; 10/11; 1; ; 20/21; ; ; 1; 1; 1; 1; ; 1; 27/25; ; 1; ; ; 19/20; ; 4/5; ; 
Draw; 12/5; 23/10; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 5/2; ; ; 11/4; 12/5; 12/5; 23/10; ; 40/17; 5/2; ; 40/17; ; ; 12/5; ; 9/4; ; 
AFC Wimbledon; 11/4; 13/5; ; ; 11/4; 13/5; 29/10; 11/4; 27/10; ; 11/4; ; ; 3; 11/4; 11/4; 27/10; ; 27/10; 57/20; ; 27/10; ; ; 11/4; ; 21/10; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 22:21:08 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 1; ; ; 23/20; 41/40; 13/10; 11/10; 15/13; ; 6/5; 13/10; ; 5/4; 6/5; 6/5; 21/20; 15/13; 6/5; 69/50; ; 15/13; 5/4; ; 23/20; ; 6/5; ; 
Draw; 23/10; 23/10; ; ; 12/5; 11/5; 12/5; 23/10; 9/4; ; 12/5; 23/10; ; 5/2; 12/5; 23/10; 23/10; 9/4; 9/4; 119/50; ; 9/4; 12/5; ; 47/20; ; 9/4; ; 
AFC Wimbledon; 12/5; 13/5; ; ; 23/10; 5/2; 85/40; 23/10; 40/17; ; 9/4; 21/10; ; 5/2; 11/5; 23/10; 13/5; 40/17; 11/5; 111/50; ; 40/17; 23/10; ; 9/4; ; 23/10; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-02 02:21:00 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 1; ; ; 5/4; 117/100; 13/10; 6/5; 15/13; ; 13/10; 13/10; ; 5/4; 6/5; 6/5; 6/5; 15/13; 6/5; 34/25; ; 15/13; 13/10; ; 5/4; ; 6/5; ; 
Draw; 23/10; 23/10; ; ; 23/10; 11/5; 23/10; 23/10; 9/4; ; 12/5; 23/10; ; 23/10; 12/5; 12/5; 9/4; 9/4; 9/4; 12/5; ; 9/4; 12/5; ; 47/20; ; 9/4; ; 
AFC Wimbledon; 12/5; 13/5; ; ; 11/5; 11/5; 11/5; 9/4; 40/17; ; 2; 21/10; ; 23/10; 11/5; 9/4; 23/10; 40/17; 11/5; 9/4; ; 40/17; 9/4; ; 21/10; ; 9/4; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-02 10:21:28 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 1; ; 5/4; 5/4; 117/100; 5/4; 6/5; 15/13; ; 5/4; 5/4; ; 5/4; 6/5; 6/5; 6/5; 15/13; 6/5; 133/100; 17/14; 15/13; 13/10; ; 5/4; ; 6/5; ; 
Draw; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; ; 9/4; 23/10; ; 23/10; 12/5; 23/10; 9/4; 9/4; 9/4; 121/50; 9/4; 9/4; 12/5; ; 47/20; ; 9/4; ; 
AFC Wimbledon; 12/5; 13/5; ; 11/5; 11/5; 11/5; 23/10; 9/4; 40/17; ; 9/4; 43/20; ; 23/10; 11/5; 23/10; 23/10; 40/17; 11/5; 57/25; 25/14; 40/17; 9/4; ; 21/10; ; 9/4; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-02 18:21:44 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 5/4; 5/4; 5/4; 117/100; ; 6/5; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 131/100; 17/14; 16/13; 13/10; 5/4; 5/4; ; 6/5; 6/5; 
Oxford; 23/20; 6/5; 6/5; 6/5; 6/5; 117/100; 6/5; 11/10; 8/7; 5/4; 6/5; 5/4; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 123/100; 6/5; 8/7; 5/4; 5/4; 5/4; ; 6/5; 10/9; 23/20
AFC Wimbledon; 12/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 40/17; 9/4; 11/5; 9/4; 5/2; 23/10; 11/5; 11/5; 23/10; 23/10; 23/10; 25/14; 40/17; 23/10; 11/5; 9/4; ; 11/5; 21/10; 12/5
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 12/5; 66/25; 9/4; 12/5; 12/5; 12/5; 47/20; ; 12/5; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-06 10:22:18 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 6/5; 6/5; 6/5; 6/5; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 6/5; 6/5; 15/13; 123/100; 6/5; 8/7; 5/4; 6/5; 6/5; ; 6/5; 23/20; 23/20
AFC Wimbledon; 12/5; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10; 23/10; 40/17; 11/5; 11/5; 9/4; 5/2; 23/10; 11/5; 21/10; 23/10; 9/4; 23/10; 25/14; 40/17; 23/10; 11/5; 9/4; ; 9/4; 21/10; 12/5
Draw; 13/5; 12/5; 23/10; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 9/4; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 12/5; 66/25; 9/4; 12/5; 12/5; 5/2; 49/20; ; 12/5; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-06 14:23:05 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 6/5; 6/5; 6/5; 6/5; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 23/20; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 6/5; 6/5; 8/7; ; 6/5; 6/5; ; 6/5; 23/20; 23/20
AFC Wimbledon; 12/5; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10; 23/10; 40/17; 11/5; 23/10; 9/4; 5/2; 23/10; 11/5; 11/5; 23/10; 23/10; 121/50; 25/14; 40/17; ; 9/4; 23/10; ; 9/4; 21/10; 12/5
Draw; 13/5; 12/5; 23/10; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 12/5; 129/50; 9/4; 12/5; ; 13/5; 49/20; ; 12/5; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-06 18:22:39 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 6/5; 6/5; 6/5; 6/5; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 6/5; 6/5; 15/13; 31/25; 6/5; 8/7; 6/5; 6/5; 6/5; ; 6/5; 23/20; 6/5
AFC Wimbledon; 12/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 40/17; 11/5; 9/4; 9/4; 5/2; 23/10; 11/5; 9/4; 23/10; 9/4; 47/20; 2; 40/17; 23/10; 9/4; 23/10; ; 9/4; 21/10; 23/10
Draw; 13/5; 12/5; 23/10; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 64/25; 28/11; 12/5; 12/5; 13/5; 49/20; ; 12/5; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-06 22:23:07 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 6/5; 6/5; 6/5; 6/5; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 11/10; 6/5; 15/13; 121/100; 6/5; 8/7; 6/5; 5/4; 6/5; ; 6/5; 10/9; 23/20
AFC Wimbledon; 12/5; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 9/4; 5/2; 12/5; 11/5; 23/10; 23/10; 23/10; 61/25; 2; 40/17; 23/10; 9/4; 23/10; ; 12/5; 11/5; 12/5
Draw; 13/5; 12/5; 9/4; 23/10; 12/5; 21/10; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 5/2; 13/5; 12/5; 12/5; 11/5; 12/5; 51/20; 28/11; 12/5; 12/5; 5/2; 49/20; ; 12/5; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-07 02:22:30 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 6/5; 6/5; 6/5; 6/5; 23/20; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 11/10; 6/5; 15/13; 6/5; 6/5; 8/7; 6/5; 6/5; 6/5; ; 23/20; 10/9; 23/20
AFC Wimbledon; 12/5; 9/4; 9/4; 9/4; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 23/10; 5/2; 12/5; 11/5; 23/10; 23/10; 23/10; 121/50; 2; 40/17; 23/10; 23/10; 23/10; ; 12/5; 9/4; 12/5
Draw; 13/5; 12/5; 23/10; 23/10; 12/5; 21/10; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 5/2; 13/5; 12/5; 12/5; 11/5; 12/5; 129/50; 28/11; 12/5; 12/5; 5/2; 49/20; ; 12/5; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-07 10:22:55 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 6/5; 6/5; 6/5; 6/5; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 23/20; 6/5; 23/20; 5/4; 6/5; 11/10; 6/5; 15/13; 6/5; 19/16; 8/7; 6/5; 6/5; 6/5; ; 6/5; 23/20; 6/5
AFC Wimbledon; 12/5; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 11/5; 12/5; 11/5; 23/10; 23/10; 23/10; 121/50; 39/19; 40/17; 23/10; 9/4; 23/10; ; 12/5; 23/10; 12/5
Draw; 13/5; 23/10; 23/10; 23/10; 12/5; 21/10; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 12/5; 13/5; 12/5; 12/5; 11/5; 12/5; 129/50; 5/2; 12/5; 12/5; 13/5; 49/20; ; 12/5; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-07 14:22:47 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 5/4; 11/10; 15/13; 6/5; 23/20; 43/40; 6/5; 5/4; 8/7; 23/20; 23/20; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 61/50; 10/9; 8/7; 11/10; 23/20; 11/10; ; 23/20; 23/20; 6/5
AFC Wimbledon; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 23/10; 9/4; 40/17; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 23/10; 5/2; 40/17; 119/50; 11/5; 40/17; 5/2; 12/5; 49/20; ; 23/10; 9/4; 12/5
Draw; 13/5; 12/5; 23/10; 23/10; 23/10; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 12/5; 11/5; 27/11; 129/50; 5/2; 12/5; 12/5; 13/5; 49/20; ; 12/5; 12/5; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-07 18:22:23 GMT+3; 2017-10-07 15:00; In Play; Xlenovo
Oxford; ; 1/16; 2/5; 1/25; ; 1/20; ; 1/33; ; 1/12; 4/11; 23/20; 1/14; ; 3/50; 4/11; 1/25; ; ; ; ; ; 1/18; 1/16; ; ; 2/5; 
Draw; ; 12; 10/3; 12; ; 10; ; 11; ; 10; 3; 23/10; 8; ; 7; 7/2; 17/2; ; ; ; ; ; 21/2; 10; ; ; 7/2; 59/5
AFC Wimbledon; ; 66; 13/2; 40; ; 40; ; 45; ; 33; 15/2; 49/20; 25; ; 28; 7; 33; ; ; ; ; ; 33; 40; ; ; 36/5; 20
