META; english/league-1/mk-dons-v-blackpool; 2018-03-18 18:21:16 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 8/5; 17/10; 169/00; 8/5; 6/4; 13/8; 17/10; 8/5; 17/11; 17/10; 8/5; 17/11; 6/5; 11/10
Blackpool; 13/8; 3/2; 17/10; 8/5; 6/4; 13/8; 13/8; 8/5; 17/11; 13/8; 8/5; 17/11; 27/20; 6/5
Draw; 12/5; 12/5; 63/25; 23/10; 11/5; 12/5; 11/5; 23/10; 23/10; 23/10; 47/20; 23/10; 19/10; 13/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 02:32:47 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 17/10; 8/5; 163/00; 31/20; 6/4; 7/5; 8/5; 6/4; 31/20; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 7/5; 6/4
Blackpool; 17/10; 3/2; 9/5; 37/20; 15/8; 17/10; 17/10; 9/5; 9/5; 15/8; 7/4; 17/10; 17/10; 9/5; 7/4; 17/10; 7/4; 17/10
Draw; 12/5; 12/5; 21/10; 12/5; 23/10; 9/4; 21/10; 2; 23/10; 21/10; 11/5; 28/13; 11/5; 23/10; 21/10; 11/5; 2; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 10:32:54 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 17/10; 8/5; 13/8; 13/8; 31/20; 6/4; 7/5; 31/21; 31/20; 6/4; 31/20; 6/4; 6/4; 16/11; 6/4; 6/4; 31/21; 31/20; 31/20; 6/4; 7/5; 6/4
Blackpool; 17/10; 3/2; 9/5; 9/5; 46/25; 15/8; 17/10; 17/10; 7/4; 9/5; 9/5; 7/4; 9/5; 17/10; 17/10; 17/10; 17/10; 7/4; 9/5; 7/4; 17/10; 7/4; 17/10
Draw; 12/5; 12/5; 21/10; 21/10; 121/0; 23/10; 9/4; 11/5; 40/17; 21/10; 23/10; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 40/17; 23/10; 21/10; 9/4; 2; 21/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 14:33:00 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 17/10; 8/5; 13/8; 83/50; 8/5; 8/5; 7/5; 31/21; 8/5; 8/5; 13/8; 8/5; 6/4; 8/5; 6/4; 6/4; 6/4; 31/21; 31/20; 31/20; 6/4; 6/4; 13/8
Blackpool; 17/10; 3/2; 7/4; 9/5; 47/25; 9/5; 7/4; 17/10; 7/4; 7/4; 7/4; 15/8; 7/4; 9/5; 17/10; 28/17; 17/10; 17/10; 7/4; 7/4; 7/4; 17/10; 13/8; 9/5
Draw; 12/5; 12/5; 21/10; 21/10; 23/10; 23/10; 11/5; 21/10; 40/17; 21/10; 23/10; 2; 9/4; 23/10; 21/10; 11/5; 23/10; 11/5; 40/17; 12/5; 21/10; 11/5; 2; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 18:33:01 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 13/8; 8/5; 13/8; 83/50; 8/5; 8/5; 7/5; 17/11; 8/5; 8/5; 13/8; 13/10; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 7/5; 13/8; 13/8
MK Dons; 15/8; 7/4; 9/5; 7/4; 37/20; 9/5; 7/4; 17/10; 17/10; 9/5; 7/4; 17/10; 9/5; 9/5; 17/10; 7/4; 7/4; 8/5; 7/4; 17/10; 7/4; 37/20; 7/4; 9/5; 9/5; 9/5
Draw; 12/5; 9/4; 21/10; 11/5; 62/25; 12/5; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; 43/20; 2; 9/4; 23/10; 12/5; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-24 10:33:26 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 13/8; 6/4; 31/20; 13/8; 79/50; 17/10; 6/4; 8/5; 31/21; 31/20; 31/20; 6/4; 8/5; 7/5; 6/4; 6/4; 17/11; 52/35; 31/21; 31/20; 6/4; 17/11; 6/4; 6/4; 8/5; 13/8; 
MK Dons; 15/8; 9/5; 9/5; 7/4; 46/25; 9/5; 7/4; 17/10; 17/10; 15/8; 7/4; 7/4; 9/5; 37/20; 17/10; 9/5; 9/5; 8/5; 23/13; 17/10; 9/5; 37/20; 9/5; 15/8; 19/10; 15/8; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 5/2; 12/5; 9/4; 9/4; 27/11; 21/10; 23/10; 9/4; 43/20; 2; 11/5; 11/5; 12/5; 9/4; 27/11; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 12/5; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-24 14:33:32 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 17/10; 13/8; 17/10; 13/8; 177/00; 17/10; 13/8; 8/5; 31/21; 17/10; 13/8; 13/8; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 29/18; 31/21; 17/10; 13/8; 28/17; 13/8; 17/10; 17/10; 17/10
MK Dons; 9/5; 17/10; 17/10; 7/4; 7/4; 9/5; 7/4; 17/10; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 6/4; 17/10; 7/4; 7/4; 18/11; 17/10; 17/10; 7/4; 17/10; 13/8; 17/10; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 58/25; 12/5; 9/4; 9/4; 27/11; 21/10; 9/4; 21/10; 9/4; 21/10; 2; 11/5; 28/13; 21/10; 9/4; 27/11; 12/5; 9/4; 11/5; 23/10; 23/10; 12/5; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-24 18:33:31 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Draw; 8/13; 8/13; 4/7; 4/9; 37/50; 8/15; 13/20; 1/2; 3/5; 5/6; 1/2; 1/2; 4/7; 4/7; 3/5; 6/7; 6/11; 10/21; 8/15; 13/20; 5/7; 4/7; 4/9; 8/15
Blackpool; 7/2; 10/3; 7/2; 4; 31/10; 4; 7/2; 7/2; 3; 15/4; 37/10; 100/0; 10/3; 45/17; 10/3; 15/4; 15/4; 10/3; 13/4; 4; 21/5; ; ; 
MK Dons; 7/2; 10/3; 10/3; 4; 69/20; 18/5; 3; 7/2; 16/5; 11/4; 7/2; 7/2; 37/10; 100/0; 10/3; 45/17; 7/2; 37/10; 4; 7/2; 56/19; 7/2; 12/5; 7/2
