META; english/league-1/rochdale-v-rotherham; 2017-10-01 02:21:52 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Rotherham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 10:21:50 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Rotherham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 14:21:59 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 6/4; ; 6/4; 7/5; 6/4; ; ; ; ; 6/4; ; 6/4; ; ; 16/11; 31/20; ; 6/4; ; ; 6/4; ; 5/4; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; ; 7/4; 13/8; 28/17; ; ; ; ; 7/4; ; 7/4; ; ; 28/17; 15/8; ; 28/17; ; ; 33/20; ; 6/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 13/5; 27/11; ; ; ; ; 11/4; ; 12/5; ; ; 40/17; 5/2; ; 27/11; ; ; 12/5; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 18:21:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 6/4; 29/20; 6/4; 7/5; 6/4; ; 6/4; ; ; 6/4; 7/5; 6/4; 6/4; ; 16/11; 31/20; ; 6/4; ; ; 6/4; ; 23/20; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; 33/20; 9/5; 17/10; 28/17; ; 7/4; ; ; 9/5; 9/5; 7/4; 17/10; ; 28/17; 15/8; ; 28/17; ; ; 33/20; ; 5/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; 9/4; 12/5; 12/5; 27/11; ; 12/5; ; ; 13/5; 5/2; 12/5; 23/10; ; 12/5; 5/2; ; 27/11; ; ; 12/5; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 22:21:12 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 6/4; 29/20; 8/5; 6/4; 6/4; ; 8/5; 31/20; ; 8/5; 6/4; 6/4; 6/4; ; 6/4; 31/20; ; 6/4; 8/5; ; 31/20; ; 6/4; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; 33/20; 17/10; 13/8; 28/17; ; 17/10; 33/20; ; 9/5; 17/10; 7/4; 17/10; ; 17/10; 15/8; ; 28/17; 7/4; ; 33/20; ; 13/8; ; 
Draw; 12/5; 23/10; ; ; 12/5; 9/4; 12/5; 12/5; 27/11; ; 23/10; 12/5; ; 13/5; 12/5; 12/5; 23/10; ; 9/4; 5/2; ; 27/11; 12/5; ; 23/10; ; 11/5; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-02 02:21:05 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 8/5; 29/20; 8/5; 6/4; 6/4; ; 8/5; 31/20; ; 8/5; 6/4; 6/4; 6/4; ; 6/4; 31/20; ; 6/4; 8/5; ; 31/20; ; 6/4; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; 33/20; 17/10; 13/8; 28/17; ; 17/10; 33/20; ; 9/5; 17/10; 7/4; 17/10; ; 17/10; 15/8; ; 28/17; 7/4; ; 33/20; ; 13/8; ; 
Draw; 12/5; 23/10; ; ; 23/10; 9/4; 12/5; 12/5; 27/11; ; 23/10; 12/5; ; 13/5; 12/5; 23/10; 23/10; ; 9/4; 5/2; ; 27/11; 12/5; ; 23/10; ; 11/5; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-02 10:21:33 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; 8/5; 6/4; 29/20; 6/4; 6/4; 6/4; ; 6/4; 6/4; ; 8/5; 6/4; 6/4; 6/4; ; 6/4; 161/100; 23/17; 6/4; 8/5; ; 31/20; ; 6/4; ; 
Rotherham; 17/10; 9/5; ; 13/8; 17/10; 33/20; 7/4; 13/8; 28/17; ; 17/10; 7/4; ; 9/5; 17/10; 7/4; 17/10; ; 17/10; 15/8; 8/5; 28/17; 7/4; ; 33/20; ; 17/10; ; 
Draw; 12/5; 23/10; ; 12/5; 5/2; 9/4; 5/2; 12/5; 27/11; ; 5/2; 12/5; ; 13/5; 12/5; 12/5; 23/10; ; 9/4; 12/5; 9/4; 27/11; 12/5; ; 23/10; ; 23/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-02 18:21:49 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 17/11; 8/5; 6/4; 29/20; ; 6/4; 17/11; 31/20; 31/20; 31/20; 6/4; 8/5; 6/4; 6/4; 6/4; 17/11; 33/20; 23/17; 17/11; 8/5; 31/20; 31/20; ; 6/4; 6/4; 
Rotherham; 31/20; 6/4; 17/11; 8/5; 8/5; 13/8; 8/5; 13/8; 6/4; 31/20; 31/20; 31/20; 7/4; 17/10; 8/5; 6/4; 28/17; 17/11; 161/100; 26/19; 6/4; 13/8; 31/20; 31/20; ; 6/4; 6/4; 13/8
Draw; 12/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 13/5; 27/11; 27/11; 12/5; 5/2; 51/20; ; 12/5; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-06 10:22:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rotherham; 13/8; 6/4; 17/11; 8/5; 8/5; 13/8; 8/5; 13/8; 6/4; 31/20; 31/20; 31/20; 7/4; 17/10; 8/5; 6/4; 28/17; 17/11; 161/100; 26/19; 6/4; 13/8; 31/20; 31/20; ; 6/4; 6/4; 13/8
Rochdale; 7/4; 17/10; 13/8; 13/8; 13/8; 6/4; 13/8; 6/4; 28/17; 13/8; 13/8; 33/20; 29/20; 13/8; 13/8; 8/5; 17/11; 28/17; 87/50; 16/11; 28/17; 13/8; 13/8; 33/20; ; 13/8; 13/8; 17/10
Draw; 13/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 13/5; 27/11; 27/11; 12/5; 13/5; 51/20; ; 12/5; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-06 14:23:13 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rotherham; 13/8; 6/4; 17/11; 8/5; 8/5; 13/8; 8/5; 13/8; 6/4; 31/20; 31/20; 31/20; 7/4; 7/4; 8/5; 6/4; 28/17; 17/11; 41/25; 26/19; 6/4; 13/8; 31/20; 31/20; ; 8/5; 6/4; 13/8
Rochdale; 7/4; 17/10; 13/8; 13/8; 13/8; 6/4; 13/8; 6/4; 28/17; 13/8; 13/8; 33/20; 29/20; 13/8; 13/8; 8/5; 17/11; 28/17; 43/25; 16/11; 28/17; 13/8; 17/10; 33/20; ; 13/8; 13/8; 17/10
Draw; 13/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 13/5; 12/5; 12/5; 23/10; 12/5; 129/50; 27/11; 27/11; 12/5; 13/5; 51/20; ; 12/5; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-06 18:22:44 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rotherham; 13/8; 6/4; 17/11; 8/5; 8/5; 13/8; 8/5; 13/8; 6/4; 31/20; 31/20; 31/20; 17/10; 7/4; 8/5; 6/4; 28/17; 17/11; 41/25; 16/11; 6/4; 13/8; 31/20; 31/20; ; 6/4; 6/4; 13/8
Rochdale; 7/4; 17/10; 13/8; 13/8; 13/8; 6/4; 13/8; 6/4; 28/17; 13/8; 13/8; 33/20; 6/4; 13/8; 13/8; 8/5; 17/11; 28/17; 43/25; 8/5; 28/17; 13/8; 17/10; 33/20; ; 13/8; 13/8; 17/10
Draw; 13/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 13/5; 12/5; 5/2; 23/10; 40/17; 129/50; 13/5; 27/11; 12/5; 13/5; 51/20; ; 12/5; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-06 22:23:14 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rotherham; 13/8; 6/4; 17/11; 8/5; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 31/20; 31/20; 17/10; 17/10; 8/5; 6/4; 28/17; 17/11; 83/50; 6/4; 6/4; 13/8; 31/20; 31/20; ; 13/8; 6/4; 13/8
Rochdale; 7/4; 17/10; 13/8; 13/8; 13/8; 6/4; 13/8; 13/8; 28/17; 8/5; 13/8; 33/20; 6/4; 17/10; 13/8; 8/5; 17/11; 8/5; 169/100; 32/21; 28/17; 13/8; 17/10; 33/20; ; 13/8; 13/8; 13/8
Draw; 13/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 13/5; 12/5; 5/2; 23/10; 12/5; 13/5; 45/17; 27/11; 12/5; 13/5; 51/20; ; 12/5; 23/10; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-07 02:22:35 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rotherham; 13/8; 6/4; 17/11; 8/5; 8/5; 6/4; 8/5; 8/5; 6/4; 6/4; 31/20; 31/20; 17/10; 17/10; 8/5; 6/4; 17/11; 17/11; 83/50; 6/4; 6/4; 13/8; 31/20; 31/20; ; 6/4; 6/4; 13/8
Rochdale; 7/4; 17/10; 13/8; 13/8; 13/8; 13/8; 13/8; 13/8; 28/17; 8/5; 13/8; 33/20; 6/4; 17/10; 13/8; 8/5; 28/17; 8/5; 169/100; 32/21; 28/17; 13/8; 17/10; 33/20; ; 13/8; 13/8; 13/8
Draw; 13/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 13/5; 12/5; 5/2; 23/10; 12/5; 13/5; 45/17; 27/11; 12/5; 13/5; 51/20; ; 12/5; 23/10; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-07 10:23:00 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 8/5; 6/4; 6/4; 13/8; 8/5; 13/8; 8/5; 13/8; 17/11; 6/4; 31/20; 31/20; 8/5; 17/10; 6/4; 6/4; 28/17; 6/4; 79/50; 16/11; 17/11; 8/5; 31/20; 31/20; ; 6/4; 6/4; 6/4
Rotherham; 9/5; 17/10; 28/17; 8/5; 13/8; 6/4; 17/10; 8/5; 8/5; 13/8; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 17/11; 28/17; 44/25; 11/7; 8/5; 13/8; 17/10; 33/20; ; 17/10; 13/8; 17/10
Draw; 5/2; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 12/5; 49/20; 12/5; 13/5; 13/5; 12/5; 23/10; 12/5; 131/50; 45/17; 27/11; 5/2; 13/5; 51/20; ; 5/2; 12/5; 13/5
META; english/league-1/rochdale-v-rotherham; 2017-10-07 14:22:52 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 8/5; 7/5; 6/4; 8/5; 6/4; 6/4; 8/5; 6/4; 17/11; 6/4; 29/20; 6/4; 6/4; 13/8; 6/4; 6/4; 17/11; 6/4; 163/100; 16/11; 17/11; 6/4; 6/4; 6/4; ; 6/4; 6/4; 6/4
Rotherham; 7/4; 17/10; 17/10; 13/8; 17/10; 13/8; 7/4; 13/8; 8/5; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 28/17; 17/10; 43/25; 8/5; 8/5; 7/4; 7/4; 17/10; ; 17/10; 17/10; 7/4
Draw; 13/5; 12/5; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 12/5; 13/5; 12/5; 5/2; 23/10; 27/11; 13/5; 13/5; 27/11; 5/2; 13/5; 51/20; ; 5/2; 12/5; 13/5
META; english/league-1/rochdale-v-rotherham; 2017-10-07 18:22:28 GMT+3; 2017-10-07 15:00; In Play; Xlenovo
Rotherham; 1/3; 1/3; 19/10; 17/10; ; 3/10; ; 3/10; ; 8/5; 15/8; 7/4; 15/8; ; 7/20; 8/5; 3/10; ; ; ; ; ; 1/3; 3/10; ; ; 17/10; 1/4
Draw; 10/3; 10/3; 6/5; 12/5; ; 16/5; ; 3; ; 2; 11/8; 49/20; 6/5; ; 29/10; 2; 3; ; ; ; ; ; 10/3; 10/3; ; ; 23/10; 
Rochdale; 11; 14; 12/5; 6/4; ; 10; ; 10; ; 33/20; 15/8; 6/4; 5/2; ; 37/4; 8/5; 23/2; ; ; ; ; ; 11; 14; ; ; 17/10; 14/5
