META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-18 18:21:26 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 10/11; 5/6; 20/21; 20/23; 4/5; 9/10; 10/11; 10/11; 13/15; 20/23; 9/10; 13/15; 4/7; 4/7
Draw; 5/2; 5/2; 66/25; 12/5; 5/2; 11/5; 12/5; 12/5; 5/2; 49/20; 12/5; 2; 7/5; 
AFC Wimbledon; 3; 10/3; 16/5; 3; 16/5; 16/5; 7/2; 3; 56/19; 17/5; 3; 56/19; 27/10; 6/5
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 02:32:57 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 4/5; 5/6; 5/6; 43/50; 4/5; 4/5; 8/11; 5/6; 4/5; 5/6; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 8/11; 8/11
Draw; 13/5; 5/2; 23/10; 133/0; 13/5; 5/2; 12/5; 9/4; 13/5; 23/10; 12/5; 12/5; 12/5; 5/2; 47/20; 27/11; 23/10; 12/5
AFC Wimbledon; 10/3; 10/3; 18/5; 73/20; 18/5; 10/3; 10/3; 18/5; 7/2; 7/2; 7/2; 16/5; 41/13; 7/2; 7/2; 13/4; 3; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 10:33:03 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 4/5; 5/6; 5/6; 17/20; 17/20; 4/5; 8/11; 4/5; 5/6; 4/5; 20/23; 5/6; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; 5/6; 4/5; 4/5; 4/5
Draw; 13/5; 5/2; 9/4; 67/25; 5/2; 5/2; 23/10; 28/11; 11/5; 13/5; 9/4; 12/5; 12/5; 12/5; 5/2; 40/17; 28/11; 5/2; 23/10; 12/5; 12/5; 5/2
AFC Wimbledon; 10/3; 10/3; 15/4; 37/10; 18/5; 10/3; 10/3; 7/2; 18/5; 7/2; 7/2; 7/2; 7/2; 33/10; 10/3; 16/5; 7/2; 18/5; 7/2; 33/10; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 14:33:10 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 4/5; 3/4; 3/4; 8/11; 4/5; 4/5; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 8/11
Draw; 13/5; 5/2; 23/10; 51/20; 5/2; 12/5; 23/10; 28/11; 9/4; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 28/11; 5/2; 47/20; 12/5; 9/4; 5/2
AFC Wimbledon; 15/4; 10/3; 4; 43/10; 4; 15/4; 7/2; 7/2; 4; 15/4; 7/2; 15/4; 15/4; 33/10; 10/3; 57/17; 7/2; 19/5; 4; 33/10; 7/2; 22/5; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 18:33:11 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 4/5; 7/10; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 14/19; 4/5; 3/4; 4/5; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 9/4; 5/2; 12/5; 5/2; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 9/4; 9/4; 12/5; 5/2
AFC Wimbledon; 15/4; 19/5; 4; 43/10; 4; 7/2; 41/10; 4; 15/4; 4; 15/4; 15/4; 33/10; 10/3; 57/17; 41/10; 19/5; 4; 33/10; 7/2; 7/2; 21/5; 22/5; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 22:33:12 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 7/10; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 14/19; 4/5; 3/4; 4/5; 8/11; 8/11; 8/11; 8/11
Draw; 12/5; 11/5; 11/5; 11/5; 49/20; 12/5; 23/10; 9/4; 9/4; 11/5; 12/5; 11/5; 5/2; 11/5; 21/10; 9/4; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 23/10; 23/10; 12/5; 12/5; 
AFC Wimbledon; 7/2; 15/4; 7/2; 7/2; 18/5; 15/4; 10/3; 7/2; 16/5; 7/2; 10/3; 7/2; 7/2; 18/5; 3; 7/2; 17/5; 17/5; 31/10; 16/5; 18/5; 7/2; 17/5; 7/2; 10/3; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-24 02:33:23 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 19/20; 10/11; 20/23; 10/11; 23/25; 10/11; 20/23; 5/6; 15/16; 20/23; 9/10; 10/11; 10/11; 9/10; 5/6; 10/11; 13/15; 5/6; 7/8; 15/16; 20/23; 10/11; 13/15; 5/6; 9/10; 5/6; 9/10
Draw; 12/5; 21/10; 11/5; 11/5; 49/20; 12/5; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 21/10; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10
AFC Wimbledon; 7/2; 7/2; 18/5; 7/2; 73/20; 15/4; 7/2; 7/2; 16/5; 18/5; 7/2; 7/2; 10/3; 18/5; 3; 7/2; 17/5; 7/2; 13/4; 16/5; 15/4; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-24 10:33:36 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 19/20; 10/11; 10/11; 10/11; 47/50; 19/20; 9/10; 10/11; 13/15; 1; 10/11; 20/21; 1; 17/20; 19/20; 10/11; 5/6; 68/67; 13/15; 1; 10/11; 10/11; 5/6; 20/21; 20/21; 20/21; 
Draw; 12/5; 21/10; 11/5; 11/5; 59/25; 12/5; 9/4; 9/4; 40/17; 21/10; 23/10; 11/5; 11/5; 21/10; 2; 11/5; 9/4; 23/10; 9/4; 40/17; 23/10; 9/4; 9/4; 23/10; 9/4; 9/4; 23/10
AFC Wimbledon; 7/2; 7/2; 17/5; 7/2; 37/10; 18/5; 10/3; 10/3; 57/17; 16/5; 10/3; 10/3; 3; 16/5; 3; 10/3; 57/17; 7/2; 14/5; 57/17; 31/10; 7/2; 17/5; 7/2; 7/2; 10/3; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-24 14:33:43 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 17/20; 3/4; 4/5; 4/5; 43/50; 20/23; 5/6; 4/5; 13/15; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 5/6; 5/6; 4/5; 11/14; 4/5; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6
Draw; 12/5; 9/4; 9/4; 23/10; 121/0; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 9/4; 12/5; 9/4; 21/10; 23/10; 40/17; 23/10; 40/17; 40/17; 12/5; 47/20; 40/17; 23/10; 12/5; 23/10; 12/5
AFC Wimbledon; 17/4; 17/4; 21/5; 19/5; 41/10; 4; 7/2; 57/17; 21/5; 19/5; 4; 15/4; 4; 7/2; 4; 18/5; 7/2; 18/5; 19/5; 21/5; 15/4; 15/4; 21/5; 22/5; 4; 22/5; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-24 18:33:42 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 1/7; 1/8; 1/6; 1/7; 19/00; 1/10; 1/8; 1/10; 2/17; 1/6; 2/13; 2/13; 1/6; 2/15; 1/10; 3/19; 1/8; 1/10; 1/7; 2/13; 1/8; 1/6; 2/13; 2/15
Draw; 5; 24/5; 11/2; 24/5; 13/2; 5; 11/2; 5; 9/2; 17/4; 5; 19/4; 11/2; 5; 9/2; 27/5; 21/4; 5; 49/10; 27/5; 2; 32/5; ; 
AFC Wimbledon; 50; 66; 40; 33; 28; 80; 33; 40; 33; 33; 33; 22; 30; 22; 40; 28; 33; 25; 30; 33; 75/2; 54; 7/2; 63
