META; english/league-2/colchester-v-mansfield; 2017-10-01 02:22:15 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Colchester; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 10:22:13 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Colchester; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 14:22:22 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; ; ; ; 13/10; ; ; ; ; ; 11/8; ; ; ; ; ; 139/100; ; ; ; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; ; ; ; 2; ; ; ; ; ; 11/5; ; ; ; ; ; 21/10; ; ; ; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; 5/2; ; ; ; ; ; 63/25; ; ; ; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 18:21:48 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; ; ; 11/8; ; ; 13/10; ; 5/4; 139/100; ; 13/10; ; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; 2; 15/8; 85/40; 2; 2; ; 19/10; ; ; 11/5; ; ; 2; ; 37/19; 21/10; ; 2; ; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; ; ; 5/2; ; ; 23/10; ; 40/17; 63/25; ; 40/17; ; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 22:21:35 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; 5/4; ; 11/8; ; ; 13/10; ; 5/4; 139/100; ; 13/10; 13/10; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; 2; 15/8; 85/40; 2; 2; ; 19/10; 39/20; ; 11/5; ; ; 2; ; 37/19; 21/10; ; 2; 2; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; 47/20; ; 5/2; ; ; 23/10; ; 40/17; 63/25; ; 40/17; 12/5; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-02 02:21:27 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; 5/4; ; 11/8; ; 13/10; 13/10; ; 5/4; 139/100; ; 13/10; 13/10; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; 2; 15/8; 85/40; 2; 2; ; 19/10; 39/20; ; 11/5; ; 2; 2; ; 37/19; 21/10; ; 2; 2; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; 47/20; ; 5/2; ; 12/5; 23/10; ; 40/17; 63/25; ; 40/17; 12/5; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-02 10:21:56 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; 5/4; ; 11/8; ; 13/10; 13/10; ; 5/4; 139/100; ; 13/10; 13/10; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; 7/4; 2; 15/8; 85/40; 2; 2; ; 19/10; 39/20; ; 11/5; ; 2; 2; ; 37/19; 21/10; ; 2; 2; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; 47/20; ; 5/2; ; 12/5; 23/10; ; 40/17; 63/25; ; 40/17; 12/5; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-02 18:22:13 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 11/8; 13/10; 5/4; ; 13/10; 13/10; 13/10; 13/10; 13/10; 23/20; 13/10; 11/8; 13/10; 13/10; 13/10; 139/100; 5/4; 13/10; 13/10; 11/8; 27/20; ; 5/4; 13/10; 
Colchester; 21/10; 2; 2; 19/10; 2; 39/20; 2; 21/10; 39/19; 2; 2; 39/20; 9/4; 9/4; 21/10; 2; 21/10; 2; 109/50; 19/11; 39/19; 2; 2; 21/10; ; ; 19/10; 21/10
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; 41/20; 23/10; 23/10; 23/10; 11/5; 9/4; 11/5; 12/5; 5/2; 23/10; 9/4; 11/5; 23/10; 62/25; 40/17; 23/10; 23/10; 5/2; 47/20; ; ; 11/5; 12/5
META; english/league-2/colchester-v-mansfield; 2017-10-06 18:23:16 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 7/5; 11/8; 23/17; 7/5; 13/10; 5/4; 7/5; 13/10; 13/10; 27/20; 7/5; 27/20; 6/5; 11/8; 13/10; 11/8; 13/10; 23/17; 69/50; 7/5; 13/10; 13/10; 7/5; 27/20; ; ; 13/10; 11/8
Colchester; 21/10; 2; 2; 19/10; 2; 39/20; 2; 21/10; 39/19; 2; 2; 39/20; 11/5; 9/4; 21/10; 2; 21/10; 2; 54/25; 7/4; 39/19; 2; 2; 2; ; ; 19/10; 21/10
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; 41/20; 23/10; 23/10; 23/10; 11/5; 11/5; 11/5; 23/10; 5/2; 23/10; 23/10; 11/5; 23/10; 123/50; 27/11; 23/10; 23/10; 5/2; 47/20; ; ; 11/5; 12/5
META; english/league-2/colchester-v-mansfield; 2017-10-06 22:23:38 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 7/5; 11/8; 23/17; 7/5; 13/10; 5/4; 7/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 7/5; 11/8; 11/8; 13/10; 13/10; 69/50; 7/5; 13/10; 13/10; 7/5; 27/20; ; ; 13/10; 7/5
Colchester; 21/10; 2; 2; 19/10; 2; 39/20; 2; 2; 39/19; 2; 2; 39/20; 11/5; 21/10; 19/10; 2; 21/10; 2; 85/40; 7/4; 39/19; 2; 2; 2; ; ; 19/10; 2
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; 41/20; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 23/10; 5/2; 12/5; 23/10; 11/5; 40/17; 5/2; 27/11; 23/10; 23/10; 5/2; 47/20; ; ; 11/5; 12/5
META; english/league-2/colchester-v-mansfield; 2017-10-07 02:23:01 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 7/5; 13/10; 23/17; 7/5; 13/10; 5/4; 7/5; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 13/10; 13/10; 23/17; 69/50; 7/5; 13/10; 13/10; 7/5; 27/20; ; ; 11/8; 7/5
Colchester; 21/10; 2; 2; 19/10; 2; 39/20; 2; 2; 39/19; 2; 2; 39/20; 2; 21/10; 19/10; 2; 21/10; 2; 85/40; 7/4; 39/19; 2; 2; 2; ; ; 19/10; 21/10
Draw; 5/2; 12/5; 9/4; 23/10; 12/5; 41/20; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 12/5; 5/2; 12/5; 12/5; 11/5; 23/10; 5/2; 27/11; 23/10; 23/10; 5/2; 47/20; ; ; 9/4; 12/5
META; english/league-2/colchester-v-mansfield; 2017-10-07 10:23:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 7/5; 13/10; 23/17; 7/5; 11/8; 5/4; 7/5; 13/10; 13/10; 27/20; 13/10; 27/20; 11/8; 7/5; 11/8; 11/8; 13/10; 13/10; 139/100; 7/5; 13/10; 13/10; 7/5; 27/20; ; ; 11/8; 11/8
Colchester; 21/10; 2; 2; 19/10; 2; 39/20; 2; 2; 39/19; 2; 2; 19/10; 2; 21/10; 19/10; 2; 21/10; 2; 85/40; 7/4; 39/19; 2; 2; 2; ; ; 2; 21/10
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 41/20; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 23/10; 5/2; 12/5; 23/10; 11/5; 23/10; 62/25; 27/11; 23/10; 23/10; 12/5; 47/20; ; ; 23/10; 12/5
META; english/league-2/colchester-v-mansfield; 2017-10-07 14:23:20 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 13/10; 13/10; 5/4; 23/20; 13/10; 6/5; 13/10; 13/10; 13/10; 5/4; 5/4; 11/8; 6/5; 13/10; 6/5; 15/13; 129/100; 6/5; 13/10; 13/10; 5/4; 13/10; ; ; 11/8; 6/5
Colchester; 9/4; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 39/19; 21/10; 21/10; 41/20; 11/5; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 39/19; 39/19; 85/40; 11/5; 21/10; ; ; 2; 12/5
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 21/10; 12/5; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 5/2; 12/5; 12/5; 9/4; 12/5; 64/25; 27/11; 23/10; 12/5; 13/5; 12/5; ; ; 23/10; 13/5
META; english/league-2/colchester-v-mansfield; 2017-10-07 18:22:50 GMT+3; 2017-10-07 15:00; In Play; Xlenovo
Colchester; 1/16; 1/16; 19/10; ; 15/8; 1/25; 9/5; 1/20; 17/35; 19/10; 1/8; ; 1/9; ; 2/25; ; 1/25; ; ; ; 9/5; ; 1/14; 1/14; ; ; 2; 1/9
Draw; 10; 10; 28/15; ; 11/5; 17/2; 9/4; 9; 11/4; 21/10; 6; ; 8; ; 7; ; 17/2; ; ; ; 15/8; ; 19/2; 9; ; ; 12/5; 13/5
Mansfield; 28; 50; 6/4; ; 13/8; 33; 5/4; 35; 27/5; 7/5; 16; ; 18; ; 37/2; ; 30; ; ; ; 17/11; ; 28; 33; ; ; 13/10; 
