META; english/league-2/newport-county-v-yeovil; 2017-10-01 02:22:25 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Yeovil; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 10:22:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Yeovil; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 14:22:32 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 10/11; ; ; 5/6; ; ; ; ; ; 20/21; ; ; ; ; ; 1; ; ; ; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; ; ; 13/5; ; ; ; ; ; 14/5; ; ; ; ; ; 137/50; ; ; ; ; 13/5; ; 5/2; ; 
Yeovil; 14/5; 14/5; ; ; 11/4; ; ; 11/4; ; ; ; ; ; 3; ; ; ; ; ; 72/25; ; ; ; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 18:21:57 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 9/10; 17/20; 37/40; 5/6; 9/10; ; 10/11; ; ; 10/11; ; ; 9/10; 9/10; 10/11; 93/100; ; 9/10; ; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; ; ; 3; ; ; 13/5; 28/11; 28/11; 71/25; ; 28/11; ; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; ; 3; 13/5; 3; 11/4; 14/5; ; 14/5; ; ; 3; ; ; 14/5; 14/5; 11/4; 61/20; ; 14/5; ; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 22:21:45 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 9/10; 17/20; 10/11; 5/6; 9/10; ; 10/11; 9/10; ; 10/11; ; ; 9/10; 9/10; 10/11; 23/25; ; 9/10; 9/10; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; 49/20; ; 3; ; ; 13/5; 28/11; 28/11; 72/25; ; 28/11; 13/5; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; ; 3; 13/5; 3; 11/4; 14/5; ; 14/5; 14/5; ; 3; ; ; 14/5; 14/5; 11/4; 61/20; ; 14/5; 14/5; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-02 02:21:37 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 9/10; 17/20; 10/11; 5/6; 9/10; ; 10/11; 9/10; ; 10/11; ; 10/11; 9/10; 9/10; 10/11; 23/25; ; 9/10; 9/10; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; 49/20; ; 3; ; 13/5; 13/5; 28/11; 28/11; 72/25; ; 28/11; 13/5; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; ; 3; 13/5; 3; 11/4; 14/5; ; 14/5; 11/4; ; 3; ; 14/5; 14/5; 14/5; 11/4; 61/20; ; 14/5; 14/5; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-02 10:22:06 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; 5/6; 9/10; 17/20; 10/11; 5/6; 9/10; ; 10/11; 9/10; ; 10/11; ; 10/11; 9/10; 9/10; 10/11; 23/25; ; 9/10; 9/10; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; 23/10; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; 49/20; ; 3; ; 13/5; 13/5; 28/11; 28/11; 72/25; ; 28/11; 13/5; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; 13/5; 3; 13/5; 3; 11/4; 14/5; ; 14/5; 14/5; ; 3; ; 14/5; 14/5; 14/5; 11/4; 61/20; ; 14/5; 14/5; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-02 18:22:23 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 19/20; 10/11; 10/11; 10/11; 17/20; ; 10/11; 9/10; 10/11; 20/21; 10/11; 4/5; 10/11; 19/20; 10/11; 9/10; 10/11; 23/25; 19/20; 9/10; 1; 20/21; 19/20; ; 9/10; 10/11; 
Yeovil; 15/4; 16/5; 10/3; 16/5; 10/3; 3; 16/5; 16/5; 16/5; 13/4; 16/5; 16/5; 10/3; 16/5; 16/5; 16/5; 13/4; 13/4; 18/5; 14/5; 16/5; 3; 16/5; 10/3; ; 3; 3; 7/2
META; english/league-2/newport-county-v-yeovil; 2017-10-06 14:23:53 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 5/6; 5/6; 4/5; 5/6; 4/5; 3/4; 5/6; 4/5; 4/5; 4/5; 20/23; 4/5; 4/5; 20/23; 4/5; 4/5; 7/9; 4/5; 4/5; 4/5; 4/5; 4/5; 20/23; 5/6; ; 4/5; 4/5; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 5/2; 5/2; 13/5; 29/10; 11/4; 5/2; 27/10; 27/10; 74/25; 5/2; 27/10; 11/4; 11/4; 53/20; ; 14/5; 5/2; 14/5
Yeovil; 15/4; 16/5; 10/3; 16/5; 10/3; 3; 16/5; 16/5; 16/5; 13/4; 16/5; 16/5; 10/3; 10/3; 16/5; 16/5; 13/4; 33/10; 18/5; 14/5; 16/5; 3; 10/3; 10/3; ; 3; 3; 7/2
META; english/league-2/newport-county-v-yeovil; 2017-10-06 18:23:26 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 5/6; 5/6; 4/5; 5/6; 4/5; 3/4; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 20/23; 4/5; 4/5; 7/9; 4/5; 81/100; 4/5; 4/5; 4/5; 20/23; 5/6; ; 4/5; 8/11; 4/5
Draw; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 29/10; 11/4; 13/5; 27/10; 27/10; 59/20; 28/11; 27/10; 11/4; 11/4; 53/20; ; 14/5; 13/5; 14/5
Yeovil; 15/4; 3; 13/4; 16/5; 10/3; 3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 16/5; 10/3; 13/4; 13/4; 71/20; 33/10; 16/5; 3; 33/10; 10/3; ; 10/3; 3; 7/2
META; english/league-2/newport-county-v-yeovil; 2017-10-06 22:23:51 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 4/5; 5/6; 4/5; 5/6; 4/5; 3/4; 5/6; 8/11; 4/5; 4/5; 5/6; 3/4; 4/5; 5/6; 3/4; 4/5; 7/9; 10/13; 41/50; 13/17; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 4/5
Draw; 29/10; 13/5; 27/10; 13/5; 11/4; 5/2; 14/5; 11/4; 27/10; 27/10; 11/4; 13/5; 13/5; 3; 3; 11/4; 27/10; 14/5; 31/10; 11/4; 27/10; 14/5; 29/10; 11/4; ; 14/5; 13/5; 3
Yeovil; 18/5; 3; 13/4; 16/5; 10/3; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 10/3; 7/2; 16/5; 16/5; 13/4; 16/5; 67/20; 16/5; 16/5; 10/3; 7/2; 7/2; ; 3; 3; 3
META; english/league-2/newport-county-v-yeovil; 2017-10-07 02:23:12 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 4/5; 3/4; 4/5; 5/6; 4/5; 3/4; 5/6; 8/11; 4/5; 4/5; 5/6; 3/4; 4/5; 5/6; 3/4; 4/5; 7/9; 10/13; 41/50; 13/17; 4/5; 4/5; 4/5; 10/13; ; 4/5; 4/5; 4/5
Draw; 29/10; 14/5; 27/10; 13/5; 11/4; 5/2; 14/5; 11/4; 27/10; 27/10; 11/4; 13/5; 13/5; 3; 3; 11/4; 27/10; 14/5; 31/10; 11/4; 27/10; 14/5; 29/10; 11/4; ; 14/5; 11/4; 3
Yeovil; 18/5; 7/2; 13/4; 16/5; 10/3; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 10/3; 7/2; 16/5; 16/5; 13/4; 16/5; 67/20; 16/5; 16/5; 10/3; 7/2; 7/2; ; 3; 3; 3
META; english/league-2/newport-county-v-yeovil; 2017-10-07 10:23:38 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 4/5; 17/20; 5/6; 5/6; 4/5; 3/4; 5/6; 8/11; 4/5; 4/5; 5/6; 4/5; 17/20; 5/6; 3/4; 4/5; 7/9; 10/13; 83/100; 5/6; 4/5; 4/5; 20/23; 4/5; ; 4/5; 4/5; 4/5
Draw; 29/10; 11/4; 27/10; 13/5; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 13/5; 13/5; 11/4; 3; 3; 13/5; 27/10; 11/4; 73/25; 14/5; 27/10; 14/5; 14/5; 14/5; ; 14/5; 14/5; 14/5
Yeovil; 18/5; 3; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 16/5; 3; 16/5; 3; 3; 7/2; 16/5; 16/5; 13/4; 13/4; 69/20; 14/5; 16/5; 3; 16/5; 10/3; ; 3; 10/3; 10/3
META; english/league-2/newport-county-v-yeovil; 2017-10-07 14:23:30 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 5/6; 4/5; 4/5; 4/5; 4/5; 3/4; 5/6; 5/6; 4/5; 3/4; 3/4; 3/4; 4/5; 4/5; 3/4; 4/5; 7/9; 10/13; 4/5; 7/9; 4/5; 4/5; 4/5; 10/13; ; 4/5; 4/5; 4/5
Draw; 29/10; 13/5; 13/5; 13/5; 11/4; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 5/2; 11/4; 29/10; 11/4; 13/5; 27/10; 27/10; 141/50; 14/5; 27/10; 14/5; 29/10; 14/5; ; 27/10; 27/10; 14/5
Yeovil; 7/2; 10/3; 17/5; 10/3; 10/3; 3; 10/3; 10/3; 16/5; 7/2; 15/4; 16/5; 10/3; 18/5; 7/2; 10/3; 13/4; 7/2; 19/5; 3; 16/5; 10/3; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/league-2/newport-county-v-yeovil; 2017-10-07 18:23:10 GMT+3; 2017-10-07 15:00; In Play; Xlenovo
Newport County; 1/50; 1/50; 5/6; 3/4; ; 1/100; ; 1/80; 22/23; 4/5; 1/5; ; 2/9; ; ; ; 1/100; ; ; ; 8/9; ; 1/40; 1/100; ; ; 10/11; 1/33
Draw; 18; 28; 21/10; 13/5; 12/5; 18; ; 20; 21/10; 23/10; 4; ; 15/4; ; 4; 11/5; 19/2; ; ; ; 23/10; ; 12; 14; ; ; 23/10; 20
Yeovil; 80; 100; 18/5; 7/2; 10/3; 66; ; 150; 3; 13/4; 16; ; 16; ; 16; 3; 66; ; ; ; 3; ; 80; 100; ; ; 7/2; 
