META; english/premier-league/everton-v-stoke; 2017-06-15 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 4/6; 13/18; ; 4/9; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-21 14:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-21 18:15:49 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-21 22:15:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-22 02:15:51 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-22 10:15:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 39/10; 4; 7/2; 39/10; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-22 14:15:52 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-22 18:15:51 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-22 22:15:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-23 02:15:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-23 10:15:51 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-23 14:15:54 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-23 18:15:54 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-23 22:15:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-24 02:15:52 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/10; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-24 10:15:54 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/10; 37/10; 7/2; 15/4; ; 20/21; ; 
META; english/premier-league/everton-v-stoke; 2017-06-24 14:15:54 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 15/4; 21/5; 39/10; 37/10; 7/2; 15/4; ; 20/21; ; 
META; english/premier-league/everton-v-stoke; 2017-06-24 18:15:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 5/7; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/10; 37/10; 7/2; 15/4; ; 20/21; ; 
META; english/premier-league/everton-v-stoke; 2017-06-24 22:15:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 02:15:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 02:20:38 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 10:15:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 10:20:40 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 14:15:51 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 11/4; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 14:20:44 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 11/4; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 18:15:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 18:20:48 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 22:15:51 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-25 22:20:36 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 02:15:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 12/5; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 02:20:30 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 9/13; 4/6; 4/6; 9/13; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
