META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 18:18:35 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 22:18:41 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 02:19:14 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 06:19:52 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 10:18:08 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 14:19:05 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; 1/9; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; 79/10; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 18; ; ; ; ; ; ; ; ; 18; 15; 18; ; 15; 22; 14; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 18:20:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; ; ; ; ; 2/15; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 14:21:11 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 18:20:37 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; ; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 8; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; ; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 18; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; ; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 22:20:04 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; ; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; ; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 17; ; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 02:19:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; ; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; ; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; ; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 06:18:15 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 10:19:20 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 10; 33/4; 93/13; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 20; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 14:19:06 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; ; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; 6; 15/2; 15/2; ; ; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; 20; 20; 18; ; ; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 20; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 18:20:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; 1/8; ; ; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; ; ; 
Alaves; 14; 18; 20; 18; ; 16; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 20; 14; 15; 16; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-19 22:18:27 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; ; 9; 9; 33/4; 93/13; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; 8; ; 
Alaves; 14; 18; 20; 18; ; 16; 21; 17; 18; 20; 22; 18; 20; ; 14; 20; 15; 65/4; 15; 15; 20; 14; 15; 16; 15; ; 71/5; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 02:18:51 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 2/17; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; ; 9; 9; 8; 93/13; 8; 8; 10; 79/10; 8; 15/2; 8; ; 39/5; ; 
Alaves; 14; 18; 18; 18; ; 16; 21; 17; 16; 18; 20; 18; 20; ; 14; 20; 63/4; 65/4; 15; 63/4; 20; 14; 15; 16; 15; ; 78/5; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 06:17:22 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/10; 1/11; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; ; 2/15; 2/17; 1/10; 2/17; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 8; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 8; 8; ; 9; 9; 8; 93/13; 8; 8; 10; 79/10; 8; 15/2; 8; ; 19/10; ; 
Alaves; 14; 18; 20; 18; ; 16; 22; 17; 18; 20; 22; 18; 20; ; 14; 20; 16; 65/4; 15; 16; 20; 14; 15; 16; 15; ; 19/10; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 10:17:47 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/8; 1/11; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; ; 2/15; 2/17; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 8; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 8; 8; ; 9; 9; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 31/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; ; 14; 20; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 6; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 14:18:15 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 1/8; 1/11; 1/10; 1/9; 1/8; 1/9; 1/8; 1/9; ; 2/15; 2/17; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 8; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; ; 9; 9; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 31/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; ; 14; 20; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 6; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 18:18:24 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-20 22:18:12 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 02:18:13 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/8; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 06:17:54 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 8; 8; 8; 8; 10; 79/10; 8; 15/2; 8; ; 36/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 16; 33/2; 15; 16; 20; 14; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 10:17:51 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/11; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/9; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 10; 8; 17/2; 17/2; 8; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 79/10; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 22; 17; 18; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 14; 15; 16; 15; ; 21; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 14:18:19 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/9; 1/7; ; 1/8; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 21; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 18:18:17 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/9; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 21; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-21 22:18:26 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/9; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 16; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 02:19:58 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 16; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 06:18:02 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 16; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 10:18:45 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 16; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 14:18:14 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 1/7
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 19/2
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 28; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 23; ; 91/5
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 18:18:10 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-22 22:18:49 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 10; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 02:18:41 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 7/50; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 20; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 06:18:08 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 10:18:28 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 14:19:11 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
