META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 22:19:00 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 10/11; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 10/3; ; ; 10/3; 16/5; ; 10/3; ; ; 7/2; 33/10; 29/10; ; 33/10; 15/4; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 14:19:00 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 3/4; ; ; 4/5; 4/5; 4/5; 10/13; ; ; 4/5; 14/19; 11/13; ; 14/19; 17/20; 4/5; ; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; ; 13/5; 5/2; 13/5; 27/10; ; ; 14/5; 11/4; 45/17; ; 11/4; 14/5; 13/5; ; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 18/5; ; ; 10/3; 16/5; 10/3; 7/2; ; ; 7/2; 33/10; 29/10; ; 33/10; 15/4; 3; ; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 18:19:12 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; ; 3/4; 4/5; 4/5; 10/13; ; ; 4/5; 9/13; 11/13; 8/11; 9/13; 17/20; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; ; 13/5; 5/2; 13/5; 27/10; ; ; 14/5; 27/10; 45/17; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; ; 7/2; 16/5; 10/3; 7/2; ; ; 7/2; 37/10; 29/10; 7/2; 37/10; 15/4; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 22:19:10 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 17/20; ; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; ; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 15/4; ; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 02:19:44 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 17/20; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 15/4; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 06:18:36 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; 5/6; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 17/20; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 10/3; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 15/4; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 10:18:34 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; 33/40; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 17/20; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 3; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 15/4; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 14:19:20 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 5/6; ; ; 33/40; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 11/4; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 10/3; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 18:19:43 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 5/6; ; ; 33/40; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 10/3; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-07 22:20:35 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 02:19:15 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 06:18:27 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 10:20:55 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; ; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; ; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; ; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 14:18:33 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 18:18:34 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-08 22:18:58 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 02:18:27 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 06:18:22 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 10:18:52 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 15/4; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 14:18:31 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 11/4; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 18:19:03 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-09 22:18:31 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; ; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; ; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; ; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 02:18:10 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 4/5; 3/4; ; ; 4/7; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 7/2; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 06:18:09 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 8/11; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 19/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 10:18:08 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; ; ; 5/6; ; 
Draw; 11/4; ; 13/5; ; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; ; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; ; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; ; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 14:18:08 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; ; 83/100; 4/5; 3/4; 4/5; ; 5/6; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; ; 14/5; 13/5; 13/5; 13/5; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; ; 77/20; 3; 15/4; 16/5; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 18:18:17 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 5/6; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-10 22:18:44 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 5/7; 83/100; 4/5; 3/4; 4/5; ; 5/6; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 19/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 7/2; 77/20; 3; 15/4; 16/5; ; 7/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 02:18:17 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 8/15; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 11/5; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 06:18:38 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 4/5; 3/4; 4/5; ; 4/7; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 21/10; ; 
