META; english/league-2/morecambe-v-accrington; 2017-03-18 18:25:11 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 13/10; ; 13/10; ; 13/10; ; 13/10; ; ; ; 5/4; ; 13/10; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Morecambe; 13/5; 12/5; 12/5; 12/5; 5/2; 23/10; 5/2; 2; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 23/10; 5/2; 13/5; 13/5; 12/5; 13/5; 13/5; 21/10; 27/11; 12/5; 27/11; ; 12/5; 12/5; 
META; english/league-2/morecambe-v-accrington; 2017-03-20 10:20:10 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 23/20; 11/10; 11/10; 23/20; 23/20; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 15/13; 21/20; 1; 21/20; 21/20; 6/5; 12/11; 15/14; 11/10; 15/14; ; 10/9; 21/20; 
Draw; 5/2; 12/5; 9/4; 23/10; 12/5; 9/4; 5/2; 21/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 27/11; 23/10; 27/11; ; 23/10; 9/4; 
Morecambe; 13/5; 12/5; 12/5; 12/5; 5/2; 23/10; 5/2; 2; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 23/10; 5/2; 13/5; 13/5; 12/5; 13/5; 13/5; 21/10; 27/11; 12/5; 27/11; ; 12/5; 12/5; 
META; english/league-2/morecambe-v-accrington; 2017-03-20 14:20:38 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 23/20; 11/10; 23/20; 23/20; 23/20; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 15/13; 21/20; 1; 21/20; 21/20; 23/20; 15/13; 15/14; 11/10; 15/14; ; 11/10; 21/20; 23/20
Draw; 5/2; 12/5; 49/20; 23/10; 12/5; 9/4; 5/2; 21/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 40/17; 12/5; 12/5; 40/17; 49/20; 27/11; 27/11; 23/10; 27/11; ; 23/10; 23/10; 12/5
Morecambe; 13/5; 12/5; 13/5; 12/5; 5/2; 23/10; 5/2; 2; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 23/10; 5/2; 13/5; 13/5; 12/5; 13/5; 27/10; 11/5; 27/11; 12/5; 27/11; ; 5/2; 12/5; 27/10
META; english/league-2/morecambe-v-accrington; 2017-03-20 18:21:05 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 23/20; 11/10; 23/20; 11/10; 23/20; 1; 23/20; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 1; 1; 21/20; 1; 23/20; 15/13; 15/14; 23/20; 15/14; ; 11/10; 21/20; 10/9
Draw; 5/2; 23/10; 49/20; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 49/20; 27/11; 27/11; 12/5; 27/11; ; 12/5; 23/10; 12/5
Morecambe ; 13/5; 13/5; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 23/10; 5/2; 28/11; 13/5; 12/5; 28/11; 27/10; 11/5; 27/11; 5/2; 27/11; ; 5/2; 12/5; 13/5
META; english/league-2/morecambe-v-accrington; 2017-03-20 22:20:36 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 23/20; 11/10; 23/20; 11/10; 23/20; 1; 23/20; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 1; 1; 21/20; 1; 23/20; 12/11; 15/14; 23/20; 15/14; ; 10/9; 21/20; 10/9
Draw; 5/2; 23/10; 49/20; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 13/5; 12/5; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 27/11; 40/17; 12/5; 40/17; ; 12/5; 23/10; 12/5
Morecambe ; 13/5; 13/5; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 23/10; 5/2; 13/5; 13/5; 5/2; 13/5; 131/50; 23/10; 28/11; 5/2; 28/11; ; 5/2; 12/5; 27/10
META; english/league-2/morecambe-v-accrington; 2017-03-21 02:20:33 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 23/20; 11/10; 23/20; 11/10; 23/20; 1; 23/20; 1; 11/10; 21/20; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 1; 21/20; 1; 23/20; 11/10; 15/14; 11/10; 15/14; ; 11/10; 10/9; 21/20
Draw; 5/2; 12/5; 49/20; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 40/17; 12/5; 40/17; ; 12/5; 12/5; 12/5
Morecambe ; 13/5; 5/2; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 13/5; 5/2; 27/10; 13/5; 5/2; 27/10; 131/50; 23/10; 28/11; 13/5; 28/11; ; 13/5; 13/5; 14/5
META; english/league-2/morecambe-v-accrington; 2017-03-21 06:20:07 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 1; 11/10; 23/20; 11/10; 11/10; 19/20; 11/10; 1; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 23/20; 24/23; 13/12; 21/20; 13/12; ; 21/20; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 23/10; 5/2; 23/10; 12/5; 5/2; 12/5; 9/4; 12/5; 13/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 40/17; 5/2; 40/17; ; 12/5; 12/5; 12/5
Morecambe ; 13/5; 5/2; 27/10; 5/2; 13/5; 12/5; 13/5; 5/2; 13/5; 13/5; 13/5; 11/4; 53/20; 11/4; 13/5; 13/5; 27/10; 13/5; 12/5; 27/10; 131/50; 5/2; 27/11; 13/5; 27/11; ; 27/10; 27/10; 14/5
META; english/league-2/morecambe-v-accrington; 2017-03-21 10:20:08 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 1; 11/10; 23/20; 11/10; 11/10; 19/20; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 23/20; 21/20; 21/20; 1; 1; 1; 1; 23/20; 15/14; 42/41; 21/20; 42/41; ; 21/20; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 23/10; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 51/20; 12/5; 27/11; 5/2; 27/11; ; 12/5; 12/5; 12/5
Morecambe ; 13/5; 5/2; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 53/20; 27/10; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 64/25; 12/5; 28/11; 13/5; 28/11; ; 11/4; 27/10; 14/5
META; english/league-2/morecambe-v-accrington; 2017-03-21 14:21:03 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 11/10; 11/10; 11/10; 1; 11/10; 19/20; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 1; 21/20; 1; 19/20; 1; 1; 109/100; 21/20; 42/41; 11/10; 42/41; ; 21/20; 21/20; 21/20
Draw; 5/2; 12/5; 5/2; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 13/5; 5/2; 12/5; 27/11; 5/2; 12/5; 27/11; 131/50; 27/11; 27/11; 12/5; 27/11; ; 5/2; 5/2; 12/5
Morecambe ; 11/4; 5/2; 27/10; 13/5; 5/2; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 45/17; 27/10; 5/2; 45/17; 27/10; 12/5; 28/11; 13/5; 28/11; ; 13/5; 13/5; 14/5
META; english/league-2/morecambe-v-accrington; 2017-03-21 18:21:08 GMT+2; 2017-03-21 19:45; Nothing; Xlenovo
Accrington; 23/20; 11/10; 6/5; 6/5; 6/5; 11/10; 6/5; 11/10; 6/5; 23/20; 23/20; 23/20; 23/20; 5/4; 6/5; 11/10; 21/20; 11/10; 10/9; 21/20; 31/25; 6/5; 19/17; 23/20; 19/17; ; 23/20; 6/5; 23/20
Morecambe ; 5/2; 23/10; 47/20; 23/10; 23/10; 41/20; 23/10; 12/5; 23/10; 23/10; 9/4; 9/4; 23/10; 12/5; 11/5; 23/10; 40/17; 23/10; 23/10; 40/17; 117/50; 21/10; 23/10; 23/10; 23/10; ; 23/10; 23/10; 12/5
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 23/10; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 129/50; 27/11; 27/11; 5/2; 27/11; ; 5/2; 5/2; 5/2
META; english/league-2/morecambe-v-accrington; 2017-03-21 22:21:08 GMT+2; 2017-03-21 19:45; In Play; Xlenovo
Accrington; 6/5; 5/4; 11/10; 6/5; 6/5; 11/10; 23/20; 6/5; ; 23/20; ; ; 23/20; 11/10; ; ; 1; 6/5; ; 1; ; ; ; ; 13/12; ; ; 23/20; 
Draw; 15/8; 15/8; 2; 19/10; 11/5; 19/10; 2; 17/10; ; 9/5; ; ; 39/20; 21/10; ; ; 28/11; 7/4; ; 28/11; ; ; ; ; 21/10; ; ; 2; 11/5
Morecambe; 11/4; 9/4; 11/4; 14/5; 5/2; 5/2; 11/4; 3; ; 13/5; ; ; 14/5; 14/5; ; ; 40/17; 13/5; ; 40/17; ; ; ; ; 13/5; ; ; 3; 
