META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-18 02:21:21 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7
Draw; 14/5
Eastleigh; 9/2
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-18 10:21:47 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7
Draw; 14/5
Eastleigh; 9/2
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-18 14:22:28 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7
Draw; 14/5
Eastleigh; 9/2
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-18 18:22:37 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 4/7; 4/7; 3/5; 4/7; 9/10
Draw; 11/4; 14/5; 61/20; 14/5; 14/5; 14/5; 57/20; 5/2
Eastleigh; 17/4; 9/2; 23/5; 9/2; 9/2; 5; 19/4; 5/2
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-19 02:34:06 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 4/7; 4/7; 4/7; 3/5; 4/7; 9/10
Draw; 11/4; 14/5; 61/20; 14/5; 14/5; 13/5; 14/5; 57/20; 5/2
Eastleigh; 17/4; 9/2; 23/5; 9/2; 9/2; 4; 19/4; 5/2; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-19 10:34:13 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 4/6
Draw; 11/4; 14/5; 61/20; 14/5; 14/5; 13/5; 27/10; 11/4; 14/5; 57/20; 11/4; 3
Eastleigh; 17/4; 9/2; 23/5; 9/2; 9/2; 4; 21/5; 17/4; 5; 19/4; 17/4; 3
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-19 14:34:21 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 4/6
Draw; 11/4; 14/5; 61/20; 14/5; 14/5; 14/5; 14/5; 11/4; 11/4; 27/10; 11/4; 14/5; 14/5; 57/20; 11/4; 3
Eastleigh; 17/4; 9/2; 23/5; 9/2; 21/5; 9/2; 4; 17/4; 4; 21/5; 17/4; 21/5; 5; 19/4; 17/4; 3
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-19 18:34:24 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 5/9; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/9; 2/9
Draw; 11/4; 3; 61/20; 14/5; 14/5; 29/10; 13/5; 11/4; 11/4; 27/10; 11/4; 14/5; 3; 57/20; 11/4; 23/10; 1/12
Eastleigh; 17/4; 19/4; 23/5; 17/4; 21/5; 21/5; 4; 17/4; 4; 21/5; 17/4; 21/5; 19/4; 19/4; 17/4; 7/2; 1/14
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-19 22:34:24 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 5/9; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/9; 8/13
Draw; 11/4; 3; 61/20; 14/5; 14/5; 29/10; 13/5; 11/4; 11/4; 27/10; 11/4; 14/5; 3; 57/20; 11/4; 13/5; 14/5
Eastleigh; 17/4; 19/4; 23/5; 17/4; 21/5; 21/5; 4; 17/4; 4; 21/5; 17/4; 21/5; 19/4; 19/4; 17/4; 7/2; 9/2
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-20 02:34:29 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 1/2; 5/9; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/9; 8/13
Draw; 11/4; 3; 61/20; 29/10; 14/5; 14/5; 29/10; 13/5; 11/4; 11/4; 27/10; 11/4; 14/5; 3; 57/20; 11/4; 13/5; 14/5
Eastleigh; 17/4; 19/4; 23/5; 4; 17/4; 21/5; 21/5; 4; 17/4; 4; 21/5; 17/4; 21/5; 19/4; 19/4; 17/4; 7/2; 9/2
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-20 10:34:36 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 67/00; 5/9; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/9; 8/13
Draw; 11/4; 3; 61/20; 14/5; 14/5; 29/10; 13/5; 11/4; 11/4; 27/10; 11/4; 14/5; 3; 57/20; 11/4; 27/10; 14/5
Eastleigh; 17/4; 19/4; 23/5; 17/4; 21/5; 21/5; 4; 17/4; 4; 21/5; 17/4; 21/5; 19/4; 19/4; 17/4; 7/2; 9/2
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-20 14:34:28 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 8/15; 4/7; 8/15; 3/5; 1/2; 8/15; 4/7; 8/15; 8/15; 11/20; 11/20; 4/7; 8/15; 4/7; 4/7; 8/15; 4/7; 11/20; 11/20; 4/7; 4/9; 8/13
Draw; 14/5; 3; 14/5; 16/5; 29/10; 29/10; 14/5; 14/5; 29/10; 11/4; 14/5; 14/5; 14/5; 27/10; 11/4; 3; 14/5; 3; 11/4; 27/10; 14/5; 
Eastleigh; 9/2; 19/4; 9/2; 26/5; 9/2; 9/2; 21/5; 9/2; 5; 9/2; 19/4; 9/2; 21/5; 17/4; 4; 21/5; 5; 9/2; 17/4; 7/2; 9/2; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-20 18:34:34 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 9/20; 8/15; 1/2; 11/20; 40/85; 1/2; 4/7; 1/2; 1/2; 1/2; 8/15; 8/15; 1/2; 8/15; 4/7; 1/2; 4/7; 1/2; 1/2; 8/15; 4/9; 4/9; 8/13
Draw; 3; 16/5; 29/10; 17/5; 3; 14/5; 29/10; 3; 11/4; 29/10; 3; 14/5; 37/13; 11/4; 31/10; 14/5; 16/5; 16/5; 29/10; 3; 14/5; 14/5; 
Eastleigh; 5; 24/5; 11/2; 9/2; 19/4; 21/5; 24/5; 5; 9/2; 19/4; 5; 9/2; 23/5; 17/4; 43/10; 21/5; 21/4; 5; 79/17; 24/5; 4; 9/2; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-20 22:34:32 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 9/20; 8/15; 8/15; 8/15; 14/25; 40/85; 1/2; 1/2; 8/15; 1/2; 1/2; 8/15; 8/15; 1/2; 8/15; 10/21; 1/2; 1/2; 8/15; 1/2; 8/15; 4/9; 4/9; 4/7
Tranmere; 4/9; 4/9; 2/5; 2/5; 11/25; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 5/12; 2/5; 1/2; 21/50; 4/11; 2/5; 4/11; 2/5
Draw; 16/5; 10/3; 10/3; 10/3; 19/5; 16/5; 7/2; 13/4; 10/3; 10/3; 16/5; 16/5; 16/5; 16/5; 39/11; 10/3; 18/5; 13/4; 16/5; 7/2; 18/5; 7/2; 10/3; 10/3
Eastleigh; 8; 11/2; 6; 36/5; 6; 13/2; 6; 13/2; 6; 5; 7; 57/10; 6; 21/4; 6; 29/4; 31/5; 23/5; 36/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-22 22:34:25 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 2/5; 2/5; 2/5; 2/5; 21/50; 1/3; 4/11; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 2/5; 7/18; 2/5; 2/5; 21/50; 4/11; 2/5; 4/11; 4/11
Draw; 10/3; 18/5; 17/5; 10/3; 77/20; 17/5; 7/2; 13/4; 17/5; 10/3; 16/5; 10/3; 3; 16/5; 7/2; 10/3; 37/10; 13/4; 16/5; 7/2; 18/5; 7/2; 7/2; 10/3
Eastleigh; 9; 13/2; 13/2; 6; 77/10; 13/2; 7; 13/2; 7; 6; 11/2; 13/2; 29/4; 6; 31/5; 6; 21/4; 6; 29/4; 37/5; 7; 39/5; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-23 02:34:16 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 2/5; 2/5; 2/5; 2/5; 21/50; 1/3; 4/11; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 7/18; 2/5; 2/5; 21/50; 7/18; 2/5; 2/5; 4/11
Draw; 10/3; 18/5; 17/5; 10/3; 77/20; 17/5; 7/2; 13/4; 17/5; 10/3; 3; 10/3; 3; 16/5; 7/2; 10/3; 37/10; 13/4; 16/5; 7/2; 7/2; 7/2; 7/2; 10/3
Eastleigh; 15/2; 13/2; 13/2; 6; 77/10; 13/2; 13/2; 6; 13/2; 7; 6; 11/2; 13/2; 29/4; 6; 31/5; 6; 21/4; 6; 27/4; 36/5; 37/5; 39/5; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-23 10:34:25 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 2/5; 4/9; 2/5; 2/5; 21/50; 1/3; 4/11; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 2/5; 7/18; 2/5; 1/2; 21/50; 4/11; 2/5; 4/11; 4/11
Draw; 10/3; 7/2; 17/5; 10/3; 77/20; 17/5; 7/2; 13/4; 17/5; 10/3; 16/5; 10/3; 3; 16/5; 39/11; 10/3; 37/10; 13/4; 16/5; 7/2; 18/5; 7/2; 10/3; 10/3
Eastleigh; 15/2; 6; 13/2; 6; 77/10; 13/2; 13/2; 6; 13/2; 7; 6; 11/2; 13/2; 29/4; 6; 31/5; 6; 6; 29/4; 36/5; 23/5; 39/5; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-23 14:34:25 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 2/5; 4/9; 2/5; 2/5; 41/00; 1/3; 4/11; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 7/18; 2/5; 1/2; 21/50; 4/11; 2/5; 4/11; 4/11; 
Draw; 7/2; 7/2; 17/5; 7/2; 79/20; 17/5; 7/2; 13/4; 17/5; 10/3; 16/5; 16/5; 3; 10/3; 39/11; 10/3; 37/10; 13/4; 16/5; 7/2; 62/17; 7/2; 7/2; 10/3
Eastleigh; 7; 13/2; 7; 77/10; 13/2; 7; 13/2; 7; 6; 11/2; 13/2; 7; 31/5; 6; 6; 29/4; 36/5; 37/5; 39/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-23 18:34:30 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 2/5; 4/9; 2/5; 2/5; 41/00; 1/3; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 2/5; 5/12; 2/5; 2/5; 21/50; 7/19; 2/5; 2/5; 2/5; 
Draw; 7/2; 7/2; 17/5; 7/2; 79/20; 17/5; 7/2; 13/4; 17/5; 10/3; 16/5; 16/5; 16/5; 16/5; 39/11; 10/3; 18/5; 13/4; 16/5; 7/2; 18/5; 7/2; 7/2; 10/3
Eastleigh; 7; 13/2; 7; 77/10; 13/2; 7; 13/2; 13/2; 6; 5; 13/2; 7; 29/5; 6; 21/4; 6; 29/4; 39/5; 7; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-23 22:34:21 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 2/5; 2/5; 2/5; 2/5; 43/00; 1/3; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 5/12; 2/5; 2/5; 21/50; 7/19; 2/5; 2/5; 2/5; 
Draw; 7/2; 7/2; 17/5; 7/2; 15/4; 17/5; 7/2; 13/4; 17/5; 7/2; 16/5; 16/5; 16/5; 10/3; 39/11; 10/3; 18/5; 13/4; 16/5; 7/2; 18/5; 7/2; 10/3; 7/2
Eastleigh; 7; 13/2; 7; 38/5; 13/2; 7; 13/2; 6; 11/2; 6; 6; 6; 29/5; 6; 21/4; 6; 29/4; 7; 36/5; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-24 02:34:10 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 2/5; 4/9; 2/5; 2/5; 43/00; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 5/12; 2/5; 2/5; 21/50; 7/19; 2/5; 4/9; 4/9; 
Draw; 7/2; 7/2; 17/5; 7/2; 15/4; 7/2; 7/2; 13/4; 17/5; 7/2; 16/5; 16/5; 16/5; 16/5; 39/11; 10/3; 18/5; 13/4; 16/5; 7/2; 18/5; 7/2; 7/2; 7/2
Eastleigh; 7; 13/2; 7; 38/5; 6; 6; 13/2; 6; 11/2; 6; 6; 6; 29/5; 6; 21/4; 6; 29/4; 36/5; 36/5; 37/5; ; ; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-24 10:34:24 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 4/11; 2/5; 4/11; 2/5; 21/50; 1/3; 4/11; 2/5; 4/11; 4/11; 4/11; 2/5; 1/3; 4/11; 10/29; 2/5; 6/17; 2/5; 4/11; 2/5; 10/29; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 18/5; 7/2; 39/10; 18/5; 15/4; 7/2; 18/5; 18/5; 16/5; 17/5; 7/2; 10/3; 19/5; 10/3; 39/10; 7/2; 19/5; 15/4; 50/13; 7/2; 7/2; 4
Eastleigh; 15/2; 13/2; 7; 15/2; 13/2; 7; 21/4; 7; 13/2; 6; 6; 13/2; 29/4; 6; 69/10; 21/4; 21/4; 13/2; 29/4; 38/5; 37/5; 37/5; ; 
META; english/non-league/national-league/tranmere-v-eastleigh; 2018-03-24 14:34:32 GMT+2; 2018-03-24 12:15; Nothing; Xlenovo
Tranmere; 1/8; 1/8; 1/7; 1/8; 11/25; 1/8; 1/9; 1/7; 1/9; 1/6; 1/7; 1/9; 1/10; 6/17; 1/9; 1/9; 2/17; 1/8; 1/10; 2/13
Draw; 7; 13/2; 6; 39/10; 6; 13/2; 15/2; 15/2; 13/2; 13/2; 7; 7/2; 23/4; 34/5; 7; 7; 39/5; ; ; 
Eastleigh; 20; 22; 14; 14; 57/10; 16; 16; 14; 20; 18; 14; 14; 16; 31/2; 27/2; 18; 20; 71/4; 24; 
