META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 16:15:16 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; ; 4/6; 4/6; ; 8/13; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 16:15:07 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 20:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 00:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 04:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 57/17; 14/5; 3; 57/17; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 7/2; 19/5; 4; 4; 19/5; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 12:15:05 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 16:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-24 20:15:08 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 00:15:06 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 04:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 08:15:04 GMT+2; ; e70300-dr003
Borussia Dortmund; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; ; ; 1/33; ; 1/33; ; 1/100; ; 
RB Leipzig; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; ; ; 1/33; ; 1/33; ; 1/20; ; 
Hoffenheim; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 5/2; ; 5/2; ; 20/21; ; 
Hertha Berlin; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20; ; ; ; 20; ; 20; ; 3; ; 
FC Koln; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; 50; ; 50; ; 33/5; ; 
Eintracht Frankfurt; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 70; ; ; ; 70; ; 70; ; 66/5; ; 
Freiburg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; 100; ; 100; ; 66/5; ; 
Schalke 04; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 150; ; ; ; 150; ; 150; ; 66/5; ; 
Bayer Leverkusen; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; 200; ; 200; ; 20/21; ; 
Monchengladbach; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; 200; ; 200; ; 19/10; ; 
Wolfsburg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; ; ; 2000; ; 2000; ; 19/10; ; 
Augsburg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; ; ; 2000; ; 2000; ; 7/2; ; 
Hamburg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; ; ; 2000; ; 2000; ; 7/2; ; 
Mainz 05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; ; ; 2000; ; 2000; ; 7/2; ; 
Werder Bremen; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; ; ; 2000; ; 2000; ; 7/2; ; 
Ingolstadt; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8000; ; ; ; 8000; ; 8000; ; 7/2; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 16:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-25 20:15:01 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 00:15:02 GMT+2; 2017-04-02 08:00; e70300-dr003
Melbourne Victory; 4/7; ; ; ; ; 4/7; 3/5; 4/7; ; ; 8/15; 8/13; ; ; ; ; 4/7; 4/6; ; 4/7; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; 3; 3; 10/3; ; ; 29/10; 14/5; ; ; ; ; 29/10; 3; ; 29/10; ; ; ; ; ; ; ; ; 
Wellington Phoenix; 9/2; ; ; ; ; 21/5; 19/4; 7/2; ; ; 4; 9/2; ; ; ; ; 41/10; 10/3; ; 41/10; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 00:29:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 04:15:01 GMT+2; 2017-03-25 15:00; In Play; e70300-dr003
Sutton Utd 1-0; 11/2; ; ; ; 11/2; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; 
Sutton Utd 2-0; 6; ; ; ; 11/2; ; ; ; 21/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; 
Sutton Utd 3-0; 4; ; ; ; 8; ; ; ; 8; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; 
Sutton Utd 2-1; 9; ; ; ; 7; ; ; ; 15/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; 
Draw 0-0; 10; ; ; ; 11; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; 
Sutton Utd 3-1; 8; 9; ; ; 11; ; ; ; 11; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; 
Draw 1-1; 12; ; ; ; 8; ; ; ; 15/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; 
Sutton Utd 4-0; 11/4; ; ; ; 16; ; ; ; 16; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 1-0; 20; ; ; ; 20; ; ; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; 
North Ferriby Utd 2-1; 22; ; ; ; 22; ; ; ; 22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; 
Sutton Utd 4-1; 13/2; 7; ; ; 20; ; ; ; 22; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 2-2; 25; ; ; ; 18; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; 
Any Other Score; ; ; ; ; ; ; ; ; 28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 3-2; 28; 28; ; ; 25; ; ; ; 28; ; ; ; ; 25; ; ; ; ; ; ; ; ; ; ; ; ; ; 31; 
North Ferriby Utd 2-0; 40; ; ; ; 40; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; 
Sutton Utd 5-0; 5; ; ; ; 33; ; ; ; 40; ; ; ; ; 28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 4-2; 22; 22; ; ; 40; ; ; ; 50; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 5-1; 10; 10; ; ; 40; ; ; ; 50; ; ; ; ; 35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 3-1; 80; ; ; ; 66; ; ; ; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; 
North Ferriby Utd 3-2; 80; ; ; ; 66; ; ; ; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; 
Draw 3-3; 80; 100; ; ; 66; ; ; ; 100; ; ; ; ; 90; ; ; ; ; ; ; ; ; ; ; ; ; ; 123; 
North Ferriby Utd 3-0; 100; ; ; ; 100; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; 
North Ferriby Utd 5-0; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 5-1; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 6-0; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 5-2; 33; 33; ; ; 100; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 6-0; 11; ; ; ; 66; ; ; ; 100; ; ; ; ; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 6-1; 22; 22; ; ; 100; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 4-3; 66; 100; ; ; 100; ; ; ; ; ; ; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 6-2; 50; 80; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 7-0; 33; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 7-1; 50; 66; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 9-0; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 4-1; 250; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 5-3; 100; 100; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 6-3; 200; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 7-2; 125; 150; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 8-0; 66; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 8-1; 100; 150; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 350; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 4-0; 350; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 4-2; 350; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
North Ferriby Utd 4-3; 350; ; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 8-2; 350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 9-1; 350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd 5-4; 400; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 08:15:01 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 3; 3; ; 3; 14/5; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 62/17; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 16:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; ; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; ; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; ; 4; 4; 75/19; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 16:41:24 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-26 20:15:02 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 12:01:24 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 16:15:03 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 20:15:01 GMT+3; 2017-04-11 19:45; e70300-dr003
