META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-15 20:21:04 GMT+3; 2016-10-19 19:45; e70300-dr003
Cardiff; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 8/5; ; ; ; 8/5; ; ; ; ; 
Sheffield Wednesday; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; 17/10; ; ; ; 17/10; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 00:23:08 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 8/5; 3/2; ; ; 13/8; ; 8/5; ; 13/8; ; 7/5; 7/5; ; ; ; 6/4; ; 17/10; ; 17/10; 8/5; ; ; 17/10; ; ; 5/4; ; 
Cardiff; 9/4; 2; 43/20; 21/10; 21/10; 43/20; 21/10; 6/4; 85/40; 21/10; 2; 2; ; 21/10; 21/10; 2; 39/19; 37/19; 19/10; 19/10; 39/19; 9/4; 39/19; 37/19; 21/10; ; 21/10; 2; 
Draw; 23/10; 23/10; 43/20; 9/4; 23/10; 23/10; 23/10; 11/5; 9/4; 11/5; 23/10; 9/4; ; 11/5; 9/4; 9/4; 28/13; 23/10; 9/4; 23/10; 28/13; 23/10; 28/13; 23/10; 11/5; ; 21/10; 21/10; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-17 16:22:39 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 11/8; 7/5; 13/10; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 6/4; ; 7/5; 11/8; 11/8; 23/17; 16/11; 23/17; 7/5; 23/17; 13/9; 13/10; 16/11; 11/8; ; 7/5; 11/8; 7/5
Cardiff; 9/4; 2; 21/10; 21/10; 21/10; 21/10; 2; 2; 85/40; 2; 19/10; 2; ; 2; 21/10; 2; 2; 21/10; 19/10; 21/10; 2; 9/4; 39/19; 21/10; 2; ; 21/10; 2; 21/10
Draw; 23/10; 23/10; 43/20; 9/4; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 23/10; 9/4; ; 11/5; 9/4; 9/4; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 21/10; ; 21/10; 21/10; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-17 20:22:10 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 29/20; 7/5; 11/8; 29/20; 29/20; 7/5; 7/5; 7/5; 7/5; 6/4; ; 29/20; 11/8; 7/5; 23/17; 16/11; 23/17; 7/5; 23/17; 13/9; 13/10; 16/11; 7/5; ; 7/5; 7/5; 7/5
Cardiff; 21/10; 2; 41/20; 2; 21/10; 21/10; 2; 2; 85/40; 2; 19/10; 2; ; 2; 21/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 9/4; 39/19; 21/10; 21/10; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; ; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 11/5; ; 21/10; 2; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 00:21:24 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 29/20; 7/5; 11/8; 29/20; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; ; 29/20; 11/8; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 13/9; 13/10; 16/11; 7/5; ; 7/5; 7/5; 7/5
Cardiff; 21/10; 2; 41/20; 2; 21/10; 41/20; 21/10; 2; 85/40; 2; 19/10; 2; ; 2; 21/10; 2; 2; 21/10; 19/10; 21/10; 2; 9/4; 39/19; 21/10; 21/10; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; ; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 11/5; ; 21/10; 2; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 00:53:07 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 29/20; 7/5; 11/8; 29/20; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; ; 29/20; 11/8; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 13/9; 13/10; 16/11; 7/5; ; 7/5; 7/5; 7/5
Cardiff; 21/10; 2; 41/20; 19/10; 21/10; 41/20; 21/10; 2; 85/40; 2; 19/10; 2; ; 2; 21/10; 2; 2; 21/10; 19/10; 21/10; 2; 9/4; 39/19; 21/10; 21/10; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; ; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 11/5; ; 21/10; 2; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 01:46:58 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 7/5; 29/20; 7/5; 11/8; 7/5; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; 29/20; 7/5; 11/8; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 13/9; 13/10; 16/11; 7/5; ; 7/5; 11/8; 7/5
Cardiff; 9/4; 2; 21/10; 19/10; 21/10; 21/10; 85/40; 2; 85/40; 2; 2; 2; 2; 2; 21/10; 2; 2; 21/10; 19/10; 21/10; 2; 9/4; 39/19; 21/10; 21/10; ; 21/10; 2; 21/10
Draw; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 11/5; 28/13; 9/4; 21/10; 11/5; 23/10; 28/13; 28/13; 11/5; ; 21/10; 21/10; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 03:46:56 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 7/5; 29/20; 7/5; 11/8; 7/5; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 13/9; 13/10; 16/11; 7/5; ; 7/5; 7/5; 7/5
Cardiff; 9/4; 2; 21/10; 19/10; 21/10; 21/10; 85/40; 2; 85/40; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 21/10; 19/10; 21/10; 2; 9/4; 39/19; 21/10; 21/10; ; 2; 2; 21/10
Draw; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 11/5; ; 21/10; 21/10; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 04:21:29 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 7/5; 29/20; 7/5; 11/8; 7/5; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 13/9; 13/10; 16/11; 7/5; ; 7/5; 7/5; 7/5
Cardiff; 9/4; 2; 21/10; 19/10; 21/10; 21/10; 85/40; 2; 85/40; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 21/10; 19/10; 21/10; 2; 9/4; 39/19; 21/10; 21/10; ; 2; 2; 21/10
Draw; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 11/5; ; 21/10; 21/10; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 05:47:12 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 7/5; 29/20; 7/5; 11/8; 7/5; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 13/9; 13/10; 16/11; 7/5; ; 7/5; 7/5; 7/5
Cardiff; 9/4; 2; 41/20; 19/10; 21/10; 21/10; 21/10; 2; 85/40; 2; 2; 2; 21/10; 2; 21/10; 2; 39/19; 21/10; 19/10; 21/10; 39/19; 9/4; 39/19; 21/10; 21/10; ; 21/10; 2; 21/10
Draw; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 11/5; ; 21/10; 21/10; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 06:31:19 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 7/5; 29/20; 7/5; 11/8; 7/5; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; 29/20; 7/5; 11/8; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 13/9; 13/10; 16/11; 7/5; ; 7/5; 7/5; 7/5
Cardiff; 9/4; 2; 41/20; 19/10; 21/10; 21/10; 21/10; 2; 85/40; 2; 2; 2; 2; 2; 21/10; 2; 39/19; 21/10; 19/10; 21/10; 39/19; 9/4; 39/19; 21/10; 21/10; ; 21/10; 2; 21/10
Draw; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 23/10; 28/13; 28/13; 11/5; ; 21/10; 21/10; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 07:47:02 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 7/5; 29/20; 7/5; 11/8; 6/4; 31/20; 7/5; 7/5; 7/5; 7/5; 6/4; 29/20; 7/5; 11/8; 7/5; 6/4; 16/11; 23/17; 7/5; 6/4; 11/7; 7/5; 16/11; 6/4; ; 6/4; 7/5; 7/5
Cardiff; 9/4; 2; 41/20; 19/10; 21/10; 2; 2; 2; 85/40; 2; 2; 2; 2; 2; 21/10; 2; 19/10; 21/10; 19/10; 21/10; 19/10; 21/10; 19/10; 21/10; 2; ; 2; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 38/17; 28/13; 28/13; 11/5; ; 21/10; 21/10; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 08:21:53 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 31/20; 6/4; 11/8; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 11/8; 16/11; 6/4; 16/11; 23/17; 7/5; 6/4; 11/7; 7/5; 16/11; 6/4; ; 6/4; 7/5; 8/5
Cardiff; 21/10; 15/8; 39/20; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 2; 2; 19/10; 21/10; 2; 19/10; 21/10; 19/10; 21/10; 19/10; 21/10; 19/10; 21/10; 2; ; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 38/17; 28/13; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 09:46:57 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 31/20; 6/4; 11/8; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 11/8; 16/11; 6/4; 16/11; 23/17; 7/5; 6/4; 11/7; 16/11; 16/11; 6/4; ; 6/4; 7/5; 8/5
Cardiff; 21/10; 15/8; 39/20; 15/8; 21/10; 39/20; 2; 2; 2; 19/10; 2; 2; 39/20; 19/10; 21/10; 2; 19/10; 21/10; 19/10; 21/10; 19/10; 21/10; 9/5; 21/10; 2; ; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 38/17; 28/13; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 11:47:11 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 31/20; 6/4; 11/8; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 11/8; 16/11; 6/4; 16/11; 23/17; 7/5; 6/4; 19/12; 16/11; 16/11; 6/4; ; 6/4; 7/5; 8/5
Cardiff; 21/10; 15/8; 39/20; 15/8; 21/10; 39/20; 2; 2; 2; 19/10; 2; 2; 39/20; 19/10; 21/10; 2; 19/10; 21/10; 19/10; 21/10; 19/10; 21/10; 9/5; 21/10; 2; ; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 20/9; 28/13; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 12:21:51 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 31/20; 6/4; 11/8; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 11/8; 16/11; 6/4; 16/11; 23/17; 7/5; 6/4; 14/9; 16/11; 16/11; 6/4; ; 6/4; 7/5; 8/5
Cardiff; 21/10; 15/8; 39/20; 15/8; 21/10; 39/20; 2; 2; 2; 19/10; 2; 2; 39/20; 19/10; 21/10; 2; 19/10; 21/10; 19/10; 21/10; 19/10; 21/10; 9/5; 21/10; 2; ; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 9/4; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 28/13; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 13:04:50 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 8/5; 16/11; 16/11; 16/11; 23/17; 7/5; 16/11; 14/9; 16/11; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 15/8; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 2; 39/20; 19/10; 19/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 9/5; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 11/5; 21/10; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 28/13; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 13:47:00 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 8/5; 16/11; 16/11; 16/11; 23/17; 7/5; 16/11; 14/9; 16/11; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 15/8; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 19/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 9/5; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 21/10; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 28/13; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 15:47:24 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 6/4; 29/20; 11/8; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 7/5; 16/11; 23/17; 7/5; 7/5; 14/9; 53/35; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 21/10; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 27/14; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 16:23:03 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 7/5; 16/11; 23/17; 7/5; 7/5; 14/9; 53/35; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 27/14; 21/10; 2; ; 19/10; 19/10; 21/10
