META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-20 20:23:48 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; ; ; 21/20; 11/10; 11/10; ; 11/10; ; 21/20; ; 21/20; ; ; 21/20; 111/100; 10/9; ; ; ; ; 1; 21/20; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 2; 11/5; 21/10; 11/5; 39/19; 21/10; 21/10; 39/19; 11/5; 2; 28/13; 2; 11/5; ; 19/10; 21/10; 
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 12/5; 23/10; 13/5; 12/5; 12/5; 51/20; 12/5; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 147/50; 9/4; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-25 08:26:38 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 11/10; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 21/20; 15/13; 117/100; 13/11; 15/14; 6/5; 13/12; ; 10/9; 10/9; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 2; 11/5; 21/10; 2; 39/19; 21/10; 21/10; 39/19; 11/5; 2; 28/13; 2; 11/5; ; 19/10; 21/10; 
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 12/5; 23/10; 13/5; 12/5; 12/5; 51/20; 12/5; 5/2; 13/5; 45/17; 27/10; 13/5; 45/17; 147/50; 9/4; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-25 12:24:30 GMT+2; ; e70300-dr003
Democrats; ; ; ; 8/11; 8/11; ; ; ; ; 8/11; 8/11; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; 3/4; ; 5/6; ; 
Republicans; ; ; ; 1; 5/4; ; ; ; ; 26/19; 11/8; ; ; ; ; ; ; ; ; ; ; ; 1; ; 1; ; 20/21; ; 
Independent; ; ; ; ; 25; ; ; ; ; 25; 25; ; ; ; ; ; ; ; ; ; ; ; 30; ; 30; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-25 20:24:41 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 11/10; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 21/20; 15/13; 59/50; 13/11; 15/14; 6/5; 13/12; ; 23/20; 23/20; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 2; 11/5; 21/10; 2; 39/19; 21/10; 21/10; 39/19; 109/50; 2; 28/13; 2; 11/5; ; 2; 21/10; 21/10
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 23/10; ; 12/5; 23/10; 13/5; 12/5; 12/5; 51/20; 12/5; 5/2; 13/5; 45/17; 27/10; 13/5; 45/17; 147/50; 9/4; 45/17; 12/5; 27/10; ; 5/2; 13/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-26 00:25:36 GMT+2; 2017-03-28 18:30; e70300-dr003
Saudi Arabia; 2/5; 2/5; 2/5; ; 4/11; 2/5; 2/5; ; ; 2/5; 2/5; 2/5; 2/5; 2/5; ; ; 7/18; 2/5; 2/5; 7/18; 41/100; 2/5; 7/17; ; 5/11; ; 1/3; ; 
Draw; 16/5; 10/3; 29/10; ; 3; 16/5; 33/10; ; ; 16/5; 29/10; 3; 3; 10/3; ; ; 33/10; 10/3; 3; 33/10; 18/5; 57/17; 31/10; ; 13/4; ; 14/5; ; 
Iraq; 8; 7; 7; ; 13/2; 7; 15/2; ; ; 15/2; 15/2; 17/2; 15/2; 7; ; ; 7; 7; 13/2; 7; 43/5; 69/10; 13/2; ; 13/2; ; 31/5; ; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-26 04:24:20 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 11/10; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 21/20; 15/13; 59/50; 17/14; 15/14; 6/5; 13/12; ; 6/5; 10/9; 
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 21/10; 2; 11/5; 21/10; 11/5; 39/19; 21/10; 21/10; 39/19; 109/50; 2; 28/13; 2; 11/5; ; 21/10; 2; 21/10
Cordoba; 14/5; 12/5; 49/20; 13/5; 13/5; 12/5; ; 12/5; 23/10; 13/5; 12/5; 12/5; 51/20; 12/5; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 147/50; 28/13; 45/17; 12/5; 27/10; ; 27/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-26 04:29:29 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 11/10; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 21/20; 15/13; 59/50; 17/14; 15/14; 6/5; 13/12; ; 6/5; 10/9; 
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 21/10; 2; 11/5; 21/10; 11/5; 39/19; 21/10; 21/10; 39/19; 109/50; 2; 28/13; 2; 11/5; ; 21/10; 2; 21/10
Cordoba; 14/5; 12/5; 49/20; 13/5; 13/5; 12/5; ; 12/5; 23/10; 13/5; 12/5; 12/5; 51/20; 12/5; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 147/50; 28/13; 45/17; 12/5; 27/10; ; 27/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-26 08:23:10 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 11/10; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 21/20; 15/13; 59/50; 17/14; 15/14; 6/5; 13/12; ; 6/5; 6/5; 
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 21/10; 2; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 109/50; 21/10; 28/13; 2; 11/5; ; 21/10; 21/10; 21/10
Cordoba; 14/5; 12/5; 49/20; 13/5; 13/5; 23/10; ; 12/5; 12/5; 13/5; 12/5; 12/5; 51/20; 12/5; 5/2; 5/2; 45/17; 27/10; 13/5; 45/17; 147/50; 9/4; 45/17; 12/5; 27/10; ; 27/10; 27/10; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-26 12:21:38 GMT+2; 2017-04-02 18:30; e70300-dr003
Draw 1-1; 5; ; ; ; ; ; ; ; ; ; 24/5; ; 5; ; ; ; ; 21/4; 11/2; ; ; ; 11/2; ; 11/2; ; ; ; 
Steaua Bucharest 1-0; 6; ; ; ; ; ; ; ; ; ; 11/2; ; 13/2; ; ; ; ; 11/2; 13/2; ; ; ; 13/2; ; 13/2; ; ; ; 
Draw 0-0; 7; ; ; ; ; ; ; ; ; ; 7; ; 6; ; ; ; ; 11/2; 7; ; ; ; 7; ; 7; ; ; ; 
Dynamo Bucharest 1-0; 8; ; ; ; ; ; ; ; ; ; 7; ; 17/2; ; ; ; ; 31/4; 17/2; ; ; ; 17/2; ; 17/2; ; ; ; 
Steaua Bucharest 2-1; 17/2; ; ; ; ; ; ; ; ; ; 8; ; 9; ; ; ; ; 33/4; 17/2; ; ; ; 17/2; ; 17/2; ; ; ; 
Dynamo Bucharest 2-1; 11; ; ; ; ; ; ; ; ; ; 10; ; 11; ; ; ; ; 11; 11; ; ; ; 11; ; 11; ; ; ; 
Steaua Bucharest 2-0; 9; ; ; ; ; ; ; ; ; ; 9; ; 11; ; ; ; ; 9; 10; ; ; ; 10; ; 10; ; ; ; 
Draw 2-2; 14; ; ; ; ; ; ; ; ; ; 14; ; 16; ; ; ; ; 29/2; 15; ; ; ; 15; ; 15; ; ; ; 
Dynamo Bucharest 2-0; 14; ; ; ; ; ; ; ; ; ; 14; ; 16; ; ; ; ; 14; 15; ; ; ; 15; ; 15; ; ; ; 
Steaua Bucharest 3-1; 20; ; ; ; ; ; ; ; ; ; 18; ; 20; ; ; ; ; 18; 19; ; ; ; 19; ; 19; ; ; ; 
Steaua Bucharest 3-0; 20; ; ; ; ; ; ; ; ; ; 20; ; 25; ; ; ; ; 19; 19; ; ; ; 19; ; 19; ; ; ; 
Dynamo Bucharest 3-1; 28; ; ; ; ; ; ; ; ; ; 28; ; 30; ; ; ; ; 28; 27; ; ; ; 27; ; 27; ; ; ; 
Steaua Bucharest 3-2; 33; ; ; ; ; ; ; ; ; ; 28; ; 33; ; ; ; ; 30; 31; ; ; ; 31; ; 31; ; ; ; 
Any Other Score; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 3-0; 33; ; ; ; ; ; ; ; ; ; 40; ; 45; ; ; ; ; 35; 33; ; ; ; 33; ; 33; ; ; ; 
Dynamo Bucharest 3-2; 40; ; ; ; ; ; ; ; ; ; 33; ; 45; ; ; ; ; 40; 38; ; ; ; 38; ; 38; ; ; ; 
Steaua Bucharest 4-1; 40; ; ; ; ; ; ; ; ; ; 50; ; 60; ; ; ; ; 50; 45; ; ; ; 45; ; 45; ; ; ; 
Steaua Bucharest 4-0; 50; ; ; ; ; ; ; ; ; ; 50; ; 66; ; ; ; ; 50; 45; ; ; ; 45; ; 45; ; ; ; 
Draw 3-3; 50; ; ; ; ; ; ; ; ; ; 60; ; 80; ; ; ; ; 80; 70; ; ; ; 70; ; 70; ; ; ; 
Steaua Bucharest 4-2; 66; ; ; ; ; ; ; ; ; ; 70; ; 90; ; ; ; ; 80; 80; ; ; ; 80; ; 80; ; ; ; 
Dynamo Bucharest 4-0; 80; ; ; ; ; ; ; ; ; ; 90; ; 125; ; ; ; ; 125; 90; ; ; ; 90; ; 90; ; ; ; 
Dynamo Bucharest 4-1; 66; ; ; ; ; ; ; ; ; ; 80; ; 90; ; ; ; ; 125; 75; ; ; ; 75; ; 75; ; ; ; 
Steaua Bucharest 5-1; 100; ; ; ; ; ; ; ; ; ; 100; ; 125; ; ; ; ; ; 130; ; ; ; 130; ; 130; ; ; ; 
Dynamo Bucharest 4-2; 80; ; ; ; ; ; ; ; ; ; 90; ; 125; ; ; ; ; 150; 110; ; ; ; 110; ; 110; ; ; ; 
Steaua Bucharest 5-0; 125; ; ; ; ; ; ; ; ; ; 125; ; 150; ; ; ; ; ; 140; ; ; ; 140; ; 140; ; ; ; 
Dynamo Bucharest 5-3; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 5-4; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 6-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 6-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 6-2; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 6-3; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 7-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 7-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 7-2; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 8-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dynamo Bucharest 8-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 5-3; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 5-4; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 6-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 6-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 6-2; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 6-3; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 7-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 7-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 7-2; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 8-0; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 8-1; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steaua Bucharest 5-2; 200; ; ; ; ; ; ; ; ; ; ; ; 150; ; ; ; ; ; 225; ; ; ; 225; ; 225; ; ; ; 
Dynamo Bucharest 4-3; 150; ; ; ; ; ; ; ; ; ; ; ; 150; ; ; ; ; 250; 225; ; ; ; 225; ; 225; ; ; ; 
Dynamo Bucharest 5-1; 200; ; ; ; ; ; ; ; ; ; 150; ; 175; ; ; ; ; ; 250; ; ; ; 250; ; 250; ; ; ; 
Steaua Bucharest 4-3; 150; ; ; ; ; ; ; ; ; ; ; ; 150; ; ; ; ; 250; 180; ; ; ; 180; ; 180; ; ; ; 
Dynamo Bucharest 5-0; 300; ; ; ; ; ; ; ; ; ; 150; ; 175; ; ; ; ; ; 300; ; ; ; 300; ; 300; ; ; ; 
Dynamo Bucharest 5-2; 350; ; ; ; ; ; ; ; ; ; ; ; 175; ; ; ; ; ; 375; ; ; ; 375; ; 375; ; ; ; 
Draw 4-4; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; 250; 400; ; ; ; 400; ; 400; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-26 16:24:31 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 23/20; 6/5; 23/20; 6/5; 23/20; ; 11/10; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 15/13; ; 15/13; 21/20; 15/13; 127/100; 24/19; 15/14; 6/5; 13/12; ; 5/4; 5/4; 
Draw; 21/10; 2; 41/20; 21/10; 21/10; 39/20; ; 21/10; 2; 2; 2; 21/10; 2; 11/5; 21/10; 2; ; 21/10; 21/10; 21/10; 21/10; 39/19; 28/13; 2; 11/5; ; 2; 2; 21/10
Cordoba; 14/5; 12/5; 23/10; 23/10; 5/2; 23/10; ; 12/5; 23/10; 5/2; 23/10; 12/5; 51/20; 23/10; 5/2; 5/2; ; 27/10; 13/5; 13/5; 137/50; 11/5; 45/17; 23/10; 27/10; ; 5/2; 5/2; 
