META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 16:17:40 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; ; 11/10; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 6/5; ; 13/10; ; ; 5/4; ; ; ; ; ; ; 
Draw; ; 23/10; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; 12/5; ; 11/5; ; ; 119/50; ; ; ; ; ; ; 
Bournemouth; ; 5/2; 2; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 21/10; ; ; 131/50; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 20:17:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 5/4; ; ; ; 23/20; 6/5; 11/10; 11/10; 11/10; ; ; ; ; 15/13; 1; 1; 21/20; 1; 119/100; ; 21/20; ; ; ; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 40/17; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 27/10; 13/5; 27/11; 14/5; 11/4; 13/5; 12/5; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-11 00:16:37 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 5/4; 11/10; 21/20; ; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 1; 21/20; 21/20; 117/100; 12/11; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; ; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 9/4; 13/5; 13/5; ; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 14/5; 11/4; 13/5; 12/5; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-11 04:16:47 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 5/4; 11/10; 21/20; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 1; 21/20; 21/20; 117/100; 12/11; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 9/4; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 14/5; 11/4; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-11 08:16:56 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 5/4; 11/10; 21/20; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 1; 21/20; 21/20; 117/100; 12/11; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 9/4; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 14/5; 11/4; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-11 12:17:45 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 5/4; 11/10; 21/20; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 11/10; 1; 21/20; 11/10; 117/100; 12/11; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 9/4; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 14/5; 11/4; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-11 16:17:37 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 5/4; 11/10; 21/20; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 11/10; 1; 21/20; 21/20; 117/100; 12/11; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 9/4; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 14/5; 11/4; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-11 20:16:35 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 5/4; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 11/10; 21/20; 21/20; 117/100; 13/12; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 12/5; 13/5; 28/11; 14/5; 14/5; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-12 00:16:25 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 5/4; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 11/10; 21/20; 21/20; 117/100; 13/12; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 12/5; 13/5; 28/11; 14/5; 14/5; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-12 04:16:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 5/4; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 11/10; 21/20; 21/20; 117/100; 13/12; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 12/5; 13/5; 28/11; 14/5; 14/5; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-12 08:16:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 5/4; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 11/10; 21/20; 21/20; 117/100; 13/12; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 13/5; 14/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 12/5; 13/5; 28/11; 14/5; 14/5; 13/5; 12/5; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-12 12:16:43 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 5/4; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 11/10; 21/20; 21/20; 117/100; 13/12; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 14/5; 11/4; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 12/5; 13/5; 28/11; 14/5; 14/5; 13/5; 12/5; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-12 16:16:17 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 21/20; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 11/10; 11/10; 21/20; 11/10; 117/100; 17/16; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 14/5; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 12/5; 13/5; 5/2; 14/5; 14/5; 13/5; 12/5; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-12 20:16:28 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 5/4; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 6/5; 11/10; 11/10; 21/20; 11/10; 29/25; 17/16; 21/20; 11/10; ; 10/9; ; 
Draw; 9/4; 23/10; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 40/17; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 9/4; 13/5; 13/5; 12/5; 5/2; 51/20; 13/5; 13/5; 13/5; 5/2; 12/5; 13/5; 5/2; 57/20; 14/5; 13/5; 5/2; ; 5/2; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-13 00:16:12 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 5/4; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 6/5; 11/10; 11/10; 21/20; 11/10; 29/25; 17/16; 21/20; 11/10; ; 23/20; ; 
Draw; 9/4; 23/10; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 40/17; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 9/4; 13/5; 13/5; 12/5; 5/2; 51/20; 13/5; 13/5; 13/5; 28/11; 12/5; 13/5; 28/11; 57/20; 14/5; 13/5; 5/2; ; 5/2; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-13 04:16:14 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 11/10; 15/13; 11/10; 11/10; 21/20; 11/10; 29/25; 13/12; 21/20; 11/10; ; 23/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 62/25; 23/10; 40/17; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 5/2; 5/2; 11/4; 27/10; 14/5; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 27/10; 28/11; 12/5; 13/5; 28/11; 139/50; 27/10; 13/5; 5/2; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-13 08:16:10 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 11/10; 15/13; 11/10; 11/10; 21/20; 11/10; 29/25; 13/12; 21/20; 11/10; ; 23/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 62/25; 23/10; 40/17; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 5/2; 5/2; 13/5; 27/10; 14/5; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 27/10; 28/11; 12/5; 13/5; 28/11; 139/50; 27/10; 13/5; 5/2; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-13 12:16:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 11/10; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 11/10; 11/10; 21/20; 11/10; 29/25; 13/12; 21/20; 11/10; ; 10/9; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 62/25; 23/10; 40/17; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 5/2; 5/2; 13/5; 27/10; 14/5; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; 13/5; 5/2; 139/50; 27/10; 13/5; 5/2; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-13 16:16:15 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 11/10; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 117/100; 13/12; 11/10; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 121/50; 23/10; 23/10; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 5/2; 5/2; 11/4; 27/10; 14/5; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 141/50; 27/10; 45/17; 5/2; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-13 20:16:13 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 11/10; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 117/100; 13/12; 11/10; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 12/5; 47/20; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 121/50; 23/10; 23/10; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 5/2; 5/2; 11/4; 27/10; 14/5; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 141/50; 27/10; 45/17; 5/2; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-14 00:16:13 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 15/13; 21/20; 11/10; 11/10; 21/20; 57/50; 13/12; 11/10; 11/10; ; 21/20; ; 
Draw; 9/4; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 9/4; 23/10; 23/10; 9/4; 121/50; 23/10; 23/10; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 14/5; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 27/10; 45/17; 12/5; 13/5; 45/17; 29/10; 27/10; 45/17; 5/2; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-14 04:16:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 15/13; 21/20; 11/10; 11/10; 21/20; 29/25; 13/12; 11/10; 11/10; ; 21/20; ; 
Draw; 9/4; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 9/4; 23/10; 23/10; 9/4; 61/25; 23/10; 23/10; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 29/10; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 27/10; 45/17; 12/5; 13/5; 45/17; 141/50; 27/10; 45/17; 5/2; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-14 08:16:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 15/13; 21/20; 11/10; 11/10; 21/20; 29/25; 13/12; 11/10; 11/10; ; 21/20; ; 
Draw; 9/4; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 29/10; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 27/10; 45/17; 12/5; 13/5; 45/17; 141/50; 27/10; 45/17; 5/2; ; 12/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-14 12:16:41 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 15/13; 21/20; 11/10; 11/10; 21/20; 29/25; 13/12; 11/10; 11/10; ; 11/10; ; 
Draw; 9/4; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; ; 23/10; ; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 29/10; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 27/10; 45/17; 12/5; 13/5; 45/17; 141/50; 27/10; 45/17; 5/2; ; 13/5; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-14 16:16:21 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 15/13; 21/20; 11/10; 11/10; 21/20; 29/25; 13/12; 11/10; 11/10; ; 10/9; 10/9; 
Draw; 9/4; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; ; 23/10; 9/4; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 29/10; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 13/5; 45/17; 12/5; 13/5; 45/17; 141/50; 27/10; 45/17; 5/2; ; 5/2; 5/2; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-14 20:16:14 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 29/25; 13/12; 11/10; 11/10; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 47/20; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 11/4; 29/10; 9/4; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 11/4; 13/5; 45/17; 13/5; 13/5; 45/17; 141/50; 27/10; 45/17; 5/2; ; 5/2; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-15 00:16:13 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 47/20; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 9/4; 13/5; 11/4; 12/5; 13/5; 53/20; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 5/2; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-15 04:16:08 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 5/4; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 11/10; 1; 
Draw; 23/10; 12/5; 47/20; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; ; 23/10; 11/5; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 9/4; 13/5; 11/4; 12/5; 13/5; 53/20; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 13/5; 12/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-15 08:16:12 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 29/25; 13/12; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 23/10; 12/5; 47/20; 9/4; 5/2; 12/5; 12/5; 12/5; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 12/5; 13/5; 53/20; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 13/5; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-15 12:16:50 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 29/25; 13/12; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 12/5; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 13/5; 27/10; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-15 16:16:36 GMT+2; 2017-02-25 15:00; e70300-dr003
