META; english/championship/barnsley-v-leeds; 2017-11-19 02:21:15 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; ; 7/5; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 6/4; 7/5; ; ; 4/6; ; 
Barnsley; ; 9/5; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 19/10; 19/10; ; ; 1; ; 
Draw; ; 9/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 9/4; 47/20; ; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 10:21:19 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; ; 7/5; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 6/4; 7/5; ; ; 4/6; ; 
Barnsley; ; 9/5; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 19/10; 19/10; ; ; 20/21; ; 
Draw; ; 9/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 9/4; 47/20; ; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 14:21:24 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 7/5; ; ; ; ; 6/4; 6/4; 7/5; ; ; ; ; ; ; ; ; 6/4; ; ; 7/5; ; 8/5; 13/8; 6/4; ; 8/11; ; 
META; english/championship/barnsley-v-leeds; 2017-11-20 02:21:36 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 7/5; ; ; ; ; 8/5; 6/4; 16/11; ; 8/5; 31/20; ; ; ; 8/5; ; 17/11; ; ; 16/11; 13/8; 8/5; 13/8; 17/11; ; 13/10; ; 
Barnsley; 13/8; 9/5; ; ; ; ; 17/10; 7/4; 9/5; ; 17/10; 13/8; ; ; ; 7/4; ; 17/10; ; ; 9/5; 13/8; 7/4; 13/8; 17/10; ; 23/20; ; 
Draw; 23/10; 9/4; ; ; ; ; 23/10; 23/10; 40/17; ; 23/10; 12/5; ; ; ; 12/5; ; 23/10; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-20 10:21:36 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 7/5; ; ; ; ; 8/5; 6/4; 16/11; ; 8/5; 31/20; ; ; ; 8/5; ; 17/11; ; ; 16/11; 13/8; 8/5; 13/8; 17/11; ; 27/20; ; 
Barnsley; 13/8; 9/5; ; ; ; ; 17/10; 7/4; 9/5; ; 17/10; 13/8; ; ; ; 7/4; ; 17/10; ; ; 9/5; 13/8; 7/4; 13/8; 17/10; ; 17/10; ; 
Draw; 23/10; 9/4; ; ; ; ; 23/10; 23/10; 40/17; ; 23/10; 12/5; ; ; ; 12/5; ; 23/10; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-20 14:21:52 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 7/5; ; ; 33/20; ; 8/5; 6/4; 16/11; ; 8/5; 31/20; ; ; 8/5; 6/4; 8/5; 6/4; ; ; 16/11; 6/4; 8/5; 13/8; 6/4; ; 7/5; ; 
Barnsley; 7/4; 9/5; ; ; 17/10; ; 17/10; 7/4; 9/5; ; 17/10; 13/8; ; ; 7/4; 9/5; 28/17; 7/4; ; ; 9/5; 9/5; 7/4; 13/8; 9/5; ; 17/10; ; 
Draw; 23/10; 9/4; ; ; 23/10; ; 23/10; 23/10; 40/17; ; 23/10; 12/5; ; ; 23/10; 12/5; 9/4; 23/10; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-20 18:22:06 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 6/4; 17/11; 8/5; 33/20; 13/8; 8/5; 6/4; 16/11; 6/4; 8/5; 31/20; ; 31/20; 8/5; 8/5; 8/5; 17/11; ; 14/9; 16/11; 6/4; 31/20; 6/4; 17/11; ; 6/4; ; 
Barnsley; 7/4; 7/4; 17/10; 13/8; 17/10; 9/5; 7/4; 7/4; 9/5; 17/10; 17/10; 17/10; ; 7/4; 7/4; 7/4; 28/17; 7/4; ; 7/4; 9/5; 9/5; 7/4; 7/4; 7/4; ; 27/20; ; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 12/5; ; 47/20; 23/10; 12/5; 9/4; 9/4; ; 12/5; 40/17; 12/5; 12/5; 47/20; 23/10; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-20 22:22:04 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 6/4; 17/11; ; 33/20; 13/8; 8/5; 6/4; 16/11; 31/20; 8/5; 13/8; ; 31/20; 8/5; 8/5; 8/5; 17/11; ; 14/9; 16/11; 6/4; 31/20; 6/4; 17/11; ; 23/20; ; 
Barnsley; 7/4; 7/4; 17/10; ; 17/10; 9/5; 7/4; 7/4; 9/5; 33/20; 17/10; 17/10; ; 7/4; 7/4; 7/4; 28/17; 7/4; ; 7/4; 9/5; 9/5; 7/4; 7/4; 7/4; ; 6/4; ; 
Draw; 23/10; 12/5; 23/10; ; 23/10; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 9/4; ; 47/20; 23/10; 12/5; 9/4; 9/4; ; 12/5; 40/17; 12/5; 12/5; 47/20; 23/10; ; 11/5; ; 
META; english/championship/barnsley-v-leeds; 2017-11-21 02:21:50 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 6/4; 17/11; ; 33/20; 13/8; 8/5; 6/4; 16/11; 31/20; 8/5; 13/8; ; 31/20; 8/5; 8/5; 8/5; 17/11; ; 14/9; 16/11; 6/4; 31/20; 6/4; 17/11; ; 6/5; ; 
Barnsley; 7/4; 7/4; 17/10; ; 17/10; 9/5; 7/4; 7/4; 9/5; 33/20; 17/10; 17/10; ; 7/4; 7/4; 7/4; 28/17; 7/4; ; 7/4; 9/5; 9/5; 7/4; 7/4; 7/4; ; 13/8; ; 
Draw; 23/10; 12/5; 23/10; ; 23/10; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 9/4; ; 47/20; 23/10; 12/5; 9/4; 9/4; ; 12/5; 40/17; 12/5; 12/5; 47/20; 23/10; ; 11/5; ; 
META; english/championship/barnsley-v-leeds; 2017-11-21 10:21:59 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 6/4; 17/11; ; 33/20; 13/8; 8/5; 6/4; 16/11; 31/20; 8/5; 13/8; ; 31/20; 8/5; 8/5; 8/5; 17/11; ; 14/9; 16/11; 6/4; 31/20; 6/4; 8/5; ; 7/5; ; 
Barnsley; 7/4; 17/10; 28/17; ; 17/10; 9/5; 17/10; 7/4; 9/5; 33/20; 17/10; 17/10; ; 7/4; 7/4; 7/4; 28/17; 28/17; ; 7/4; 9/5; 9/5; 7/4; 7/4; 17/10; ; 13/8; ; 
Draw; 23/10; 12/5; 23/10; ; 23/10; 5/2; 23/10; 12/5; 40/17; 23/10; 23/10; 9/4; ; 47/20; 23/10; 12/5; 9/4; 40/17; ; 12/5; 40/17; 12/5; 12/5; 47/20; 40/17; ; 11/5; ; 
META; english/championship/barnsley-v-leeds; 2017-11-21 14:22:03 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 6/4; 17/11; ; 33/20; 17/10; 8/5; 8/5; 17/11; 8/5; 8/5; 13/8; ; 31/20; 8/5; 8/5; 8/5; 17/11; ; 14/9; 17/11; 6/4; 31/20; 6/4; 8/5; ; 7/5; ; 
Barnsley; 7/4; 17/10; 28/17; ; 17/10; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; ; 7/4; 7/4; 7/4; 28/17; 28/17; ; 7/4; 17/10; 9/5; 7/4; 7/4; 17/10; ; 13/8; ; 
Draw; 23/10; 12/5; 23/10; ; 23/10; 5/2; 23/10; 23/10; 40/17; 23/10; 23/10; 9/4; ; 47/20; 23/10; 12/5; 9/4; 40/17; ; 12/5; 23/10; 12/5; 12/5; 47/20; 40/17; ; 11/5; ; 
META; english/championship/barnsley-v-leeds; 2017-11-21 18:22:00 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 6/4; 17/11; 8/5; 33/20; 17/10; 8/5; 8/5; 17/11; 8/5; 8/5; 13/8; ; 8/5; 8/5; 8/5; 8/5; 8/5; ; 14/9; 17/11; 6/4; 31/20; 6/4; 8/5; ; 7/5; ; 
Barnsley; 7/4; 17/10; 28/17; 13/8; 17/10; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; ; 17/10; 7/4; 7/4; 28/17; 17/10; ; 48/29; 17/10; 9/5; 17/10; 7/4; 17/10; ; 13/8; ; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 23/10; 23/10; 40/17; 12/5; 23/10; 9/4; ; 47/20; 23/10; 12/5; 9/4; 12/5; ; 28/11; 23/10; 12/5; 5/2; 47/20; 12/5; ; 11/5; ; 
META; english/championship/barnsley-v-leeds; 2017-11-21 22:21:51 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 6/4; 6/4; 17/11; 8/5; 33/20; 17/10; 8/5; 8/5; 17/11; 8/5; 8/5; 13/8; ; 8/5; 8/5; 8/5; 8/5; 8/5; ; 14/9; 17/11; 6/4; 31/20; 6/4; 8/5; ; 7/5; ; 
Barnsley; 7/4; 17/10; 28/17; 13/8; 17/10; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; ; 17/10; 7/4; 7/4; 28/17; 17/10; ; 48/29; 17/10; 9/5; 17/10; 7/4; 17/10; ; 6/4; ; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 23/10; 23/10; 40/17; 12/5; 23/10; 9/4; ; 47/20; 23/10; 12/5; 9/4; 12/5; ; 28/11; 23/10; 12/5; 5/2; 47/20; 12/5; ; 11/5; ; 
META; english/championship/barnsley-v-leeds; 2017-11-22 02:21:14 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 6/4; 13/8; 8/5; 33/20; 17/10; 8/5; 8/5; 17/11; 13/8; 8/5; 13/8; ; 33/20; 8/5; 8/5; 8/5; 8/5; ; 27/17; 17/11; 13/8; 8/5; 31/20; 28/17; ; 7/5; ; 
Barnsley; 13/8; 17/10; 13/8; 13/8; 17/10; 7/4; 17/10; 17/10; 17/10; 33/20; 17/10; 13/8; ; 33/20; 7/4; 7/4; 28/17; 17/10; ; 13/8; 17/10; 13/8; 13/8; 17/10; 17/10; ; 6/4; ; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 23/10; 23/10; 40/17; 23/10; 23/10; 23/10; ; 47/20; 23/10; 12/5; 9/4; 40/17; ; 28/11; 23/10; 12/5; 5/2; 47/20; 12/5; ; 11/5; ; 
META; english/championship/barnsley-v-leeds; 2017-11-22 10:21:43 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 13/8; 8/5; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 13/8; 13/8; 13/8; ; 33/20; 8/5; 17/10; 8/5; 8/5; ; 13/8; 17/10; 13/8; 8/5; 13/8; 28/17; ; 6/4; ; 
Leeds; 13/8; 13/8; 13/8; 8/5; 17/10; 17/10; 17/10; 13/8; 17/11; 33/20; 13/8; 13/8; ; 33/20; 13/8; 17/10; 28/17; 28/17; ; 27/17; 17/11; 13/8; 13/8; 13/8; 17/10; ; 8/5; ; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; 40/17; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; ; 28/11; 23/10; 12/5; 5/2; 47/20; 40/17; ; 9/4; ; 
META; english/championship/barnsley-v-leeds; 2017-11-22 14:21:43 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 13/8; 8/5; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 13/8; 13/8; 13/8; ; 33/20; 8/5; 17/10; 8/5; 8/5; 17/10; 27/17; 17/10; 13/8; 13/8; 13/8; 28/17; ; 6/4; 6/4; 
Leeds; 13/8; 13/8; 13/8; 8/5; 17/10; 17/10; 17/10; 13/8; 17/11; 33/20; 13/8; 13/8; ; 33/20; 13/8; 17/10; 28/17; 28/17; 7/4; 13/8; 17/11; 13/8; 13/8; 13/8; 17/10; ; 6/4; 6/4; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; 40/17; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 28/11; 23/10; 12/5; 5/2; 47/20; 40/17; ; 23/10; 19/10; 
META; english/championship/barnsley-v-leeds; 2017-11-22 18:21:38 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 13/8; 8/5; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 13/8; 13/8; 13/8; ; 33/20; 8/5; 17/10; 8/5; 8/5; 17/10; 27/17; 17/10; 13/8; 13/8; 13/8; 28/17; ; 6/4; 6/4; 
Leeds; 13/8; 13/8; 13/8; 8/5; 17/10; 17/10; 17/10; 13/8; 17/11; 33/20; 13/8; 13/8; ; 33/20; 13/8; 17/10; 28/17; 28/17; 7/4; 13/8; 17/11; 13/8; 13/8; 13/8; 17/10; ; 6/4; 6/4; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; 40/17; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 28/11; 23/10; 12/5; 5/2; 47/20; 40/17; ; 23/10; 11/5; 
META; english/championship/barnsley-v-leeds; 2017-11-22 22:22:04 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 13/8; 8/5; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 13/8; 13/8; 13/8; ; 33/20; 8/5; 17/10; 8/5; 8/5; 17/10; 27/17; 17/10; 13/8; 13/8; 13/8; 28/17; ; 6/4; 6/4; 13/8
Leeds; 13/8; 13/8; 13/8; 8/5; 17/10; 17/10; 17/10; 13/8; 17/11; 33/20; 13/8; 13/8; ; 33/20; 13/8; 17/10; 28/17; 28/17; 7/4; 13/8; 17/11; 13/8; 13/8; 13/8; 17/10; ; 8/5; 6/4; 7/4
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; 40/17; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 28/11; 23/10; 12/5; 5/2; 47/20; 40/17; ; 23/10; 21/10; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-23 02:21:48 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 6/4; 17/11; 13/8; 33/20; 13/8; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; ; 8/5; 8/5; 17/10; 8/5; 8/5; 17/10; 17/11; 28/17; 13/8; 8/5; 8/5; 8/5; ; 6/4; 6/4; 13/8
Leeds; 13/8; 17/10; 28/17; 8/5; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 13/8; 17/10; ; 17/10; 13/8; 17/10; 28/17; 17/10; 7/4; 28/17; 8/5; 7/4; 13/8; 33/20; 17/10; ; 13/8; 6/4; 7/4
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 28/11; 23/10; 12/5; 5/2; 47/20; 40/17; ; 12/5; ; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-23 10:22:04 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 8/5; 17/11; 13/8; 33/20; 13/8; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; ; 8/5; 8/5; 17/10; 8/5; 8/5; 17/10; 17/11; 28/17; 13/8; 31/20; 8/5; 8/5; ; 6/4; 6/4; 13/8
Leeds; 13/8; 13/8; 28/17; 8/5; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 13/8; 17/10; ; 17/10; 13/8; 17/10; 28/17; 17/10; 7/4; 28/17; 8/5; 7/4; 17/10; 33/20; 17/10; ; 13/8; 6/4; 7/4
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 28/11; 23/10; 12/5; 5/2; 47/20; 12/5; ; 23/10; 21/10; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-23 14:22:04 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 8/5; 13/8; 13/8; 33/20; 13/8; 13/8; 8/5; 13/8; 33/20; 13/8; 8/5; ; 13/8; 8/5; 17/10; 8/5; 28/17; 17/10; 17/11; 8/5; 13/8; 8/5; 8/5; 28/17; ; 6/4; 6/4; 17/10
Leeds; 13/8; 13/8; 8/5; 8/5; 17/10; 17/10; 13/8; 17/10; 13/8; 13/8; 13/8; 17/10; ; 33/20; 13/8; 17/10; 28/17; 28/17; 7/4; 28/17; 8/5; 7/4; 13/8; 33/20; 28/17; ; 13/8; 6/4; 13/8
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 28/11; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; 23/10; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-23 18:22:06 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 8/5; 8/5; 13/8; 33/20; 17/10; 13/8; 17/10; 13/8; 8/5; 13/8; 13/8; ; 13/8; 8/5; 8/5; 8/5; 8/5; 17/10; 13/8; 8/5; 13/8; 17/10; 17/10; 28/17; ; 13/8; 13/8; 13/8
Leeds; 13/8; 13/8; 28/17; 8/5; 17/10; 13/8; 13/8; 13/8; 13/8; 33/20; 13/8; 13/8; ; 33/20; 13/8; 17/10; 28/17; 28/17; 7/4; 13/8; 8/5; 13/8; 7/4; 33/20; 17/10; ; 13/8; 13/8; 17/10
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; 23/10; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-23 22:20:40 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 8/5; 8/5; 13/8; 33/20; 17/10; 13/8; 17/10; 13/8; 8/5; 13/8; 13/8; ; 13/8; 8/5; 8/5; 8/5; 8/5; 17/10; 13/8; 8/5; 13/8; 17/10; 17/10; 28/17; ; 13/8; 13/8; 13/8
Leeds; 13/8; 17/10; 28/17; 8/5; 17/10; 13/8; 13/8; 13/8; 13/8; 33/20; 13/8; 13/8; ; 33/20; 13/8; 17/10; 28/17; 28/17; 7/4; 13/8; 8/5; 13/8; 7/4; 33/20; 17/10; ; 13/8; 13/8; 17/10
Draw; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; ; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; ; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-24 02:21:01 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 6/4; 8/5; 13/8; 33/20; 17/10; 13/8; 17/10; 13/8; 8/5; 13/8; 13/8; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 17/10; 13/8; 8/5; 13/8; 17/10; 17/10; 28/17; ; 13/8; 13/8; 13/8
Leeds; 13/8; 13/8; 28/17; 8/5; 17/10; 13/8; 13/8; 13/8; 13/8; 33/20; 13/8; 13/8; 6/4; 33/20; 13/8; 17/10; 28/17; 28/17; 7/4; 13/8; 8/5; 13/8; 7/4; 33/20; 17/10; ; 13/8; 13/8; 17/10
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; 12/5; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; ; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-24 10:21:02 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 13/8; 8/5; 13/8; 33/20; 13/8; 8/5; 8/5; 13/8; 8/5; 13/8; 13/8; 17/10; 13/8; 8/5; 8/5; 8/5; 8/5; 17/10; 13/8; 8/5; 13/8; 17/10; 13/8; 28/17; ; 13/8; 13/8; 13/8
Leeds; 9/5; 7/4; 28/17; 8/5; 17/10; 17/10; 13/8; 17/10; 13/8; 33/20; 13/8; 13/8; 6/4; 33/20; 13/8; 17/10; 28/17; 17/10; 7/4; 13/8; 8/5; 13/8; 7/4; 33/20; 17/10; ; 13/8; 13/8; 17/10
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; 12/5; 47/20; 5/2; 12/5; 9/4; 40/17; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; ; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-24 14:21:15 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 13/8; 17/11; 17/10; 33/20; 17/10; 13/8; 8/5; 13/8; 8/5; 13/8; 8/5; 17/10; 8/5; 13/8; 8/5; 8/5; 8/5; 33/20; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; ; 8/5; 13/8; 13/8
Leeds; 9/5; 7/4; 17/10; 17/10; 17/10; 7/4; 13/8; 13/8; 13/8; 17/10; 13/8; 13/8; 6/4; 17/10; 7/4; 17/10; 28/17; 17/10; 9/5; 13/8; 8/5; 13/8; 9/5; 33/20; 17/10; ; 17/10; 7/4; 17/10
Draw; 5/2; 12/5; 23/10; 21/10; 23/10; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 12/5; 12/5; 47/20; 5/2; 23/10; 9/4; 40/17; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 12/5; 12/5; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-24 18:22:54 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 13/8; 13/8; 17/11; 13/8; 33/20; 17/10; 13/8; 8/5; 13/8; 8/5; 13/8; 8/5; 17/10; 8/5; 13/8; 8/5; 8/5; 8/5; 13/8; 13/8; 8/5; 13/8; 13/8; 13/8; 28/17; ; 6/4; 6/4; 13/8
Leeds; 9/5; 7/4; 28/17; 17/10; 17/10; 7/4; 13/8; 13/8; 13/8; 17/10; 13/8; 13/8; 6/4; 17/10; 7/4; 17/10; 28/17; 17/10; 9/5; 9/5; 8/5; 13/8; 9/5; 33/20; 17/10; ; 7/4; 7/4; 7/4
Draw; 5/2; 12/5; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 12/5; 12/5; 47/20; 5/2; 12/5; 9/4; 40/17; 51/20; 9/4; 12/5; 12/5; 5/2; 47/20; 12/5; ; 12/5; 12/5; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-24 22:21:25 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 8/5; 13/8; 6/4; 6/4; 33/20; 13/8; 8/5; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 8/5; 6/4; 13/8; 22/15; 8/5; 8/5; 31/20; 8/5; 17/11; ; 6/4; 6/4; 6/4
