META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-16 22:20:43 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; ; ; ; ; ; 7/5; 13/10; 13/10; ; ; ; ; ; ; 7/5; ; 5/4; ; ; 13/10; 7/5; 7/5; 11/8; 13/10; ; 5/6; ; 
Middlesbrough; 17/10; 9/5; 28/15; 7/4; ; 15/8; 7/4; 9/5; 2; 15/8; 2; 9/5; 9/5; 15/8; 7/4; 15/8; ; 7/4; 93/50; 7/4; 2; 9/5; 19/10; 9/5; 7/4; ; 17/10; ; 
Draw; 23/10; 9/4; 21/10; 11/5; ; 23/10; 11/5; 23/10; 12/5; 21/10; 12/5; 21/10; 23/10; 11/5; 23/10; 23/10; ; 9/4; 23/10; 11/5; 40/17; 9/4; 23/10; 9/4; 9/4; ; 21/10; ; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-18 02:20:09 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; ; 6/4; 8/5; 6/4; 13/10; 31/20; 13/10; 31/20; 6/4; 31/20; 8/5; 6/4; ; 17/11; 83/50; 16/11; 13/10; 8/5; 6/4; 31/20; 17/11; ; 6/4; ; 6/4
Middlesbrough; 9/5; 9/5; 28/15; 7/4; ; 15/8; 9/5; 9/5; 2; 9/5; 2; 15/8; 15/8; 19/10; 7/4; 15/8; ; 9/5; 97/50; 7/4; 2; 9/5; 15/8; 9/5; 9/5; ; 9/5; ; 9/5
Draw; 23/10; 9/4; 21/10; 11/5; ; 23/10; 11/5; 23/10; 12/5; 21/10; 12/5; 21/10; 9/4; 11/5; 23/10; 23/10; ; 11/5; 57/25; 11/5; 40/17; 9/4; 23/10; 9/4; 11/5; ; 21/10; ; 2
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-18 10:20:08 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 8/5; 8/5; 6/4; 13/10; 31/20; 13/10; 31/20; ; 31/20; 8/5; 6/4; 6/4; 17/11; 33/20; 16/11; 13/10; 8/5; 6/4; 31/20; 17/11; ; 6/4; ; 6/4
Middlesbrough; 9/5; 9/5; 9/5; 7/4; 9/5; 15/8; 9/5; 9/5; 2; 9/5; 2; 9/5; ; 19/10; 7/4; 15/8; 9/5; 9/5; 193/ 100; 7/4; 2; 9/5; 15/8; 9/5; 9/5; ; 9/5; ; 9/5
Draw; 23/10; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 12/5; 21/10; 12/5; 21/10; ; 43/20; 23/10; 23/10; 11/5; 11/5; 58/25; 11/5; 40/17; 9/4; 23/10; 9/4; 11/5; ; 2; ; 2
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-18 14:20:10 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; ; 8/5; 8/5; 8/5; 6/4; 17/11; 167/ 100; 16/11; 17/11; 8/5; 31/20; 31/20; 8/5; ; 6/4; 7/5; 
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; ; 19/10; 7/4; 9/5; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 9/5; ; 9/5; 7/4; 
Draw; 23/10; 21/10; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 23/10; 21/10; ; 43/20; 23/10; 9/4; 11/5; 28/13; 113/ 50; 11/5; 28/13; 9/4; 9/4; 9/4; 11/5; ; 2; 9/5; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-18 18:20:56 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; ; 8/5; 8/5; 6/4; 6/4; 17/11; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 17/11; ; 6/4; 6/4; 
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; ; 19/10; 7/4; 15/8; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 24/13; ; 9/5; 9/5; 
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 23/10; 21/10; ; 43/20; 23/10; 9/4; 11/5; 28/13; 23/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; ; 21/10; 2; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-18 22:20:56 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 17/11; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 17/11; ; 6/4; 7/5; 
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 24/13; ; 9/5; 9/5; 
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 23/10; 21/10; 11/5; 43/20; 23/10; 9/4; 11/5; 28/13; 23/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; ; 21/10; 19/10; 11/5
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-19 02:21:00 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 17/11; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 17/11; ; 6/4; 6/4; 
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 24/13; ; 9/5; 7/4; 
Draw; 23/10; 21/10; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 23/10; 21/10; 11/5; 43/20; 23/10; 9/4; 11/5; 28/13; 23/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; ; 21/10; 19/10; 11/5
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-19 10:20:58 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 17/11; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 17/11; ; 6/4; 6/4; 
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 15/8; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 24/13; ; 9/5; 7/4; 
Draw; 23/10; 21/10; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 9/4; 11/5; 28/13; 23/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; ; 21/10; 19/10; 11/5
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-19 14:21:06 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 17/11; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 17/11; ; 6/4; 6/4; 
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 15/8; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 19/10; 9/5; 24/13; ; 9/5; 9/5; 
Draw; 23/10; 21/10; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 28/13; 23/10; 11/5; 28/13; 9/4; 11/5; 9/4; 28/13; ; 21/10; 19/10; 11/5
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-19 18:20:58 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 8/5; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 8/5; ; 6/4; 6/4; 
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 15/8; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 19/10; 9/5; 24/13; ; 9/5; 9/5; 
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 23/10; 11/5; 28/13; 9/4; 11/5; 9/4; 11/5; ; 21/10; 19/10; 11/5
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-19 22:21:06 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 8/5; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 8/5; ; 6/4; 6/4; 13/8
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 15/8; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 24/13; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 23/10; 11/5; 28/13; 9/4; 9/4; 9/4; 11/5; ; 2; 2; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-20 02:20:58 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 8/5; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 8/5; ; 13/8; 6/4; 13/8
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 15/8; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 24/13; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 23/10; 11/5; 28/13; 9/4; 9/4; 9/4; 11/5; ; 2; 19/10; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-20 10:20:55 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 17/11; 33/20; ; 17/11; 8/5; 31/20; 31/20; 8/5; ; 6/4; 6/4; 13/8
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 15/8; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 24/13; 39/20; ; 24/13; 9/5; 15/8; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 11/5; 23/10; ; 28/13; 9/4; 9/4; 9/4; 11/5; ; 2; 19/10; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-20 14:21:06 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 6/4; 17/11; 8/5; 6/4; 31/20; 8/5; 6/4; 8/5; 31/20; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 6/4; 8/5; 33/20; 16/11; 17/11; 8/5; 31/20; 31/20; 8/5; ; 13/8; 6/4; 13/8
Middlesbrough; 9/5; 15/8; 28/15; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 15/8; 15/8; 17/10; 19/10; 7/4; 15/8; 9/5; 9/5; 39/20; 7/4; 24/13; 9/5; 15/8; 9/5; 24/13; ; 17/10; 7/4; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 11/5; 23/10; 11/5; 28/13; 9/4; 9/4; 9/4; 11/5; ; 2; 2; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-20 18:21:30 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 13/8; 13/8; 8/5; 6/4; 13/8; 13/8; 13/8; 8/5; 33/20; 6/4; 13/8; 13/8; 33/20; 8/5; 8/5; 6/4; 28/17; 7/4; 17/11; 17/11; 13/8; 13/8; 33/20; 28/17; ; 13/8; 8/5; 17/10
Middlesbrough; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 15/8; 9/5; 15/8; 7/4; 17/10; 9/5; 7/4; 9/5; 9/5; 7/4; 46/25; 28/17; 24/13; 9/5; 7/4; 7/4; 7/4; ; 7/4; 13/8; 9/5
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 57/25; 11/5; 28/13; 11/5; 9/4; 21/10; 9/4; ; 2; 2; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-20 22:21:32 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 13/8; 13/8; 8/5; 6/4; 13/8; 13/8; 13/8; 8/5; 33/20; 6/4; 13/8; 13/8; 33/20; 8/5; 8/5; 6/4; 28/17; 7/4; 17/11; 17/11; 13/8; 13/8; 33/20; 28/17; ; 13/8; 6/4; 17/10
Middlesbrough; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 15/8; 9/5; 15/8; 7/4; 17/10; 9/5; 7/4; 9/5; 9/5; 7/4; 46/25; 28/17; 24/13; 9/5; 7/4; 7/4; 7/4; ; 7/4; 17/10; 9/5
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 57/25; 11/5; 28/13; 11/5; 9/4; 21/10; 9/4; ; 2; 19/10; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-21 02:21:20 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 13/8; 13/8; 8/5; 6/4; 13/8; 13/8; 13/8; 8/5; 13/8; 6/4; 13/8; 13/8; 33/20; 8/5; 8/5; 6/4; 28/17; 7/4; 17/11; 17/11; 13/8; 13/8; 33/20; 28/17; ; 13/8; 6/4; 17/10
Middlesbrough; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 15/8; 7/4; 15/8; 7/4; 17/10; 9/5; 7/4; 9/5; 9/5; 7/4; 46/25; 28/17; 24/13; 9/5; 7/4; 7/4; 7/4; ; 17/10; 17/10; 9/5
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 57/25; 11/5; 28/13; 11/5; 9/4; 21/10; 9/4; ; 2; 19/10; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-21 10:21:25 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 6/4; 13/8; 13/8; 8/5; 6/4; 13/8; 13/8; 13/8; 8/5; 13/8; 6/4; 13/8; 13/8; 33/20; 8/5; 8/5; 6/4; 28/17; 7/4; 17/11; 17/11; 13/8; 13/8; 33/20; 28/17; ; 13/8; 6/4; 17/10
Middlesbrough; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 15/8; 7/4; 15/8; 7/4; 17/10; 9/5; 7/4; 9/5; 9/5; 7/4; 46/25; 28/17; 24/13; 9/5; 7/4; 7/4; 7/4; ; 17/10; 17/10; 9/5
Draw; 23/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 57/25; 11/5; 28/13; 11/5; 9/4; 21/10; 9/4; ; 21/10; 19/10; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-21 14:21:36 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 31/20; 13/8; 13/8; 8/5; 6/4; 13/8; 13/8; 13/8; 8/5; 13/8; 6/4; 13/8; 13/8; 17/10; 8/5; 8/5; 6/4; 28/17; 7/4; 13/8; 17/11; 13/8; 13/8; 33/20; 28/17; ; 13/8; 8/5; 17/10
Middlesbrough; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 15/8; 7/4; 15/8; 7/4; 17/10; 9/5; 7/4; 9/5; 9/5; 7/4; 46/25; 28/17; 24/13; 9/5; 7/4; 7/4; 7/4; ; 17/10; 13/8; 9/5
Draw; 23/10; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 57/25; 28/13; 28/13; 11/5; 9/4; 21/10; 9/4; ; 21/10; 21/10; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-21 18:21:24 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 31/20; 13/8; 28/17; 8/5; 6/4; 13/8; 13/8; 8/5; 33/20; 6/4; 17/10; 13/8; 17/10; 13/8; 8/5; 6/4; 28/17; 87/50; 18/11; 17/11; 13/8; 7/4; 33/20; 28/17; ; 13/8; 17/10
Middlesbrough; 7/4; 7/4; 7/4; 7/4; 9/5; 7/4; 9/5; 15/8; 17/10; 15/8; 9/5; 17/10; 9/5; 9/5; 9/5; 9/5; 7/4; 46/25; 31/18; 24/13; 9/5; 9/5; 7/4; 7/4; ; 7/4; 9/5
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 2; 11/5; 43/20; 11/5; 11/5; 11/5; 11/5; 23/10; 23/10; 28/13; 11/5; 23/10; 21/10; 9/4; ; 9/5; 9/4
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-21 22:21:24 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 31/20; 8/5; 13/8; 8/5; 6/4; ; 8/5; 13/8; 8/5; 13/8; 6/4; 17/10; 13/8; 17/10; 13/8; 8/5; 6/4; 8/5; 83/50; 18/11; 17/11; 13/8; 17/10; 33/20; 8/5; ; 13/8; 13/8; 13/8
Middlesbrough; 7/4; 9/5; 7/4; 7/4; 9/5; ; 7/4; 9/5; 24/13; 7/4; 15/8; 9/5; 17/10; 37/20; 9/5; 9/5; 9/5; 7/4; 19/10; 31/18; 9/5; 9/5; 15/8; 7/4; 9/5; ; 9/5; 9/5; 15/8
Draw; 23/10; 21/10; 21/10; 11/5; 11/5; ; 11/5; 21/10; 9/4; 21/10; 9/4; 2; 11/5; 43/20; 11/5; 11/5; 11/5; 9/4; 117/ 50; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; ; 21/10; 21/10; 23/10
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-22 02:21:23 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 17/10; 8/5; 13/8; 8/5; 6/4; 17/10; 8/5; 13/8; 8/5; 13/8; 6/4; 17/10; 13/8; 17/10; 13/8; 8/5; 6/4; 8/5; 83/50; 18/11; 17/11; 13/8; 17/10; 33/20; 28/17; ; 13/8; 8/5; 13/8
Middlesbrough; 19/10; 9/5; 7/4; 7/4; 9/5; 15/8; 9/5; 9/5; 24/13; 7/4; 15/8; 9/5; 17/10; 37/20; 9/5; 9/5; 9/5; 9/5; 19/10; 31/18; 9/5; 9/5; 15/8; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 11/5; 21/10; 21/10; 11/5; 11/5; 23/10; 11/5; 21/10; 9/4; 21/10; 9/4; 2; 11/5; 43/20; 11/5; 11/5; 11/5; 11/5; 117/ 50; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; ; 21/10; 2; 23/10
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-22 10:21:34 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 17/10; 8/5; 13/8; 8/5; 6/4; 17/10; 8/5; 13/8; 8/5; 13/8; 8/5; 17/10; 13/8; 17/10; 13/8; 8/5; 6/4; 8/5; 83/50; 18/11; 17/11; 13/8; 17/10; 33/20; 28/17; ; 13/8; 8/5; 13/8
Middlesbrough; 19/10; 9/5; 7/4; 7/4; 9/5; 15/8; 9/5; 9/5; 24/13; 7/4; 15/8; 9/5; 17/10; 37/20; 9/5; 9/5; 9/5; 9/5; 19/10; 31/18; 9/5; 9/5; 15/8; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 11/5; 21/10; 21/10; 11/5; 11/5; 23/10; 11/5; 21/10; 9/4; 21/10; 9/4; 2; 11/5; 43/20; 11/5; 11/5; 11/5; 11/5; 117/ 50; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; ; 21/10; 2; 23/10
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-22 14:21:40 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
