META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-05 22:20:08 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; ; ; ; ; 1; ; ; 10/11; ; ; ; 10/11; ; ; ; ; 19/20; ; 49/50; ; ; 10/11; ; 10/11; ; ; ; ; 
Barcelona; 4/5; 4/5; 3/4; ; 17/20; ; 3/4; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 7/9; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; 3; 3; ; 29/10; ; 14/5; 3; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 3; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 16/5; ; 16/5; 10/3; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 41/13; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-08 22:20:22 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; ; 17/20; ; 3/4; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 7/9; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; 3; 3; ; 29/10; ; 14/5; 3; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 3; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 16/5; ; 16/5; 10/3; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 41/13; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-09 02:20:03 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; ; 17/20; ; 3/4; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 7/9; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; 3; 3; ; 29/10; ; 14/5; 3; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 3; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 16/5; ; 16/5; 10/3; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 41/13; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-09 10:20:08 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 17/20; ; 3/4; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 7/9; 4/5; 8/11; 4/5; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 11/4; 3; ; 16/5; ; 3; 3; ; 11/4; 27/10; 3; 3; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 16/5; ; 16/5; 10/3; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 33/10; 37/10; 41/13; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-09 14:20:07 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 17/20; ; 3/4; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 7/9; 4/5; 8/11; 3/4; 3/4; 10/13; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 3; 11/4; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 16/5; ; 16/5; 10/3; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 41/13; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-09 18:20:03 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/ 100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 27/10; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-09 22:20:01 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/ 100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 27/10; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-10 02:19:56 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/ 100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 27/10; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-10 10:19:57 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/ 100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 27/10; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-10 14:20:05 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/ 100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 27/10; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-10 19:32:34 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 27/10; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-10 22:20:05 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-11 02:20:09 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 27/10; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-11 10:20:06 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-11 14:20:31 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-11 18:20:18 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-11 22:20:14 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-12 02:20:14 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-12 10:20:11 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-12 14:20:05 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-12 18:20:03 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; ; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-12 22:20:00 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; 4/7; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; 21/10; ; 
