META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-22 02:20:49 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; ; 4/5; 3/4; 4/5; 8/11; 4/5; 5/6; 5/6; 4/5; ; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; 4/5; 10/13; ; 8/11; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-22 22:21:10 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; 17/20; 4/5; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; ; 17/20; 5/6; 4/5; ; ; 4/5; 4/5; 16/19; 4/5; ; 4/5; 10/13; ; 1/50; ; 
Draw; 13/5; ; ; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; ; 5/2; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; ; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; ; ; 10/3; 19/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; ; 19/5; 7/2; 15/4; ; ; 13/4; 41/10; 56/19; 17/5; ; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-23 02:20:55 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; 17/20; 5/6; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; ; 17/20; 5/6; 5/6; ; ; 4/5; 4/5; 16/19; 4/5; ; 4/5; 10/13; ; 1/20; ; 
Draw; 13/5; ; ; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; ; 5/2; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; ; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; ; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; ; 19/5; 7/2; 7/2; ; ; 13/4; 41/10; 56/19; 17/5; ; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-23 10:20:51 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; 17/20; 5/6; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; ; 17/20; 5/6; 5/6; ; ; 4/5; 4/5; 16/19; 4/5; ; 4/5; 10/13; ; 1/20; ; 
Draw; 13/5; ; ; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; ; 5/2; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; ; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; ; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; ; 19/5; 7/2; 7/2; ; ; 13/4; 41/10; 56/19; 17/5; ; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-23 18:21:11 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; 17/20; 4/5; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; ; 17/20; 5/6; 5/6; ; ; 4/5; 4/5; 16/19; 4/5; 4/5; 4/5; 10/13; ; 1/20; ; 
Draw; 13/5; ; ; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; ; 5/2; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; 13/5; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; ; ; 10/3; 19/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; ; 19/5; 7/2; 7/2; ; ; 13/4; 41/10; 56/19; 17/5; 7/2; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-23 22:20:44 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; 17/20; 4/5; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; ; 4/5; 5/6; 5/6; ; ; 4/5; 4/5; 16/19; 4/5; 4/5; 4/5; 10/13; ; 1/20; ; 
Draw; 13/5; ; ; 5/2; 11/4; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; ; 11/4; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; 13/5; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; ; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; ; 18/5; 7/2; 7/2; ; ; 13/4; 41/10; 56/19; 17/5; 7/2; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-24 02:20:13 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; 17/20; 4/5; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; ; 4/5; 5/6; 5/6; ; ; 4/5; 4/5; 16/19; 4/5; 4/5; 4/5; 10/13; ; 1/12; ; 
Draw; 13/5; ; ; 5/2; 11/4; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; ; 11/4; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; 13/5; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; ; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; ; 18/5; 7/2; 7/2; ; ; 13/4; 41/10; 56/19; 17/5; 7/2; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-24 10:20:10 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; 17/20; 4/5; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; ; 4/5; 5/6; 5/6; ; ; 4/5; 4/5; 16/19; 4/5; 4/5; 4/5; 10/13; ; 1/12; ; 
Draw; 13/5; ; ; 5/2; 11/4; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; ; 11/4; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; 13/5; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; ; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; ; 18/5; 7/2; 7/2; ; ; 13/4; 41/10; 56/19; 17/5; 7/2; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-24 14:20:11 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; 17/20; ; 17/20; 4/5; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; 17/20; 4/5; 5/6; 4/5; ; ; 4/5; 4/5; 16/19; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 13/5; 5/2; ; 5/2; 11/4; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 13/5; 11/4; 5/2; 27/11; ; ; 5/2; 14/5; 5/2; 13/5; 13/5; 5/2; 53/20; ; 9/4; ; 
Eibar; 15/4; 10/3; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; 16/5; 18/5; 7/2; 33/10; ; ; 13/4; 41/10; 56/19; 17/5; 7/2; 10/3; 7/2; ; 3; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-24 18:20:04 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; 17/20; ; 17/20; 4/5; 3/4; 5/6; 4/5; 4/5; 11/13; 17/20; 5/6; 17/20; 4/5; 5/6; 4/5; ; ; 4/5; 4/5; ; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 13/5; 5/2; ; 5/2; 11/4; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 13/5; 11/4; 5/2; 27/11; ; ; 5/2; 14/5; ; 13/5; 13/5; 5/2; 53/20; ; 2; ; 
Eibar; 15/4; 10/3; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; 16/5; 18/5; 7/2; 33/10; ; ; 13/4; 41/10; ; 17/5; 7/2; 10/3; 7/2; ; 1/12; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-24 22:19:58 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; 17/20; ; 17/20; 4/5; 3/4; 5/6; 4/5; 11/13; 11/13; 17/20; 5/6; 17/20; 4/5; 5/6; 4/5; ; 11/13; 4/5; 83/100; ; 11/13; 4/5; 5/6; 10/13; ; 8/11; ; 
Draw; 13/5; 5/2; ; 5/2; 11/4; 11/4; 13/5; 13/5; 5/2; 12/5; 12/5; 12/5; 13/5; 11/4; 5/2; 27/11; ; 27/11; 5/2; 11/4; ; 27/11; 13/5; 5/2; 53/20; ; 9/4; ; 
Eibar; 15/4; 10/3; ; 10/3; 18/5; 4; 7/2; 7/2; 7/2; 13/4; 13/4; 7/2; 16/5; 18/5; 7/2; 33/10; ; ; 13/4; 79/20; ; 17/5; 7/2; 10/3; 7/2; ; 3; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-25 02:19:32 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 4/5; 17/20; ; 17/20; 5/6; 3/4; 5/6; 4/5; 11/13; 13/15; 17/20; 5/6; 17/20; 4/5; 5/6; 4/5; ; 11/13; 4/5; 83/100; 11/13; 11/13; 4/5; 5/6; 4/5; ; 8/11; 8/11; 
Draw; 13/5; 5/2; ; 5/2; 13/5; 11/4; 13/5; 13/5; 5/2; 12/5; 12/5; 12/5; 13/5; 11/4; 5/2; 27/11; ; 27/11; 5/2; 11/4; 5/2; 27/11; 13/5; 5/2; 13/5; ; 2; 5/2; 
Eibar; 10/3; 10/3; ; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 16/5; 16/5; 7/2; 16/5; 18/5; 7/2; 33/10; ; ; 16/5; 79/20; 56/19; 17/5; 10/3; 10/3; 10/3; ; 1/12; 10/3; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-25 10:19:56 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 17/20; ; 17/20; 5/6; 3/4; 5/6; 4/5; 11/13; 11/13; 17/20; 5/6; 17/20; 4/5; 5/6; 4/5; 13/18; 11/13; 4/5; 83/100; 11/13; 11/13; 5/6; 5/6; 5/6; ; 8/11; 8/11; 
Draw; 13/5; 5/2; ; 5/2; 13/5; 11/4; 13/5; 13/5; 5/2; 12/5; 12/5; 5/2; 13/5; 11/4; 5/2; 27/11; 13/5; 27/11; 5/2; 11/4; 5/2; 27/11; 5/2; 5/2; 13/5; ; 2; 5/2; 
Eibar; 16/5; 10/3; ; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 13/4; 16/5; 16/5; 16/5; 18/5; 7/2; 33/10; 15/4; ; 16/5; 79/20; 56/19; 17/5; 10/3; 16/5; 16/5; ; 1/14; 10/3; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-25 14:20:00 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 17/20; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 5/6; ; ; 4/5; 4/5; 4/5; 13/18; 11/13; 10/13; 17/20; 11/13; 11/13; 5/6; 4/5; 5/6; ; 8/11; 8/11; 5/6
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; ; ; 11/4; 11/4; 27/11; 13/5; 27/11; 28/11; 139/50; 5/2; 27/11; 5/2; 5/2; 13/5; ; 2; 13/5; 11/4
Eibar; 16/5; 10/3; 10/3; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 10/3; 10/3; ; ; 18/5; 10/3; 33/10; 15/4; ; 57/17; 15/4; 56/19; 17/5; 10/3; 10/3; 16/5; ; 1/14; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-25 18:19:54 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 17/20; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 5/6; ; ; 4/5; 4/5; 4/5; 13/18; 11/13; 4/5; 17/20; 11/13; 11/13; 5/6; 4/5; 5/6; ; 3/10; 8/11; 5/6
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; ; ; 11/4; 11/4; 27/11; 13/5; 27/11; 28/11; 139/50; 5/2; 27/11; 5/2; 5/2; 13/5; ; 2; 13/5; 11/4
Eibar; 16/5; 10/3; 10/3; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 10/3; 10/3; ; ; 18/5; 10/3; 33/10; 15/4; 17/5; 33/10; 15/4; 56/19; 17/5; 10/3; 10/3; 16/5; ; 1/12; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-25 22:20:01 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 4/5; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 5/6; ; ; 4/5; 4/5; 4/5; 13/18; 11/13; 10/13; 87/100; 11/13; 11/13; 5/6; 4/5; 5/6; ; 4/6; 8/11; 4/5
Draw; 13/5; 13/5; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; ; ; 11/4; 11/4; 13/5; 13/5; 27/11; 28/11; 14/5; 5/2; 27/11; 5/2; 5/2; 13/5; ; 2; 13/5; 11/4
Eibar; 16/5; 7/2; 10/3; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 10/3; 10/3; ; ; 18/5; 10/3; 10/3; 15/4; 17/5; 33/10; 18/5; 56/19; 17/5; 10/3; 10/3; 16/5; ; 1/12; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-26 02:19:55 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 4/5; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 5/6; 5/6; ; ; 4/5; 4/5; 4/5; 13/18; 11/13; 4/5; 87/100; 11/13; 11/13; 5/6; 5/6; 5/6; ; 4/6; 4/5; 4/5
Draw; 13/5; 13/5; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; ; ; 11/4; 11/4; 13/5; 13/5; 27/11; 28/11; 14/5; 5/2; 27/11; 5/2; 5/2; 13/5; ; 2; 13/5; 11/4
Eibar; 16/5; 7/2; 13/4; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 13/4; 10/3; ; ; 18/5; 10/3; 10/3; 15/4; 17/5; 33/10; 18/5; 56/19; 17/5; 10/3; 16/5; 16/5; ; 11/10; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-26 10:19:58 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 4/5; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 5/6; 5/6; ; ; 4/5; 4/5; 4/5; 13/18; 11/13; 10/13; 87/100; 11/13; 11/13; 5/6; 5/6; 5/6; ; 4/6; 4/5; 4/5
Draw; 13/5; 13/5; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; ; ; 11/4; 11/4; 13/5; 13/5; 27/11; 28/11; 14/5; 5/2; 27/11; 5/2; 5/2; 13/5; ; 2; 13/5; 11/4
Eibar; 16/5; 7/2; 13/4; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 13/4; 10/3; ; ; 18/5; 10/3; 10/3; 15/4; 17/5; 33/10; 18/5; 56/19; 17/5; 10/3; 16/5; 16/5; ; 1/4; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-26 14:20:12 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 4/5; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 5/6; 5/6; ; ; 4/5; 4/5; 5/6; 13/18; 11/13; 10/13; 87/100; 11/13; ; 5/6; 5/6; 5/6; ; 4/6; 4/5; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; ; ; 11/4; 11/4; 5/2; 13/5; 27/11; 28/11; 14/5; 5/2; ; 5/2; 5/2; 13/5; ; 2; 13/5; 11/4
Eibar; 16/5; 10/3; 13/4; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 13/4; 10/3; ; ; 18/5; 10/3; 10/3; 15/4; 17/5; 33/10; 18/5; 56/19; ; 10/3; 16/5; 16/5; ; 1/4; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-26 18:20:03 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 4/5; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 5/6; 5/6; 17/20; ; 4/5; 4/5; 5/6; 13/18; 11/13; 10/13; 87/100; 11/13; ; 5/6; 5/6; 5/6; ; 4/6; 4/5; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; 5/2; ; 11/4; 11/4; 5/2; 13/5; 27/11; 28/11; 14/5; 5/2; ; 5/2; 5/2; 13/5; ; 2; 13/5; 11/4
Eibar; 16/5; 10/3; 13/4; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 13/4; 10/3; 10/3; ; 18/5; 10/3; 10/3; 15/4; 17/5; 33/10; 18/5; 56/19; ; 10/3; 16/5; 16/5; ; 3; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-26 22:19:56 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 4/5; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 5/6; 5/6; 17/20; ; 4/5; 4/5; 4/5; 13/18; 11/13; 4/5; 87/100; 11/13; 11/13; 5/6; 5/6; 5/6; ; 8/11; 4/5; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 5/2; 5/2; ; 11/4; 11/4; 13/5; 13/5; 27/11; 13/5; 14/5; 5/2; 27/11; 5/2; 5/2; 13/5; ; 2; 5/2; 11/4
Eibar; 16/5; 10/3; 13/4; 10/3; 7/2; 4; 17/5; 7/2; 7/2; 13/4; 10/3; 10/3; ; 18/5; 10/3; 10/3; 15/4; 17/5; 57/17; 18/5; 56/19; 17/5; 10/3; 16/5; 16/5; ; 2/7; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-27 02:19:52 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 5/6; 4/5; 4/5; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 13/18; 11/13; 4/5; 87/100; 4/5; 11/13; 4/5; 4/5; 4/5; ; 4/6; 8/11; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; ; 11/4; 11/4; 13/5; 13/5; 27/11; 13/5; 14/5; 5/2; 27/11; 13/5; 13/5; 13/5; ; 23/10; 13/5; 11/4
Eibar; 16/5; 10/3; 17/5; 10/3; 7/2; 4; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 10/3; 15/4; 17/5; 17/5; 18/5; 16/5; 17/5; 10/3; 10/3; 10/3; ; 1/14; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-27 10:19:58 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 4/5; 4/5; 4/5; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 13/18; 11/13; 4/5; 87/100; 4/5; 11/13; 4/5; 4/5; 4/5; ; 8/11; 8/11; 
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; ; 11/4; 11/4; 13/5; 13/5; 27/11; 13/5; 14/5; 5/2; 27/11; 13/5; 13/5; 13/5; ; 2; 13/5; 
Eibar; 10/3; 10/3; 17/5; 10/3; 7/2; 4; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 10/3; 15/4; 17/5; 17/5; 18/5; 16/5; 17/5; 10/3; 10/3; 10/3; ; 11/8; 7/2; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-27 14:21:05 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 4/5; 5/6; 4/5; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 13/18; 11/13; 4/5; 87/100; 4/5; 11/13; 4/5; 4/5; 4/5; ; 8/11; 8/11; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; ; 11/4; 11/4; 13/5; 13/5; 27/11; 13/5; 14/5; 5/2; 27/11; 13/5; 13/5; 13/5; ; 2; 13/5; 11/4
Eibar; 10/3; 10/3; 17/5; 10/3; 7/2; 4; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 10/3; 15/4; 17/5; 17/5; 18/5; 16/5; 17/5; 10/3; 10/3; 10/3; ; 11/8; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-27 18:19:08 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 4/5; 5/6; 4/5; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 4/5; 5/6; ; 4/5; 4/5; 4/5; 13/18; 11/13; 4/5; 43/50; 4/5; 11/13; 4/5; 4/5; 4/5; ; 8/11; 8/11; 5/6
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 13/5; 5/2; ; 11/4; 11/4; 13/5; 13/5; 27/11; 28/11; 139/50; 5/2; 27/11; 13/5; 5/2; 13/5; ; 2; 13/5; 27/10
Eibar; 10/3; 10/3; 17/5; 10/3; 7/2; 4; 7/2; 7/2; 7/2; 10/3; 10/3; 7/2; ; 18/5; 10/3; 10/3; 15/4; 17/5; 17/5; 37/10; 16/5; 17/5; 10/3; 10/3; 10/3; ; 4/9; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-27 22:19:58 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 4/5; 5/6; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 4/5; 5/6; ; 4/5; 4/5; 4/5; 13/18; 11/13; 5/6; 43/50; 4/5; 11/13; 4/5; 5/6; 4/5; ; 8/11; 8/11; 5/6
Draw; 13/5; 5/2; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 13/5; 5/2; ; 11/4; 11/4; 13/5; 13/5; 27/11; 13/5; 139/50; 5/2; 27/11; 13/5; 5/2; 13/5; ; 2; 13/5; 27/10
Eibar; 10/3; 10/3; 17/5; 10/3; 7/2; 4; 7/2; 7/2; 7/2; 10/3; 10/3; 7/2; ; 18/5; 10/3; 10/3; 15/4; 17/5; 38/11; 37/10; 16/5; 17/5; 10/3; 10/3; 10/3; ; 4/9; 7/2; 7/2
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-28 02:19:58 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 4/5; 4/5; 5/6; 17/20; 4/5; 3/4; 4/5; 4/5; 11/13; 4/5; 4/5; 5/6; ; 4/5; 4/5; 4/5; 13/18; 11/13; 5/6; 43/50; 4/5; 11/13; 4/5; 4/5; 4/5; ; 4/5; 8/11; 5/6
Draw; 13/5; 13/5; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 13/5; 5/2; ; 11/4; 11/4; 13/5; 13/5; 27/11; 13/5; 139/50; 5/2; 27/11; 13/5; 5/2; 13/5; ; 23/10; 12/5; 27/10
