META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-13 20:27:49 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/19; ; ; 7/25; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 5; ; ; ; ; 7/2; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/2; ; ; 12; ; ; ; ; 19/2; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 00:26:43 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; ; 1/4; ; ; 2/7; ; 1/4; ; ; 1/4; ; ; ; 1/4; ; 1/4; 1/4; 5/19; ; 1/4; 7/25; ; ; ; ; 1/4; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-15 08:24:39 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; ; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 7/25; ; 5/18; ; ; 2/9; ; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; ; 17/4; 4; 9/2; ; 9/2; 9/2; 9/2; 50/11; 9/2; 21/5; 50/11; 5; ; 17/4; ; ; 4; ; 
Eibar; 11; 14; ; 12; 14; 12; 14; 14; ; 12; 10; 12; ; 14; 10; 14; 12; 21/2; 11; 12; 12; ; 11; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-15 12:26:04 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; ; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 7/25; ; 5/18; ; ; 2/9; ; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; ; 17/4; 4; 9/2; ; 9/2; 9/2; 9/2; 50/11; 9/2; 21/5; 50/11; 5; ; 17/4; ; ; 4; ; 
Eibar; 11; 14; ; 12; 14; 12; 14; 14; ; 12; 10; 12; ; 14; 10; 14; 12; 21/2; 11; 12; 12; ; 11; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-15 16:27:22 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 1/4; ; 1/4; 1/4; 2/9; 2/9; 2/9; 1/4; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 7/25; 2/9; 5/18; ; ; 2/9; 2/9; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; 19/4; 9/2; 4; 9/2; ; 9/2; 9/2; 9/2; 50/11; 9/2; 21/5; 50/11; 5; 22/5; 17/4; ; ; 4; 7/2; 
Eibar; 11; 12; ; 12; 14; 12; 14; 14; 12; 12; 10; 12; ; 14; 10; 14; 12; 21/2; 11; 12; 12; 10; 11; ; ; 64/5; 48/5; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-15 20:25:34 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; 1/4; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 27/100; ; 5/18; ; ; 1/4; 2/9; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; 9/2; 17/4; 4; 9/2; ; 4; 9/2; 9/2; 9/2; 9/2; 21/5; 9/2; 49/10; ; 17/4; ; ; 22/5; 7/2; 
Eibar; 11; 14; ; 12; 14; 12; 14; 14; 11; 12; 10; 12; ; 14; 10; 14; 53/4; 21/2; 11; 53/4; 27/2; ; 11; ; ; 64/5; 46/5; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-16 00:24:50 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; 1/4; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 27/100; 2/9; 3/11; ; ; 1/4; 2/9; 1/4
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; 9/2; 17/4; 4; 9/2; ; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 49/10; 22/5; 9/2; ; ; 22/5; 7/2; 9/2
Eibar; 11; 14; ; 12; 14; 12; 14; 14; 11; 12; 10; 12; ; 14; 10; 14; 13; 21/2; 12; 13; 27/2; 10; 12; ; ; 64/5; 46/5; 67/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-16 04:24:14 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; 1/4; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 27/100; 2/9; 3/11; ; ; 1/4; 2/9; 1/4
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; 9/2; 17/4; 4; 9/2; ; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 49/10; 22/5; 9/2; ; ; 22/5; 7/2; 9/2
Eibar; 11; 14; ; 12; 14; 12; 14; 14; 11; 12; 10; 12; ; 14; 10; 14; 13; 21/2; 12; 13; 27/2; 10; 12; ; ; 64/5; 46/5; 67/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-16 08:24:10 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 1/4; ; 2/7; 1/4; 2/9; 1/4; 2/9; 3/10; 2/7; 1/5; 1/4; ; 1/4; 2/7; 1/4; 3/13; 1/4; 1/4; 3/13; 27/100; 1/4; 3/11; ; ; 1/4; 1/4; 2/7
Draw; 5; 9/2; ; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 4; 9/2; ; 4; 17/4; 9/2; 74/17; 9/2; 9/2; 74/17; 49/10; 4; 9/2; ; ; 21/5; 7/2; 21/5
Eibar; 9; 12; ; 11; 12; 12; 12; 14; 10; 11; 10; 12; ; 14; 9; 12; 47/4; 21/2; 12; 47/4; 27/2; 9; 12; ; ; 54/5; 43/5; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-16 12:24:33 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 1/4; ; 3/10; 1/4; 2/9; 2/9; 2/9; 3/10; 2/7; 1/5; 1/4; 1/4; 2/7; 30/100; 1/4; 4/17; 1/4; 1/4; 4/17; 27/100; 1/4; 3/11; ; ; 1/4; 1/4; 3/10
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; 17/4; 4; 4; 9/2; 17/4; 19/5; 17/4; 9/2; 43/10; 9/2; 9/2; 43/10; 49/10; 4; 9/2; ; ; 21/5; 10/3; 21/5
Eibar; 9; 12; ; 10; 12; 12; 12; 14; 10; 11; 10; 12; 12; 12; 8; 12; 23/2; 21/2; 12; 23/2; 27/2; 9; 12; ; ; 54/5; 43/5; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-16 16:26:54 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; ; 3/10; 2/7; 2/9; 1/4; 2/9; 3/10; 2/7; 1/4; 1/4; 1/4; 2/7; 30/100; 1/4; 4/17; 1/4; 1/4; 4/17; 29/100; 1/4; 3/11; ; ; 1/4; 1/4; 3/10
Draw; 5; 4; ; 15/4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 9/2; 17/4; 19/5; 17/4; 9/2; 43/10; 9/2; 9/2; 43/10; 47/10; 4; 9/2; ; ; 4; 10/3; 21/5
Eibar; 9; 12; ; 11; 11; 12; 12; 14; 9; 11; 11; 12; 12; 12; 8; 12; 23/2; 21/2; 12; 23/2; 25/2; 9; 12; ; ; 54/5; 43/5; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-16 20:26:39 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 2/9; 1/4; 2/9; 3/10; 3/10; 1/4; 1/4; 2/7; 2/7; 1/3; 1/4; 5/19; 1/4; 1/4; ; 29/100; 2/7; 3/11; ; ; 1/4; 1/4; 3/10
Draw; 19/4; 4; 37/10; 4; 9/2; 17/4; 9/2; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 15/4; 9/2; 17/4; 9/2; 9/2; ; 5; 7/2; 9/2; ; ; 7/2; 7/2; 4
Eibar; 10; 11; 9; 10; 11; 12; 12; 11; 9; 10; 12; 12; 11; 12; 8; 12; 47/4; 21/2; 11; ; 11; 38/5; 11; ; ; 54/5; 56/5; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-17 00:24:42 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 1/4; 2/9; 3/10; 3/10; 1/4; 1/4; 2/7; 3/10; 1/3; 1/4; 1/4; 1/4; 1/4; 1/4; 29/100; 2/7; 3/11; ; ; 1/4; 2/7; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 9/2; 9/2; 17/4; 15/4; 9/2; 9/2; 4; 15/4; 15/4; 9/2; 43/10; 9/2; 9/2; 43/10; 5; 7/2; 9/2; ; ; 4; 22/5; 21/5
Eibar; 10; 11; 9; 10; 11; 11; 12; 11; 9; 11; 11; 12; 11; 12; 8; 12; 12; 21/2; 11; 12; 11; 38/5; 11; ; ; 57/5; 51/5; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-17 04:25:32 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 1/4; 2/9; 3/10; 3/10; 1/4; 1/4; 2/7; 3/10; 1/3; 1/4; 1/4; 1/4; 1/4; 1/4; 29/100; 2/7; 3/11; ; ; 2/7; 2/7; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 9/2; 9/2; 17/4; 15/4; 9/2; 9/2; 4; 15/4; 15/4; 9/2; 43/10; 9/2; 9/2; 43/10; 5; 7/2; 9/2; ; ; 23/5; 22/5; 21/5
Eibar; 10; 11; 9; 10; 11; 11; 12; 11; 9; 11; 11; 12; 11; 12; 8; 12; 12; 21/2; 11; 12; 11; 38/5; 11; ; ; 57/5; 46/5; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-17 08:25:26 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 1/3; 1/4; 1/4; 1/4; 1/4; 1/4; 29/100; 1/4; 3/11; ; ; 2/7; 2/7; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 15/4; 9/2; 74/17; 9/2; 9/2; 74/17; 5; 7/2; 9/2; ; ; 23/5; 22/5; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 8; 11; 49/4; 21/2; 11; 49/4; 11; 39/5; 11; ; ; 57/5; 46/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-17 12:26:42 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 1/4; 1/4; 1/4; 29/100; 1/4; 3/11; ; ; 2/7; 2/7; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 74/17; 9/2; 9/2; 74/17; 5; 7/2; 9/2; ; ; 4; 4; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 21/2; 11; 49/4; 11; 39/5; 11; ; ; 66/5; 13; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-17 16:27:29 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 8/25; 1/4; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 74/17; 17/4; 9/2; 74/17; 23/5; 7/2; 9/2; ; ; 4; 4; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 21/2; 39/5; 11; ; ; 66/5; 13; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-17 20:27:20 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 43/10; 17/4; 9/2; 43/10; 9/2; 7/2; 9/2; ; ; 4; 4; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 64/5; 63/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 00:25:27 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 2/7; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 74/17; 17/4; 9/2; 74/17; 9/2; 7/2; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 64/5; 56/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 00:43:22 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 2/7; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 74/17; 17/4; 9/2; 74/17; 9/2; 7/2; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 64/5; 56/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 01:45:33 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 1/4; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 2/7; 3/10
Draw; 19/4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 74/17; 17/4; 9/2; 74/17; 9/2; 7/2; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 59/5; 56/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 03:45:36 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 2/7; 3/10
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 43/10; 17/4; 9/2; 43/10; 9/2; 7/2; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 64/5; 56/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 04:25:36 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 2/7; 3/10
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 43/10; 17/4; 9/2; 43/10; 9/2; 7/2; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 64/5; 56/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 05:45:33 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 1/4; 3/10
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 7/2; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 62/5; 53/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 06:26:36 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 1/4; 3/11; ; ; 3/10; 1/4; 3/10
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 17/4; 15/4; 17/4; 9/2; 4; 15/4; 4; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 7/2; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 12; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 39/5; 11; ; ; 62/5; 53/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 07:45:32 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 3/10; 3/11; ; ; 3/10; 1/4; 3/10
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 4; 15/4; 4; 9/2; 4; 15/4; 4; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 4; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 11; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 11; 11; ; ; 62/5; 53/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 08:26:12 GMT+2; 2017-01-19 18:15; e70300-dr003
