META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-20 18:23:44 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; ; 11/10; 1; 11/10; ; 1; 11/10; 11/10; ; 1; ; ; ; 21/20; ; ; 21/20; 29/25; 42/41; ; ; ; ; ; ; 
Tenerife; 31/10; 11/4; 11/4; 11/4; 11/4; 13/5; 29/10; 11/4; 13/5; 14/5; 13/5; 14/5; 11/4; ; 3; ; 37/13; 27/10; 14/5; 37/13; 31/10; 13/5; 56/19; 13/5; 3; ; 5/2; 5/2; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-21 14:23:55 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 11/10; ; 21/20; ; 21/20; 11/10; 1; 21/20; 29/25; 42/41; 42/41; 21/20; 24/23; ; 1; 21/20; 
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; ; 2; ; 39/19; 2; 2; 39/19; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 
Tenerife; 31/10; 14/5; 27/10; 11/4; 3; 13/5; 3; 11/4; 13/5; 3; 13/5; 14/5; 11/4; ; 3; ; 37/13; 27/10; 14/5; 37/13; 31/10; 13/5; 56/19; 14/5; 3; ; 5/2; 5/2; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-21 18:24:30 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 29/25; 12/11; 42/41; 21/20; 24/23; ; 1; 10/9; 10/9
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 19/10; 21/10
Tenerife; 31/10; 11/4; 27/10; 11/4; 11/4; 13/5; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 37/13; 27/10; 14/5; 37/13; 31/10; 12/5; 56/19; 11/4; 3; ; 5/2; 21/10; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-21 22:24:09 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 29/25; 12/11; 42/41; 21/20; 24/23; ; 1; 10/9; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 31/10; 11/4; 27/10; 11/4; 11/4; 13/5; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 37/13; 27/10; 14/5; 37/13; 31/10; 12/5; 56/19; 13/5; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-22 02:24:37 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 29/25; 12/11; 42/41; 21/20; 24/23; ; 1; 21/20; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 19/10; 21/10
Tenerife; 31/10; 11/4; 27/10; 11/4; 11/4; 13/5; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 37/13; 27/10; 14/5; 37/13; 31/10; 12/5; 56/19; 13/5; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-22 06:22:12 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; ; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; ; 21/10
Tenerife; 3; 11/4; 27/10; 11/4; 11/4; 5/2; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 14/5; 27/10; 14/5; 14/5; 31/10; 12/5; 56/19; 13/5; 3; ; 5/2; ; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-22 10:23:12 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 1; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 9/5; 21/10
Tenerife; 3; 11/4; 27/10; 11/4; 11/4; 13/5; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 37/13; 27/10; 14/5; 37/13; 31/10; 12/5; 56/19; 13/5; 3; ; 5/2; 2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-22 14:23:26 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 27/10; 11/4; 11/4; 13/5; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 37/13; 27/10; 14/5; 37/13; 31/10; 12/5; 56/19; 13/5; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-22 18:22:58 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 27/10; 11/4; 11/4; 13/5; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 37/13; 27/10; 14/5; 37/13; 31/10; 12/5; 56/19; 13/5; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-22 22:23:59 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 11/5; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 27/10; 11/4; 11/4; 5/2; 29/10; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 5/2; 3; 14/5; 11/4; 27/10; 14/5; 11/4; 31/10; 12/5; 56/19; 5/2; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-23 02:23:25 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 21/20; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 15/8; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 19/10; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 13/5; 27/10; 12/5; 3; 14/5; 11/4; 27/10; 14/5; 11/4; 31/10; 12/5; 56/19; 5/2; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-23 06:22:44 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 21/20; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 19/10; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 13/5; 27/10; 12/5; 3; 14/5; 11/4; 27/10; 14/5; 11/4; 31/10; 12/5; 56/19; 5/2; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-23 10:23:29 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 11/10; 11/10; 1; ; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 2; ; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 13/5; 27/10; 12/5; 3; 14/5; 11/4; 27/10; 14/5; ; 31/10; 12/5; 56/19; 5/2; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-23 14:26:04 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 2; 2; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 11/4; 27/10; 12/5; 3; 14/5; 11/4; 14/5; 14/5; 11/4; 31/10; 12/5; 56/19; 5/2; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-23 18:26:26 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 23/20
Draw; 2; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 11/4; 27/10; 12/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 31/10; 12/5; 56/19; 5/2; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-23 22:24:11 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 12/5; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 31/10; 12/5; 56/19; 5/2; 3; ; 5/2; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-24 02:25:26 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 21/10; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 12/5; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 31/10; 12/5; 56/19; 5/2; 3; ; 13/5; 21/10; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-24 06:22:52 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 21/10; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 12/5; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 31/10; 12/5; 56/19; 5/2; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-24 10:23:55 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 29/25; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 21/10; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 12/5; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 31/10; 12/5; 56/19; 5/2; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-24 14:24:21 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 1; ; 23/20; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 21/10; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; ; 43/20; 39/19; 39/19; 21/10; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 12/5; 11/4; 11/4; 14/5; 14/5; 14/5; ; 61/20; 12/5; 56/19; 5/2; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-24 18:28:18 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 117/100; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 21/10; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 2; 39/19; 43/20; 39/19; 39/19; 21/10; 21/10; ; 2; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 61/20; 12/5; 56/19; 5/2; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-24 22:25:50 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 121/100; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 21/10; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 21/10; 21/10; ; 2; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 3; 12/5; 56/19; 5/2; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-25 02:28:02 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 121/100; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 2; 39/19; 52/25; 39/19; 39/19; 21/10; 21/10; ; 2; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 3; 12/5; 56/19; 5/2; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-25 06:27:32 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 121/100; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 2; 39/19; 52/25; 39/19; 39/19; 21/10; 21/10; ; 2; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 3; 12/5; 56/19; 5/2; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-25 10:27:18 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 6/5; 12/11; 42/41; 23/20; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 2; 39/19; 85/40; 39/19; 39/19; 2; 21/10; ; 2; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 3; 12/5; 56/19; 13/5; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-25 14:23:43 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 6/5; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 2; 39/19; 85/40; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 21/10
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 3; 12/5; 56/19; 13/5; 3; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-25 18:28:30 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
